panel,axis,series,x_beat_cv,y,mcse,n,table,x_false_alarm,x_mcse,n_nonevent,x_r_mean
c,AP,ppv tau=2,0.2,0.2269595470359506,0.0042371007970612,29318.0,E4_operating.csv cell 199,,,,
c,AP,ppv tau=2,0.25,0.1979393807239424,0.0036030335729817,36688.0,E4_operating.csv cell 205,,,,
c,AP,ppv tau=2,0.3,0.1697689859651532,0.0031114503889462,43677.0,E4_operating.csv cell 211,,,,
c,AP,ppv tau=3,0.05,0.7970844110039972,0.0106812677125493,4253.0,E4_operating.csv cell 181,,,,
c,AP,ppv tau=3,0.1,0.6004025390927388,0.0105562728063183,6459.0,E4_operating.csv cell 187,,,,
c,AP,ppv tau=3,0.15,0.423823501562352,0.0083287225254029,10561.0,E4_operating.csv cell 193,,,,
c,AP,ppv tau=3,0.2,0.3117755114968011,0.0063855290342013,15787.0,E4_operating.csv cell 199,,,,
c,AP,ppv tau=3,0.25,0.2561229686559563,0.0051442094542533,21599.0,E4_operating.csv cell 205,,,,
c,AP,ppv tau=3,0.3,0.2117972085680456,0.0042390003455134,27871.0,E4_operating.csv cell 211,,,,
c,AP,ppv tau=4,0.05,0.9382321618743344,0.009621641964227,1878.0,E4_operating.csv cell 181,,,,
c,AP,ppv tau=4,0.1,0.7788194444444444,0.0133954173367117,2880.0,E4_operating.csv cell 187,,,,
c,AP,ppv tau=4,0.15,0.5737833594976453,0.0119987248111025,5096.0,E4_operating.csv cell 193,,,,
c,AP,ppv tau=4,0.2,0.4047787193973635,0.0092236207250623,8496.0,E4_operating.csv cell 199,,,,
c,AP,ppv tau=4,0.25,0.3209298697246275,0.0071416068357469,12819.0,E4_operating.csv cell 205,,,,
c,AP,ppv tau=4,0.3,0.2571172382873795,0.0056668309583724,17844.0,E4_operating.csv cell 211,,,,
c,AP,ppv tau=5,0.05,0.9910514541387024,0.0054552694149926,894.0,E4_operating.csv cell 181,,,,
c,AP,ppv tau=5,0.1,0.8909747292418773,0.0145054771998783,1385.0,E4_operating.csv cell 187,,,,
c,AP,ppv tau=5,0.15,0.6966590736522399,0.0155141646186885,2634.0,E4_operating.csv cell 193,,,,
c,AP,ppv tau=5,0.2,0.4903617067359757,0.0127429503323528,4617.0,E4_operating.csv cell 199,,,,
c,AP,ppv tau=5,0.25,0.3848547717842324,0.0095965335177467,7712.0,E4_operating.csv cell 205,,,,
c,AP,ppv tau=5,0.3,0.3053588600402133,0.0074585105873969,11439.0,E4_operating.csv cell 211,,,,
c,AP,ppv tau=6,0.05,0.997872340425532,0.0036812919556861,470.0,E4_operating.csv cell 181,,,,
c,AP,ppv tau=6,0.1,0.9540581929555896,0.0141904283806339,653.0,E4_operating.csv cell 187,,,,
c,AP,ppv tau=6,0.15,0.7734265734265734,0.0191737314262513,1430.0,E4_operating.csv cell 193,,,,
c,AP,ppv tau=6,0.2,0.5865603644646925,0.0166193928254256,2634.0,E4_operating.csv cell 199,,,,
c,AP,ppv tau=6,0.25,0.44702342574683,0.0126244541431146,4653.0,E4_operating.csv cell 205,,,,
c,AP,ppv tau=6,0.3,0.3540766738660907,0.0096238597026562,7408.0,E4_operating.csv cell 211,,,,
d,AP,beat_cv=0.05 tau=2,,0.2907328006236601,0.0031697203709219,20524.0,E4_operating.csv cell 181,0.018710014455624,0.0002563087812089,279476.0,
d,AP,beat_cv=0.05 tau=3,,0.1651724809978562,0.0025920073064657,20524.0,E4_operating.csv cell 181,0.0030879216820048,0.0001049516589991,279476.0,
d,AP,beat_cv=0.05 tau=4,,0.0858507113623076,0.001955462576521,20524.0,E4_operating.csv cell 181,0.0004150624740585,3.852958466007092e-05,279476.0,
d,AP,beat_cv=0.05 tau=5,,0.0431689729097641,0.0014186409105606,20524.0,E4_operating.csv cell 181,2.8624998210937613e-05,1.0120320323018058e-05,279476.0,
d,AP,beat_cv=0.05 tau=6,,0.0228512960436562,0.0010430490828532,20524.0,E4_operating.csv cell 181,3.5781247763672017e-06,3.578118374873018e-06,279476.0,
d,AP,beat_cv=0.15 tau=2,,0.3104710528850785,0.0032110880576665,20762.0,E4_operating.csv cell 193,0.0565718132918872,0.0004371869743848,279238.0,
d,AP,beat_cv=0.15 tau=3,,0.215586167035931,0.0028539638914979,20762.0,E4_operating.csv cell 193,0.0217914467228672,0.0002762940296288,279238.0,
d,AP,beat_cv=0.15 tau=4,,0.1408342163568057,0.0024141151631598,20762.0,E4_operating.csv cell 193,0.0077783109748673,0.0001662492710422,279238.0,
d,AP,beat_cv=0.15 tau=5,,0.0883826220980638,0.0019699497368127,20762.0,E4_operating.csv cell 193,0.0028613584111045,0.0001010826558719,279238.0,
d,AP,beat_cv=0.15 tau=6,,0.0532703978422117,0.0015585522094848,20762.0,E4_operating.csv cell 193,0.0011603005321625,6.44237326735004e-05,279238.0,
d,AP,beat_cv=0.3 tau=2,,0.3534149945188504,0.003300214806181,20981.0,E4_operating.csv cell 211,0.1299624756736996,0.0006365918743869,279019.0,
d,AP,beat_cv=0.3 tau=3,,0.2813497926695582,0.0031043378881133,20981.0,E4_operating.csv cell 211,0.0787329895096749,0.0005098638746236,279019.0,
d,AP,beat_cv=0.3 tau=4,,0.2186740384157094,0.0028536561932803,20981.0,E4_operating.csv cell 211,0.0475093094018686,0.0004027196675336,279019.0,
d,AP,beat_cv=0.3 tau=5,,0.1664839616796148,0.0025717579407524,20981.0,E4_operating.csv cell 211,0.0284783473526892,0.0003148957104363,279019.0,
d,AP,beat_cv=0.3 tau=6,,0.1250178733139507,0.002283350344947,20981.0,E4_operating.csv cell 211,0.0171493697561814,0.0002457824977616,279019.0,
e,AP-SL,true tau=2,,0.9658425,4.786465669653424e-05,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.53
e,AP-SL,true tau=2,,0.8604066666666667,9.132779584118888e-05,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.64
e,AP-SL,true tau=2,,0.4531176388888889,0.0001311810782575,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.8
e,AP-SL,true tau=2,,0.1425013888888888,9.211810921523918e-05,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.9
e,AP-SL,true tau=3,,0.8352247222222222,9.77611835073934e-05,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.53
e,AP-SL,true tau=3,,0.6243195138888888,0.0001276237576026,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.64
e,AP-SL,true tau=3,,0.2192377083333333,0.0001090274352507,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.8
e,AP-SL,true tau=3,,0.0499136805555555,5.738654570889896e-05,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.9
e,AP-SL,true tau=4,,0.6340046527777777,0.0001269412465347,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.53
e,AP-SL,true tau=4,,0.3968510416666667,0.0001289272761187,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.64
e,AP-SL,true tau=4,,0.1005844444444444,7.926187870152287e-05,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.8
e,AP-SL,true tau=4,,0.0181680555555555,3.519585805895288e-05,14400000.0,E4_ellipticity_truth.csv (E4 cells pooled (144 cells x 1e5 patients)),,,,0.9
e,AP-SL,true tau=5,,0.435707,0.0004958491808513,1000000.0,"E4_ellipticity_truth.csv (supplementary draw_latent, seed (20260918, spawn_key=(99,0)))",,,,0.53
e,AP-SL,true tau=5,,0.23321,0.00042287479932,1000000.0,"E4_ellipticity_truth.csv (supplementary draw_latent, seed (20260918, spawn_key=(99,1)))",,,,0.64
e,AP-SL,true tau=5,,0.045447,0.000208282428906,1000000.0,"E4_ellipticity_truth.csv (supplementary draw_latent, seed (20260918, spawn_key=(99,2)))",,,,0.8
e,AP-SL,true tau=5,,0.007071,8.379141339660049e-05,1000000.0,"E4_ellipticity_truth.csv (supplementary draw_latent, seed (20260918, spawn_key=(99,3)))",,,,0.9
e,AP-SL,true tau=6,,0.280955,0.0004494655581632,1000000.0,"E4_ellipticity_truth.csv (supplementary draw_latent, seed (20260918, spawn_key=(99,0)))",,,,0.53
e,AP-SL,true tau=6,,0.13199,0.0003384798958579,1000000.0,"E4_ellipticity_truth.csv (supplementary draw_latent, seed (20260918, spawn_key=(99,1)))",,,,0.64
e,AP-SL,true tau=6,,0.02082,0.000142781397948,1000000.0,"E4_ellipticity_truth.csv (supplementary draw_latent, seed (20260918, spawn_key=(99,2)))",,,,0.8
