u,view_over,K,beat_cv,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,s_det,f_rej
low,False,2,0.3,0.3,3.0,A3,AP,T1,0.0086628698929931,0.0763671440493271,0.0116112031542526,0.0061256046739721,1.197057461220343,11.65601040035792,2.9895489623756246,2.739439993555738,h,,
low,False,3,0.05,0.3,3.0,A3,AP,T1,0.0047569084164375,0.0471574935624106,0.0042459079816467,0.0033636590170834,0.2472052659724096,3.2052112542624065,1.5244361526755392,1.5042665216767248,h,,
low,False,3,0.1,0.3,3.0,A3,AP,T1,0.0051368644627669,0.0496122954164901,0.0052339472059007,0.0036323298573534,0.4641991698614731,5.132763851820984,1.6894354479551486,1.6244191733920903,h,,
low,False,3,0.15,0.3,3.0,A3,AP,T1,0.0057424954616385,0.0541100244788699,0.006492633266681,0.0040605777847972,0.7632079664806565,7.813818517305113,1.9697915718520371,1.815936511195782,h,,
low,False,3,0.2,0.3,3.0,A3,AP,T1,0.0065781987356272,0.0597905577518554,0.00798288827151,0.0046515121915738,1.0825418979222396,10.684282154099929,2.345021012400369,2.080209090582188,h,,
low,False,3,0.25,0.3,3.0,A3,AP,T1,0.0074882228375786,0.0667906809000317,0.0096003431413481,0.0052949996225521,1.419778526447377,13.883050933083082,2.7609895177640937,2.3679839793637503,h,,
low,False,3,0.3,0.3,3.0,A3,AP,T1,0.0085348465935802,0.0743513259751714,0.0123163878270227,0.0060350780781733,1.7732865933341777,17.06894395713749,3.229370393139688,2.698955471584299,h,,
low,False,4,0.05,0.3,3.0,A3,AP,T1,0.0047375850318961,0.046961979588947,0.0044253492679919,0.0033499952525197,0.3369082196163549,4.16572060129381,1.535563706649046,1.4981559309513246,h,,
low,False,4,0.1,0.3,3.0,A3,AP,T1,0.0051021884241328,0.0494849027919711,0.0051593222492953,0.0036078100726913,0.5871506871027766,6.404129082367041,1.7169602699463142,1.6134536471605168,h,,
low,False,4,0.15,0.3,3.0,A3,AP,T1,0.0057054007645744,0.0534901327313088,0.0065363371999896,0.0040343477418066,0.9229900770226628,9.367416770114568,2.026582818225081,1.804206138012144,h,,
low,False,4,0.2,0.3,3.0,A3,AP,T1,0.0064565491621712,0.0588545803296213,0.0080702820804502,0.0045654925231553,1.289131949178701,12.709509240137123,2.414647428449888,2.04174011773131,h,,
low,False,4,0.25,0.3,3.0,A3,AP,T1,0.0074622814536082,0.0656484954227633,0.0100219209051219,0.0052766562023159,1.7063850835162766,16.49595598761936,2.9120883944154103,2.3597805934634186,h,,
low,False,4,0.3,0.3,3.0,A3,AP,T1,0.0084284674999613,0.0728310685588011,0.011573163488727,0.0059598563235892,2.102758279250883,20.246165263466693,3.394912043291294,2.6653154484583115,h,,
low,False,1,0.05,0.3,3.0,A1,AP,T1,0.0049828402961972,0.049459046248331,0.0043307440666537,0.0035234177801435,-0.1508536597407553,-1.2208666685391942,1.58290926451911,1.5757124552851225,h,,
low,False,1,0.1,0.3,3.0,A1,AP,T1,0.005441886200772,0.0530071474771982,0.0049497198328702,0.0038480138751289,-0.10344695435335,-0.7577522122919063,1.723973375796424,1.7208755161880118,h,,
low,False,1,0.15,0.3,3.0,A1,AP,T1,0.0061390366357414,0.0581881298445413,0.0057780488043616,0.0043409761400203,-0.0438949492675149,-0.1176360780315071,1.941820321321705,1.941333840816037,h,,
low,False,1,0.2,0.3,3.0,A1,AP,T1,0.0070236014304853,0.0648358125595426,0.0070235243935319,0.0049664610322149,0.0186725674147801,0.4795754802108579,2.221125174146738,2.2210577897550463,h,,
low,False,1,0.25,0.3,3.0,A1,AP,T1,0.008038505761721,0.0727103529280303,0.0085902685123934,0.0056841103553429,0.0935476871446627,1.199075439101788,2.543706752028908,2.541998719142522,h,,
low,False,1,0.3,0.3,3.0,A1,AP,T1,0.0090309169511368,0.0803987581390319,0.0102631724995759,0.0063858545458339,0.1592536080484105,1.8740611835652448,2.8602493338953145,2.8558266925416067,h,,
base,True,1,0.15,0.3,3.0,A1,AP,T1,0.0064144788616132,0.0602618486105945,0.00664129523772,0.0045357441796021,-0.1978563580017708,-1.5720106195534802,2.0380529677785653,2.0284363205701967,i,,
base,True,2,0.15,0.3,3.0,A1,AP,T1,0.0064124312359474,0.0601262270570644,0.0064832465618949,0.0045342962823689,-0.2159055087490201,-1.7084229588772195,2.039240423542363,2.0277888044802443,i,,
base,True,3,0.15,0.3,3.0,A1,AP,T1,0.0064115546076455,0.0600869130848068,0.0064728690451801,0.0045336764094527,-0.2054573046291033,-1.654106942090907,2.037884894854243,2.027511590270724,i,,
base,True,4,0.15,0.3,3.0,A1,AP,T1,0.006415333618091,0.0601467233100358,0.0063816413579382,0.0045363485867258,-0.2020758403383724,-1.5327907213894714,2.038735890664592,2.02870661830165,i,,
base,True,1,0.15,0.3,3.0,A2,AP,T1,0.0064144788616132,0.0602618486105945,0.00664129523772,0.0045357441796021,-0.1978563580017708,-1.5720106195534802,2.0380529677785653,2.0284363205701967,i,,
base,True,2,0.15,0.3,3.0,A2,AP,T1,0.0061825348542863,0.0557386319207644,0.006401577493351,0.0043717341791135,-0.9464267701251928,-8.455838117424806,2.1721093733785404,1.9550891852922043,i,,
base,True,3,0.15,0.3,3.0,A2,AP,T1,0.0058848443076988,0.0521590155491196,0.006362113875009,0.0041612341224235,-1.1818644834460097,-10.599920980296144,2.2045199655308463,1.8609511687805096,i,,
base,True,4,0.15,0.3,3.0,A2,AP,T1,0.005814735072347,0.0504856239837884,0.0065523015102981,0.004111659158807,-1.3821956829907576,-12.393464290784136,2.3003359517889197,1.83878068190807,i,,
base,True,1,0.15,0.3,3.0,A3,AP,T1,0.0064144788616132,0.0602618486105945,0.00664129523772,0.0045357441796021,-0.1978563580017708,-1.5720106195534802,2.0380529677785653,2.0284363205701967,i,,
base,True,2,0.15,0.3,3.0,A3,AP,T1,0.0064152373719666,0.0597482274370683,0.00722141020907,0.0045362805300983,0.2207257616962373,2.558096361763885,2.0406385668397027,2.028676182604743,i,,
base,True,3,0.15,0.3,3.0,A3,AP,T1,0.0064558061752536,0.0597565272458079,0.0075676160779434,0.0045649671494406,0.5389543142012205,5.6254157246467225,2.1114387068080065,2.0415051646381723,i,,
base,True,4,0.15,0.3,3.0,A3,AP,T1,0.0065357777699004,0.0602335389765743,0.0084333225841043,0.0046215158890621,0.7812165924306991,7.984978690843166,2.209501245451227,2.066794403358144,i,,
base,True,1,0.15,0.3,3.0,A4,AP,T1,0.0064144788616132,0.0602618486105945,0.00664129523772,0.0045357441796021,-0.1978563580017708,-1.5720106195534802,2.0380529677785653,2.0284363205701967,i,,
base,True,2,0.15,0.3,3.0,A4,AP,T1,0.0062962703291666,0.0589387185216228,0.0067457018688948,0.0044521577067816,0.1463516789027118,1.963851213944908,1.9964170848527787,1.9910555004304835,i,,
base,True,3,0.15,0.3,3.0,A4,AP,T1,0.0062121376602304,0.0581792672862926,0.0069022568043774,0.0043926666286013,0.4137415331361144,4.622960454140025,2.0075380187067022,1.964450414483735,i,,
base,True,4,0.15,0.3,3.0,A4,AP,T1,0.0062024818769781,0.0582312771057574,0.0073706320862975,0.0043858389246473,0.6065177210049857,6.582875684138906,2.0530229951308123,1.9613969877167252,i,,
base,True,1,0.15,0.3,3.0,A5,AP,T1,0.0064144788616132,0.0602618486105945,0.00664129523772,0.0045357441796021,-0.1978563580017708,-1.5720106195534802,2.0380529677785653,2.0284363205701967,i,,
base,True,2,0.15,0.3,3.0,A5,AP,T1,0.0061825348542863,0.0557386319207644,0.006401577493351,0.0043717341791135,-0.9464267701251928,-8.455838117424806,2.1721093733785404,1.9550891852922043,i,,
base,True,3,0.15,0.3,3.0,A5,AP,T1,0.0062695824069716,0.0559282081410975,0.0071220141672686,0.0044332864016649,-1.11988279453295,-10.07630270705948,2.2770297586127923,1.9826160384151184,i,,
base,True,4,0.15,0.3,3.0,A5,AP,T1,0.0059332959366588,0.0519818761028048,0.0067773481202293,0.0041954947691243,-1.319416494009738,-11.859247804958954,2.293735980417432,1.8762729191664096,i,,
base,True,1,0.15,0.3,3.0,A6,AP,T1,0.0077195224452974,0.0725910498735504,0.0078181627791663,0.0054585539614295,-0.2315912219719335,-2.0914210248728264,2.4520761777344333,2.441127337593236,i,,
base,True,2,0.15,0.3,3.0,A6,AP,T1,0.0077208513989206,0.0726116575054128,0.0079399005237975,0.005459493678247,-0.2458362678635929,-2.1866501171939627,2.4538807003341225,2.4415475896286574,i,,
base,True,3,0.15,0.3,3.0,A6,AP,T1,0.0077299043078592,0.0726220829205106,0.0081782764179003,0.0054658950835541,-0.2420636919139693,-2.225967437773716,2.4563544411156317,2.444410370798257,i,,
