u,axis,cutoff_mm,estimator,sensitivity,sensitivity_mcse,panel,metric,specificity,specificity_mcse,nri_vs_A1,nri_vs_A1_mcse
low,AP,13.0,A6,,,e,specificity,0.908116406534064,0.0010600370552433,,
low,AP,7.0,A7,,,e,specificity,0.766847155953466,0.0030959962018087,,
low,AP,10.0,A7,,,e,specificity,0.8702841964410537,0.0015015294730517,,
low,AP,13.0,A7,,,e,specificity,0.9274950509716255,0.0009516361392996,,
low,AP,7.0,A1,,,f,nri_vs_A1,,,0.0,0.0
low,AP,10.0,A1,,,f,nri_vs_A1,,,0.0,0.0
low,AP,13.0,A1,,,f,nri_vs_A1,,,0.0,0.0
low,AP,7.0,A2,,,f,nri_vs_A1,,,0.054417579711678,0.0026971362894508
low,AP,10.0,A2,,,f,nri_vs_A1,,,0.0351699797167471,0.0018246105219885
low,AP,13.0,A2,,,f,nri_vs_A1,,,0.0115547811653832,0.0022450345681428
low,AP,7.0,A3,,,f,nri_vs_A1,,,-0.0963262953021583,0.0026892828898702
low,AP,10.0,A3,,,f,nri_vs_A1,,,-0.0139979466254595,0.0017653195193245
low,AP,13.0,A3,,,f,nri_vs_A1,,,0.0391849687643863,0.0020618999298351
low,AP,7.0,A4,,,f,nri_vs_A1,,,-0.0910434432014215,0.0026329630860858
low,AP,10.0,A4,,,f,nri_vs_A1,,,-0.0077033235329815,0.0016787417574505
low,AP,13.0,A4,,,f,nri_vs_A1,,,0.0428113829883468,0.0019363567300566
low,AP,7.0,A5,,,f,nri_vs_A1,,,0.0452794681832217,0.0024381604617631
low,AP,10.0,A5,,,f,nri_vs_A1,,,0.0247426030909848,0.0016861992301055
low,AP,13.0,A5,,,f,nri_vs_A1,,,-0.0004749121014306,0.0020773915662282
low,AP,7.0,A6,,,f,nri_vs_A1,,,-0.0389471913364351,0.0029032655924954
low,AP,10.0,A6,,,f,nri_vs_A1,,,-0.0455590346652375,0.0019852724754093
low,AP,13.0,A6,,,f,nri_vs_A1,,,-0.0452102938040866,0.0023576099062909
low,AP,7.0,A7,,,f,nri_vs_A1,,,0.022316301490456,0.002729671350799
low,AP,10.0,A7,,,f,nri_vs_A1,,,0.0455316662100517,0.0017848893329224
low,AP,13.0,A7,,,f,nri_vs_A1,,,0.0585019558853879,0.0021594370174065
