panel,column,rhythm,data_mode,axis,W,beat_cv,N,estimator,estimand,quantity,value,mcse,n
a,N=5,AF_rr0.2,prospective,AP,0.15,0.15,5,rule,,p_window_met_first_N,0.12612,0.00104983,100000
a,N=5,AF_rr0.2,prospective,AP,0.15,0.2,5,rule,,p_window_met_first_N,0.0704,0.000808974,100000
a,N=5,AF_rr0.2,prospective,AP,0.15,0.25,5,rule,,p_window_met_first_N,0.03893,0.000611674,100000
a,N=5,AF_rr0.2,prospective,AP,0.15,0.3,5,rule,,p_window_met_first_N,0.02361,0.000480131,100000
a,N=5,sinus,prospective,AP,0.2,0.05,5,rule,,p_window_met_first_N,0.70868,0.00143685,100000
a,N=5,sinus,prospective,AP,0.2,0.1,5,rule,,p_window_met_first_N,0.53611,0.00157701,100000
a,N=5,sinus,prospective,AP,0.2,0.15,5,rule,,p_window_met_first_N,0.32939,0.00148624,100000
a,N=5,sinus,prospective,AP,0.2,0.2,5,rule,,p_window_met_first_N,0.19217,0.00124596,100000
a,N=5,sinus,prospective,AP,0.2,0.25,5,rule,,p_window_met_first_N,0.11148,0.00099525,100000
a,N=5,sinus,prospective,AP,0.2,0.3,5,rule,,p_window_met_first_N,0.06921,0.000802621,100000
a,N=5,AF_rr0.2,prospective,AP,0.2,0.05,5,rule,,p_window_met_first_N,0.61498,0.00153876,100000
a,N=5,AF_rr0.2,prospective,AP,0.2,0.1,5,rule,,p_window_met_first_N,0.45394,0.00157442,100000
a,N=5,AF_rr0.2,prospective,AP,0.2,0.15,5,rule,,p_window_met_first_N,0.28902,0.00143348,100000
a,N=5,AF_rr0.2,prospective,AP,0.2,0.2,5,rule,,p_window_met_first_N,0.17129,0.00119143,100000
a,N=5,AF_rr0.2,prospective,AP,0.2,0.25,5,rule,,p_window_met_first_N,0.10299,0.000961161,100000
a,N=5,AF_rr0.2,prospective,AP,0.2,0.3,5,rule,,p_window_met_first_N,0.06369,0.000772228,100000
a,N=5,sinus,prospective,AP,0.25,0.05,5,rule,,p_window_met_first_N,0.83516,0.00117332,100000
a,N=5,sinus,prospective,AP,0.25,0.1,5,rule,,p_window_met_first_N,0.72027,0.00141944,100000
a,N=5,sinus,prospective,AP,0.25,0.15,5,rule,,p_window_met_first_N,0.52668,0.00157889,100000
a,N=5,sinus,prospective,AP,0.25,0.2,5,rule,,p_window_met_first_N,0.34425,0.00150247,100000
a,N=5,sinus,prospective,AP,0.25,0.25,5,rule,,p_window_met_first_N,0.21981,0.00130956,100000
a,N=5,sinus,prospective,AP,0.25,0.3,5,rule,,p_window_met_first_N,0.1438,0.0011096,100000
a,N=5,AF_rr0.2,prospective,AP,0.25,0.05,5,rule,,p_window_met_first_N,0.7785,0.00131316,100000
a,N=5,AF_rr0.2,prospective,AP,0.25,0.1,5,rule,,p_window_met_first_N,0.65007,0.00150824,100000
a,N=5,AF_rr0.2,prospective,AP,0.25,0.15,5,rule,,p_window_met_first_N,0.47245,0.00157874,100000
a,N=5,AF_rr0.2,prospective,AP,0.25,0.2,5,rule,,p_window_met_first_N,0.31225,0.00146543,100000
a,N=5,AF_rr0.2,prospective,AP,0.25,0.25,5,rule,,p_window_met_first_N,0.20475,0.00127604,100000
a,N=5,AF_rr0.2,prospective,AP,0.25,0.3,5,rule,,p_window_met_first_N,0.13386,0.00107676,100000
b,N=3,sinus,prospective,AP,0,0.05,3,rule,,beats_acquired_mean,3,0,100000
b,N=3,sinus,prospective,AP,0,0.1,3,rule,,beats_acquired_mean,3,0,100000
b,N=3,sinus,prospective,AP,0,0.15,3,rule,,beats_acquired_mean,3,0,100000
b,N=3,sinus,prospective,AP,0,0.2,3,rule,,beats_acquired_mean,3,0,100000
b,N=3,sinus,prospective,AP,0,0.25,3,rule,,beats_acquired_mean,3,0,100000
b,N=3,sinus,prospective,AP,0,0.3,3,rule,,beats_acquired_mean,3,0,100000
b,N=3,sinus,prospective,AP,0.1,0.05,3,rule,,beats_acquired_mean,3.88022,0.00339957,100000
b,N=3,sinus,prospective,AP,0.1,0.1,3,rule,,beats_acquired_mean,4.22079,0.00373162,100000
b,N=3,sinus,prospective,AP,0.1,0.15,3,rule,,beats_acquired_mean,4.63978,0.00419535,100000
b,N=3,sinus,prospective,AP,0.1,0.2,3,rule,,beats_acquired_mean,5.0653,0.00470854,100000
b,N=3,sinus,prospective,AP,0.1,0.25,3,rule,,beats_acquired_mean,5.49448,0.00523948,100000
b,N=3,sinus,prospective,AP,0.1,0.3,3,rule,,beats_acquired_mean,5.9055,0.0057583,100000
b,N=3,AF_rr0.2,prospective,AP,0.1,0.05,3,rule,,beats_acquired_mean,4.06892,0.00356736,100000
b,N=3,AF_rr0.2,prospective,AP,0.1,0.1,3,rule,,beats_acquired_mean,4.37267,0.00391055,100000
b,N=3,AF_rr0.2,prospective,AP,0.1,0.15,3,rule,,beats_acquired_mean,4.74026,0.0042976,100000
b,N=3,AF_rr0.2,prospective,AP,0.1,0.2,3,rule,,beats_acquired_mean,5.14806,0.00479604,100000
b,N=3,AF_rr0.2,prospective,AP,0.1,0.25,3,rule,,beats_acquired_mean,5.55934,0.0053425,100000
b,N=3,AF_rr0.2,prospective,AP,0.1,0.3,3,rule,,beats_acquired_mean,5.95746,0.00583923,100000
b,N=3,sinus,prospective,AP,0.15,0.05,3,rule,,beats_acquired_mean,3.40026,0.0023088,100000
b,N=3,sinus,prospective,AP,0.15,0.1,3,rule,,beats_acquired_mean,3.60697,0.00264806,100000
b,N=3,sinus,prospective,AP,0.15,0.15,3,rule,,beats_acquired_mean,3.9011,0.00306328,100000
b,N=3,sinus,prospective,AP,0.15,0.2,3,rule,,beats_acquired_mean,4.22935,0.00351463,100000
b,N=3,sinus,prospective,AP,0.15,0.25,3,rule,,beats_acquired_mean,4.54956,0.00393515,100000
b,N=3,sinus,prospective,AP,0.15,0.3,3,rule,,beats_acquired_mean,4.85491,0.00436541,100000
b,N=3,AF_rr0.2,prospective,AP,0.15,0.05,3,rule,,beats_acquired_mean,3.51671,0.00250149,100000
b,N=3,AF_rr0.2,prospective,AP,0.15,0.1,3,rule,,beats_acquired_mean,3.71515,0.00280806,100000
b,N=3,AF_rr0.2,prospective,AP,0.15,0.15,3,rule,,beats_acquired_mean,3.99483,0.00319746,100000
b,N=3,AF_rr0.2,prospective,AP,0.15,0.2,3,rule,,beats_acquired_mean,4.30327,0.00360476,100000
b,N=3,AF_rr0.2,prospective,AP,0.15,0.25,3,rule,,beats_acquired_mean,4.60259,0.0040122,100000
b,N=3,AF_rr0.2,prospective,AP,0.15,0.3,3,rule,,beats_acquired_mean,4.90625,0.00441749,100000
b,N=3,sinus,prospective,AP,0.2,0.05,3,rule,,beats_acquired_mean,3.1896,0.00160398,100000
b,N=3,sinus,prospective,AP,0.2,0.1,3,rule,,beats_acquired_mean,3.31453,0.00193914,100000
b,N=3,sinus,prospective,AP,0.2,0.15,3,rule,,beats_acquired_mean,3.51768,0.00234195,100000
b,N=3,sinus,prospective,AP,0.2,0.2,3,rule,,beats_acquired_mean,3.76624,0.00275906,100000
b,N=3,sinus,prospective,AP,0.2,0.25,3,rule,,beats_acquired_mean,4.02494,0.00316245,100000
b,N=3,sinus,prospective,AP,0.2,0.3,3,rule,,beats_acquired_mean,4.27524,0.00352136,100000
b,N=3,AF_rr0.2,prospective,AP,0.2,0.05,3,rule,,beats_acquired_mean,3.25363,0.00178585,100000
b,N=3,AF_rr0.2,prospective,AP,0.2,0.1,3,rule,,beats_acquired_mean,3.37948,0.00208518,100000
b,N=3,AF_rr0.2,prospective,AP,0.2,0.15,3,rule,,beats_acquired_mean,3.58631,0.00246507,100000
b,N=3,AF_rr0.2,prospective,AP,0.2,0.2,3,rule,,beats_acquired_mean,3.8223,0.00285761,100000
b,N=3,AF_rr0.2,prospective,AP,0.2,0.25,3,rule,,beats_acquired_mean,4.07046,0.00321653,100000
b,N=3,AF_rr0.2,prospective,AP,0.2,0.3,3,rule,,beats_acquired_mean,4.31499,0.00357654,100000
b,N=3,sinus,prospective,AP,0.25,0.05,3,rule,,beats_acquired_mean,3.09514,0.00112031,100000
b,N=3,sinus,prospective,AP,0.25,0.1,3,rule,,beats_acquired_mean,3.15676,0.00138314,100000
b,N=3,sinus,prospective,AP,0.25,0.15,3,rule,,beats_acquired_mean,3.29557,0.00180624,100000
b,N=3,sinus,prospective,AP,0.25,0.2,3,rule,,beats_acquired_mean,3.48297,0.00223086,100000
b,N=3,sinus,prospective,AP,0.25,0.25,3,rule,,beats_acquired_mean,3.68334,0.00258227,100000
b,N=3,sinus,prospective,AP,0.25,0.3,3,rule,,beats_acquired_mean,3.89711,0.0029284,100000
