u,view_over,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,K,beat_cv,s_det,f_rej
base,True,0.6,3.0,A5,AP,T1,0.0066127507069002,0.0583619600806693,0.0078876167186151,0.004675944246925,-1.1860615553249805,-10.655708550948294,2.4040685255851257,2.091135383269348,a,,,,
base,True,0.9,3.0,A5,AP,T1,0.0072929179536187,0.0630927687249029,0.0089396573635903,0.005156897524193,-1.3068102488129367,-11.69968317946969,2.650729157717129,2.306223152216956,a,,,,
base,True,0.0,3.0,A6,AP,T1,0.0077149870119553,0.0726841672996854,0.0078342511239492,0.0054553469097225,-0.2279072229716101,-2.06172333614007,2.4503029691697478,2.4396931076395743,a,,,,
base,True,0.3,3.0,A6,AP,T1,0.0077299043078592,0.0726220829205106,0.0081782764179003,0.0054658950835541,-0.2420636919139693,-2.225967437773716,2.4563544411156317,2.444410370798257,a,,,,
base,True,0.6,3.0,A6,AP,T1,0.0077235733030047,0.0727168285623321,0.0078600335942499,0.0054614183647061,-0.2428312742518499,-2.166275424658799,2.4544379867617305,2.4424083312764813,a,,,,
base,True,0.9,3.0,A6,AP,T1,0.0077625538917908,0.0727628442588199,0.0080615672357659,0.0054889819411896,-0.2454425301053613,-2.218214269287324,2.4669629244553515,2.4547350757863264,a,,,,
base,True,0.0,3.0,A7,AP,T1,0.0053857790575971,0.0526435471488352,0.0050768059733136,0.0038083399353467,0.2684478640099332,2.866418204464076,1.7241510533595048,1.703132879644231,a,,,,
base,True,0.3,3.0,A7,AP,T1,0.0054089789585981,0.0527319368003975,0.0051717633822464,0.003824744824692,0.2669869540749441,2.8258541898687044,1.73117246802525,1.7104693325095874,a,,,,
base,True,0.6,3.0,A7,AP,T1,0.005431434270284,0.0530411154977752,0.0052696454565805,0.0038406232072509,0.265515714831062,2.82082950778409,1.7379634396573689,1.7175703255592345,a,,,,
base,True,0.9,3.0,A7,AP,T1,0.0054236229461023,0.0528991797003207,0.0053072839839435,0.0038350997393345,0.2602486992373766,2.7548912426813703,1.7347243458018415,1.715100167963592,a,,,,
low,True,0.0,3.0,A1,AP,T1,0.006374985134134,0.0601429119902864,0.0067148584936191,0.0045078177574547,0.0463929914171479,0.722072598185992,2.016470980515249,2.015947307357749,b,,,,
low,True,0.3,3.0,A1,AP,T1,0.006408028717276,0.0599852386517184,0.0071446374618987,0.0045311832159967,0.0518829240294468,0.7480809313823077,2.027050561559152,2.026396605835952,b,,,,
