p_adjudication_value,p_beat_cv,p_view_over,ref,metric,value,mcse
adjudicator,0.3,False,adj_tol2,ref_mae_vs_T1,1.973306981438472,0.004045768498800352
adjudicator,0.3,False,adj_tol2,ref_ba_bias_vs_T1,1.0035375841770497,0.008987756321428824
adjudicator,0.3,False,adj_tol3,ref_mae_vs_T1,1.93991531525875,0.0040343838728123605
adjudicator,0.3,False,adj_tol3,ref_ba_bias_vs_T1,1.0034862362638919,0.008888351245942989
adjudicator,0.3,True,single,ref_mae_vs_T1,2.153568616758115,0.0043795489228741595
adjudicator,0.3,True,single,ref_ba_bias_vs_T1,1.1105634265865743,0.009149559914179914
adjudicator,0.3,True,mean2,ref_mae_vs_T1,1.9462205514615378,0.0043980135641012155
adjudicator,0.3,True,mean2,ref_ba_bias_vs_T1,1.1091447771232863,0.008939593768115279
adjudicator,0.3,True,adj_tol1,ref_mae_vs_T1,2.0922639267519783,0.004399611885968758
adjudicator,0.3,True,adj_tol1,ref_ba_bias_vs_T1,1.104316171215959,0.009163557144154932
adjudicator,0.3,True,adj_tol2,ref_mae_vs_T1,2.0457680757959293,0.0044136725450399225
adjudicator,0.3,True,adj_tol2,ref_ba_bias_vs_T1,1.102888234981233,0.009136567528684476
adjudicator,0.3,True,adj_tol3,ref_mae_vs_T1,2.012312696532898,0.004375374623599637
adjudicator,0.3,True,adj_tol3,ref_ba_bias_vs_T1,1.1009345836835882,0.009008298114085257
closest_pair_mean,0.05,False,single,ref_mae_vs_T1,1.2018004670915476,0.002915804344336708
closest_pair_mean,0.05,False,single,ref_ba_bias_vs_T1,-0.10745623163025508,0.008450700666484852
closest_pair_mean,0.05,False,mean2,ref_mae_vs_T1,1.072255980426219,0.002197595614831755
closest_pair_mean,0.05,False,mean2,ref_ba_bias_vs_T1,-0.10700276917723454,0.008395942245223536
closest_pair_mean,0.05,False,adj_tol1,ref_mae_vs_T1,1.106999831712772,0.002473564123512838
closest_pair_mean,0.05,False,adj_tol1,ref_ba_bias_vs_T1,-0.10785533404770872,0.008879567845752914
closest_pair_mean,0.05,False,adj_tol2,ref_mae_vs_T1,1.092226956377217,0.002433794006924114
closest_pair_mean,0.05,False,adj_tol2,ref_ba_bias_vs_T1,-0.10772968101331364,0.00862251149297569
closest_pair_mean,0.05,False,adj_tol3,ref_mae_vs_T1,1.0784322289654928,0.00229045088134454
closest_pair_mean,0.05,False,adj_tol3,ref_ba_bias_vs_T1,-0.10718397414007517,0.008425902159011211
closest_pair_mean,0.05,True,single,ref_mae_vs_T1,1.2854908512554335,0.0028991948542863794
closest_pair_mean,0.05,True,single,ref_ba_bias_vs_T1,0.09415299321704304,0.00882003716683648
closest_pair_mean,0.05,True,mean2,ref_mae_vs_T1,1.1498059188579497,0.002266834526432471
closest_pair_mean,0.05,True,mean2,ref_ba_bias_vs_T1,0.0955910701997149,0.008712163388803741
closest_pair_mean,0.05,True,adj_tol1,ref_mae_vs_T1,1.1910894843184365,0.0025909101830011902
closest_pair_mean,0.05,True,adj_tol1,ref_ba_bias_vs_T1,0.0965735945749168,0.00928963503879532
closest_pair_mean,0.05,True,adj_tol2,ref_mae_vs_T1,1.1755595565743504,0.0025153210025794888
closest_pair_mean,0.05,True,adj_tol2,ref_ba_bias_vs_T1,0.094785042065567,0.009057691846175615
closest_pair_mean,0.05,True,adj_tol3,ref_mae_vs_T1,1.1591048804792878,0.0023531512024552717
closest_pair_mean,0.05,True,adj_tol3,ref_ba_bias_vs_T1,0.09376246425356613,0.008789777849734523
closest_pair_mean,0.1,False,single,ref_mae_vs_T1,1.2788169450414006,0.002764375129473587
closest_pair_mean,0.1,False,single,ref_ba_bias_vs_T1,0.041316498225749405,0.008555488645707973
closest_pair_mean,0.1,False,mean2,ref_mae_vs_T1,1.1391199673145758,0.002106806179865713
closest_pair_mean,0.1,False,mean2,ref_ba_bias_vs_T1,0.042372752019613075,0.008505865204128982
closest_pair_mean,0.1,False,adj_tol1,ref_mae_vs_T1,1.1831691177861012,0.002393635945955051
closest_pair_mean,0.1,False,adj_tol1,ref_ba_bias_vs_T1,0.0404565648145218,0.008906430320650891
closest_pair_mean,0.1,False,adj_tol2,ref_mae_vs_T1,1.167881532799043,0.0023524213619790027
closest_pair_mean,0.1,False,adj_tol2,ref_ba_bias_vs_T1,0.04080958805042236,0.008759940093543967
closest_pair_mean,0.1,False,adj_tol3,ref_mae_vs_T1,1.150773975561252,0.0022251232330332098
closest_pair_mean,0.1,False,adj_tol3,ref_ba_bias_vs_T1,0.04226858523805751,0.008576108690528458
closest_pair_mean,0.1,True,single,ref_mae_vs_T1,1.363979363837225,0.002977915763229481
closest_pair_mean,0.1,True,single,ref_ba_bias_vs_T1,0.2359091318640319,0.008588943331323737
closest_pair_mean,0.1,True,mean2,ref_mae_vs_T1,1.2203695808962862,0.0024797418716296835
closest_pair_mean,0.1,True,mean2,ref_ba_bias_vs_T1,0.23599448074966353,0.008504417902985197
closest_pair_mean,0.1,True,adj_tol1,ref_mae_vs_T1,1.2661364661802421,0.0026665434901356577
closest_pair_mean,0.1,True,adj_tol1,ref_ba_bias_vs_T1,0.23649203024994522,0.008916776811837408
closest_pair_mean,0.1,True,adj_tol2,ref_mae_vs_T1,1.2521054389630006,0.0026492017330309535
closest_pair_mean,0.1,True,adj_tol2,ref_ba_bias_vs_T1,0.23636690253432568,0.008712532664508756
closest_pair_mean,0.1,True,adj_tol3,ref_mae_vs_T1,1.2346245805264566,0.0025612018874163517
closest_pair_mean,0.1,True,adj_tol3,ref_ba_bias_vs_T1,0.2348117008233861,0.00854247922607123
closest_pair_mean,0.15,False,single,ref_mae_vs_T1,1.4259487036373886,0.002934963343941597
closest_pair_mean,0.15,False,single,ref_ba_bias_vs_T1,0.2614465780854749,0.008866974431140043
closest_pair_mean,0.15,False,mean2,ref_mae_vs_T1,1.268975952800363,0.0025135386052855375
closest_pair_mean,0.15,False,mean2,ref_ba_bias_vs_T1,0.263063944407939,0.008742461324974792
closest_pair_mean,0.15,False,adj_tol1,ref_mae_vs_T1,1.3249684002073836,0.002643744486277052
closest_pair_mean,0.15,False,adj_tol1,ref_ba_bias_vs_T1,0.26516183392079135,0.009030955927526129
closest_pair_mean,0.15,False,adj_tol2,ref_mae_vs_T1,1.310588514600287,0.0026434924332307246
closest_pair_mean,0.15,False,adj_tol2,ref_ba_bias_vs_T1,0.2658451488566908,0.008916215890924117
closest_pair_mean,0.15,False,adj_tol3,ref_mae_vs_T1,1.2916682506333275,0.0025889284855222603
closest_pair_mean,0.15,False,adj_tol3,ref_ba_bias_vs_T1,0.2661097221304799,0.008794321992701363
closest_pair_mean,0.15,True,single,ref_mae_vs_T1,1.5023735616038012,0.0031488791452743644
closest_pair_mean,0.15,True,single,ref_ba_bias_vs_T1,0.3971097103464671,0.008666850082446617
closest_pair_mean,0.15,True,mean2,ref_mae_vs_T1,1.3401826057873398,0.0027472926860364895
closest_pair_mean,0.15,True,mean2,ref_ba_bias_vs_T1,0.3976474195774866,0.00861616318308528
closest_pair_mean,0.15,True,adj_tol1,ref_mae_vs_T1,1.3965978180174574,0.0028911533794388697
closest_pair_mean,0.15,True,adj_tol1,ref_ba_bias_vs_T1,0.3996093363211846,0.008774466495720213
closest_pair_mean,0.15,True,adj_tol2,ref_mae_vs_T1,1.3849255036048234,0.002891981269150666
closest_pair_mean,0.15,True,adj_tol2,ref_ba_bias_vs_T1,0.398980388373691,0.008739164302513461
closest_pair_mean,0.15,True,adj_tol3,ref_mae_vs_T1,1.36574603773368,0.00285184464518132
closest_pair_mean,0.15,True,adj_tol3,ref_ba_bias_vs_T1,0.39740917718311425,0.008651901183548924
closest_pair_mean,0.2,False,single,ref_mae_vs_T1,1.6142024190098223,0.003317522178649079
closest_pair_mean,0.2,False,single,ref_ba_bias_vs_T1,0.5049913607940006,0.008974541756616128
closest_pair_mean,0.2,False,mean2,ref_mae_vs_T1,1.4408355960571195,0.003032399498282934
closest_pair_mean,0.2,False,mean2,ref_ba_bias_vs_T1,0.5038214975223272,0.008809094624039974
closest_pair_mean,0.2,False,adj_tol1,ref_mae_vs_T1,1.508166417589267,0.003175706386513963
closest_pair_mean,0.2,False,adj_tol1,ref_ba_bias_vs_T1,0.5109649434487445,0.009179506295844669
closest_pair_mean,0.2,False,adj_tol2,ref_mae_vs_T1,1.4956244345040266,0.0031722102759604294
closest_pair_mean,0.2,False,adj_tol2,ref_ba_bias_vs_T1,0.5102073771346691,0.009070462495729022
closest_pair_mean,0.2,False,adj_tol3,ref_mae_vs_T1,1.477332836456626,0.003122399334439217
closest_pair_mean,0.2,False,adj_tol3,ref_ba_bias_vs_T1,0.5091657658014281,0.008923135170331525
closest_pair_mean,0.2,True,single,ref_mae_vs_T1,1.6885223574192132,0.0035594450355105355
closest_pair_mean,0.2,True,single,ref_ba_bias_vs_T1,0.6162203194821236,0.008747166391488837
closest_pair_mean,0.2,True,mean2,ref_mae_vs_T1,1.5110471026900447,0.0033496383647722895
closest_pair_mean,0.2,True,mean2,ref_ba_bias_vs_T1,0.6152338331430522,0.008664282844052086
closest_pair_mean,0.2,True,adj_tol1,ref_mae_vs_T1,1.5776290732368965,0.0033736146755165893
closest_pair_mean,0.2,True,adj_tol1,ref_ba_bias_vs_T1,0.6115061672276336,0.008915678074723687
closest_pair_mean,0.2,True,adj_tol2,ref_mae_vs_T1,1.5661942852177424,0.0033574791807046795
closest_pair_mean,0.2,True,adj_tol2,ref_ba_bias_vs_T1,0.6109925502176305,0.008849058570389102
closest_pair_mean,0.2,True,adj_tol3,ref_mae_vs_T1,1.5481157780158488,0.0033285689664882614
closest_pair_mean,0.2,True,adj_tol3,ref_ba_bias_vs_T1,0.6115669951219389,0.008729941200309795
closest_pair_mean,0.25,False,single,ref_mae_vs_T1,1.8301726374453582,0.003714345428960119
closest_pair_mean,0.25,False,single,ref_ba_bias_vs_T1,0.7397034191101481,0.00909736004633042
closest_pair_mean,0.25,False,mean2,ref_mae_vs_T1,1.6453293275032683,0.0035872206648610854
closest_pair_mean,0.25,False,mean2,ref_ba_bias_vs_T1,0.737840038920462,0.008976071230019672
closest_pair_mean,0.25,False,adj_tol1,ref_mae_vs_T1,1.7225255545832625,0.0035198065276855033
closest_pair_mean,0.25,False,adj_tol1,ref_ba_bias_vs_T1,0.7362794084066229,0.009099653868042967
closest_pair_mean,0.25,False,adj_tol2,ref_mae_vs_T1,1.7129960761378198,0.0035623317068103596
closest_pair_mean,0.25,False,adj_tol2,ref_ba_bias_vs_T1,0.7376009930417127,0.009074742924555049
closest_pair_mean,0.25,False,adj_tol3,ref_mae_vs_T1,1.6936699500334915,0.0035920195625739853
closest_pair_mean,0.25,False,adj_tol3,ref_ba_bias_vs_T1,0.7394084232388288,0.00902164088384235
closest_pair_mean,0.25,True,single,ref_mae_vs_T1,1.9116895833517298,0.0037892610630895682
closest_pair_mean,0.25,True,single,ref_ba_bias_vs_T1,0.8542622691861672,0.009013603427762773
closest_pair_mean,0.25,True,mean2,ref_mae_vs_T1,1.7164988785532274,0.0036971646541659577
closest_pair_mean,0.25,True,mean2,ref_ba_bias_vs_T1,0.8534055209714994,0.008793467575867183
closest_pair_mean,0.25,True,adj_tol1,ref_mae_vs_T1,1.7958644738049736,0.003736503566295942
closest_pair_mean,0.25,True,adj_tol1,ref_ba_bias_vs_T1,0.850428703431865,0.009020842277666299
closest_pair_mean,0.25,True,adj_tol2,ref_mae_vs_T1,1.785297681308363,0.0037343238927610924
closest_pair_mean,0.25,True,adj_tol2,ref_ba_bias_vs_T1,0.8506476809331424,0.00898586985527063
closest_pair_mean,0.25,True,adj_tol3,ref_mae_vs_T1,1.7675243867021555,0.0037368956643514376
closest_pair_mean,0.25,True,adj_tol3,ref_ba_bias_vs_T1,0.8500606815908348,0.0089306329996721
closest_pair_mean,0.3,False,single,ref_mae_vs_T1,2.0842461966292882,0.004073201455736054
closest_pair_mean,0.3,False,single,ref_ba_bias_vs_T1,1.0113151965959197,0.008818097287243821
closest_pair_mean,0.3,False,mean2,ref_mae_vs_T1,1.8817208355825528,0.003997612644493078
closest_pair_mean,0.3,False,mean2,ref_ba_bias_vs_T1,1.0108883583186548,0.008673089505226692
closest_pair_mean,0.3,False,adj_tol1,ref_mae_vs_T1,1.9748356439965151,0.004031063784806153
closest_pair_mean,0.3,False,adj_tol1,ref_ba_bias_vs_T1,1.017694268404097,0.008926355776751334
closest_pair_mean,0.3,False,adj_tol2,ref_mae_vs_T1,1.9660119616960747,0.0040349050591319035
closest_pair_mean,0.3,False,adj_tol2,ref_ba_bias_vs_T1,1.0172003032680217,0.008879221362449584
closest_pair_mean,0.3,False,adj_tol3,ref_mae_vs_T1,1.9479178480860393,0.004021045965707504
