u_level,variant,p_K,p_beat_cv,p_view_over,estimator,metric,value,mcse,n
base,median/triggered,1,0.25,True,A6,bias_mm,-0.07038920054909531,0.010536156408738466,100000
base,median/triggered,1,0.25,True,A6,rmse_mm,3.3325519974791296,0.013353292915403882,100000
base,median/triggered,1,0.25,True,A7,bias_mm,0.35369580733914685,0.008175701987892732,100000
base,median/triggered,1,0.25,True,A7,rmse_mm,2.6094528509842085,0.008952850991099852,100000
base,median/triggered,1,0.25,True,A4,bias_mm,-0.08876695818019947,0.008134064805075189,100000
base,median/triggered,1,0.25,True,A4,rmse_mm,2.5737355021778368,0.009215067108749805,100000
base,median/triggered,1,0.3,False,A1,bias_mm,-0.08797317329193906,0.008938602074194401,100000
base,median/triggered,1,0.3,False,A1,rmse_mm,2.8279886995338686,0.010005309841688344,100000
base,median/triggered,1,0.3,False,A2,bias_mm,-0.08797317329193906,0.008938602074194401,100000
base,median/triggered,1,0.3,False,A2,rmse_mm,2.8279886995338686,0.010005309841688344,100000
base,median/triggered,1,0.3,False,A3,bias_mm,-0.08797317329193906,0.008938602074194401,100000
base,median/triggered,1,0.3,False,A3,rmse_mm,2.8279886995338686,0.010005309841688344,100000
base,median/triggered,1,0.3,False,A5,bias_mm,-0.08797317329193906,0.008938602074194401,100000
base,median/triggered,1,0.3,False,A5,rmse_mm,2.8279886995338686,0.010005309841688344,100000
base,median/triggered,1,0.3,False,A6,bias_mm,-0.023016644751980102,0.011946436569073595,100000
base,median/triggered,1,0.3,False,A6,rmse_mm,3.777846174538983,0.014841331549877764,100000
base,median/triggered,1,0.3,False,A7,bias_mm,0.45337542796926905,0.009280433372741727,100000
base,median/triggered,1,0.3,False,A7,rmse_mm,2.969529846765742,0.011409905152355702,100000
base,median/triggered,1,0.3,False,A4,bias_mm,-0.08797317329193906,0.008938602074194401,100000
base,median/triggered,1,0.3,False,A4,rmse_mm,2.8279886995338686,0.010005309841688344,100000
base,median/triggered,1,0.3,True,A1,bias_mm,-0.0003545493301535592,0.009156928323449283,100000
base,median/triggered,1,0.3,True,A1,rmse_mm,2.8956605305953387,0.010231967347178468,100000
