centering,beat_cv,N,rmse_nowindow,rmse_w15,diff,diff_lo,diff_hi
mean,0.3,3,2.5701798894785557,2.8332476371987014,0.26306774772014574,0.23743404331067577,0.28870145212961573
mean,0.3,5,2.235687827324814,2.53541247880053,0.2997246514757159,0.2778638655575991,0.3215854373938327
mean,0.3,7,2.060274301519143,2.3789403829769156,0.3186660814577724,0.2988973985851631,0.3384347643303817
mean,0.3,10,1.9227207263853598,2.240785283898521,0.3180645575131611,0.29819124608986214,0.33793786893646005
mean,0.3,13,1.8638040821501543,1.9441533583014787,0.08034927615132448,0.06315236878648847,0.09754618351616048
median,0.05,1,1.929463014159141,1.9398798868951321,0.010416872735991234,-0.004907680318889478,0.025741425790871946
median,0.05,3,1.699489532798488,1.7066411511068498,0.007151618308361751,-0.007183845270796166,0.021487081887519667
median,0.05,5,1.6501993464823905,1.6509752504753274,0.0007759039929369216,-0.013569614671925027,0.01512142265779887
median,0.05,7,1.6183317169283482,1.6294015789392988,0.011069862010950615,-0.003707663416080262,0.02584738743798149
median,0.05,10,1.6049660769238068,1.606777624018576,0.0018115470947692724,-0.013786483464744004,0.017409577654282547
median,0.05,13,1.5920807042142189,1.5931242194809863,0.0010435152667673808,-0.013237815601051476,0.015324846134586238
median,0.1,1,2.17568729846043,2.180253193274577,0.004565894814146709,-0.013522509679754921,0.02265429930804834
median,0.1,3,1.7864713831327501,1.8410302566070302,0.05455887347428012,0.038852662971922414,0.07026508397663783
median,0.1,5,1.6938212140327578,1.7453671179408516,0.05154590390809388,0.0345505212514243,0.06854128656476347
median,0.1,7,1.6590748006768272,1.6861815870309276,0.027106786354100354,0.012011403025865909,0.0422021696823348
median,0.1,10,1.629175834296983,1.6521893666436611,0.023013532346678023,0.00883301591034418,0.037194048783011864
median,0.1,13,1.6179082747636462,1.6337652982942215,0.015857023530575276,0.0011848964676303992,0.030529150593520155
median,0.15,1,2.5238484400364767,2.5303108555204012,0.006462415483924566,-0.016166486736555154,0.029091317704404287
median,0.15,3,1.9353553487725128,2.0316104723573125,0.0962551235847997,0.07818564128789052,0.1143246058817089
median,0.15,5,1.7815669436580517,1.8917822068556922,0.11021526319764052,0.09425780359793248,0.12617272279734856
median,0.15,7,1.7194138604213958,1.803276794364094,0.08386293394269817,0.06768502785322898,0.10004084003216736
median,0.15,10,1.6802297213130875,1.7525581792197793,0.07232845790669185,0.05674994390916774,0.08790697190421595
median,0.15,13,1.6488435936440444,1.7085520409148558,0.05970844727081137,0.0441029762637589,0.07531391827786385
median,0.2,1,2.9817801169558695,2.982381740738911,0.000601623783041294,-0.02993765038147182,0.031140897947554407
median,0.2,3,2.1299724423420376,2.2871345165286874,0.15716207418664974,0.1369088309285697,0.17741531744472977
median,0.2,5,1.919871303700699,2.0950916076847634,0.17522030398406452,0.15472302847268707,0.19571757949544197
median,0.2,7,1.823447077569608,1.989452616018591,0.16600553844898291,0.1483389726375366,0.18367210426042924
median,0.2,10,1.739753775750777,1.892457393642538,0.1527036178917609,0.1357951401967407,0.16961209558678111
median,0.2,13,1.6926689407824735,1.830027176233897,0.13735823545142356,0.12099547580325078,0.15372099509959633
median,0.25,1,3.474792342559774,3.499137440023033,0.024345097463258636,-0.014102358586404282,0.06279255351292155
median,0.25,3,2.3696459393601117,2.581700039765967,0.21205410040585537,0.18667712804367598,0.23743107276803477
median,0.25,5,2.069610375275264,2.3173992395585294,0.2477888642832653,0.2269667837457494,0.2686109448207812
median,0.25,7,1.942637957463403,2.1807538388998937,0.23811588143649076,0.21811361931264409,0.25811814356033747
median,0.25,10,1.8244492664564724,2.0644871799416933,0.24003791348522086,0.2219654782285217,0.25811034874192
median,0.25,13,1.7811610484564913,1.9148309873334055,0.13366993887691425,0.11579296024464747,0.15154691750918103
median,0.3,1,4.057396301198271,4.024849505566628,-0.0325467956316432,-0.08154596544194244,0.01645237417865604
median,0.3,3,2.667680630552847,2.8987624103745357,0.23108177982168865,0.2023225985235189,0.25984096111985844
median,0.3,5,2.2806951422774424,2.5673244321479727,0.28662928987053027,0.2627360842105572,0.3105224955305033
median,0.3,7,2.0942723749056427,2.3982955974039997,0.304023222498357,0.28252633882726264,0.3255201061694514
median,0.3,10,1.943381856462678,2.2345588966855945,0.29117704022291657,0.27132664435769005,0.3110274360881431
median,0.3,13,1.8739404340125427,1.9382801145828854,0.06433968057034267,0.04429352038496027,0.08438584075572508
