p_beat_noise_centering,p_beat_cv,p_window,p_N_beats,value,mcse
mean,0.15,0.15,3,2.034892337560305,0.0061631692929677035
mean,0.15,0.15,5,1.8957495007232736,0.005985217004861038
mean,0.15,0.15,7,1.8183230877105474,0.005722056682316217
mean,0.15,0.15,10,1.7662277415518741,0.005553467131781311
mean,0.15,0.15,13,1.717495543845457,0.00540778600374561
mean,0.15,0.2,1,2.532587173313129,0.008132130328236903
mean,0.15,0.2,3,2.019002757588211,0.0065210764787166815
mean,0.15,0.2,5,1.8703424533304818,0.005931034721695979
mean,0.15,0.2,7,1.7998770958077626,0.0057982240899976615
mean,0.15,0.2,10,1.734450257203649,0.005851798452268762
mean,0.15,0.2,13,1.7066358252477458,0.00537737667771553
mean,0.15,0.25,1,2.5273451252629933,0.007679934052745655
mean,0.15,0.25,3,1.9969539816653339,0.006366758092325675
mean,0.15,0.25,5,1.8506408393544116,0.0056246090054036515
mean,0.15,0.25,7,1.7782543328936897,0.005610813346921537
mean,0.15,0.25,10,1.7146713362974724,0.005499686018430594
mean,0.15,0.25,13,1.6868000269115946,0.005321127097656566
mean,0.2,,1,2.9303174103987555,0.009644342432216763
mean,0.2,,3,2.1123748698111364,0.006554258823095966
mean,0.2,,5,1.9192950417473162,0.006103722888309538
mean,0.2,,7,1.8200166852342046,0.005669764948004106
mean,0.2,,10,1.7423049877200458,0.0053170144508348964
mean,0.2,,13,1.7064318922944433,0.005581069979969482
mean,0.2,0.1,1,2.9452341059682294,0.00957049942379887
mean,0.2,0.1,3,2.279054691823488,0.007104486454043029
mean,0.2,0.1,5,2.0932053352443734,0.0065925269223926245
mean,0.2,0.1,7,2.010575785059189,0.006340001490935056
mean,0.2,0.1,10,1.917281726869879,0.006033171995419105
mean,0.2,0.1,13,1.7324982730404872,0.005605033560393166
mean,0.2,0.15,1,2.9551052956626833,0.009720986712332859
mean,0.2,0.15,3,2.288298522637969,0.007036591479525226
mean,0.2,0.15,5,2.088564171576028,0.0065639182578996185
mean,0.2,0.15,7,1.9990499877277763,0.006626185524025624
mean,0.2,0.15,10,1.898717695579149,0.0061724954791444134
mean,0.2,0.15,13,1.8517598710076129,0.006024532778033494
mean,0.2,0.2,1,2.9537959689867774,0.010186763180406554
mean,0.2,0.2,3,2.267621330264144,0.007262801929919087
mean,0.2,0.2,5,2.075359872897389,0.006878897134406285
mean,0.2,0.2,7,1.974938800429612,0.00639117009554595
mean,0.2,0.2,10,1.862685704145354,0.005864734365870974
mean,0.2,0.2,13,1.8123711385591823,0.0057075003288269074
mean,0.2,0.25,1,2.9488891874070564,0.009564366837331206
mean,0.2,0.25,3,2.2345688092747484,0.006956130109805288
mean,0.2,0.25,5,2.027496919484908,0.006271053944251139
mean,0.2,0.25,7,1.923018178686629,0.006044723090619913
mean,0.2,0.25,10,1.835968746807611,0.005658320618234649
mean,0.2,0.25,13,1.7780746398237124,0.005419645543167148
mean,0.25,,1,3.4111330680541094,0.012234702532392224
mean,0.25,,3,2.3576432407685335,0.007710497383338905
mean,0.25,,5,2.066767432736491,0.006694701618998773
mean,0.25,,7,1.9383413512225258,0.006757576215131118
mean,0.25,,10,1.833541945934954,0.005944039190216464
mean,0.25,,13,1.7804130693110627,0.006019448263520607
mean,0.25,0.1,1,3.4080870328156068,0.012129192589265389
mean,0.25,0.1,3,2.550305785730974,0.00831805790283563
mean,0.25,0.1,5,2.3012459172760256,0.007214989969457257
mean,0.25,0.1,7,2.1972924246299725,0.007472366995317053
mean,0.25,0.1,10,1.987566759943081,0.006339027000976163
mean,0.25,0.1,13,1.7236732104138888,0.0054751352830538875
mean,0.25,0.15,1,3.3927906342429086,0.013381068891076686
mean,0.25,0.15,3,2.5590392241672366,0.008221824558132178
mean,0.25,0.15,5,2.316781805363515,0.007446607856990235
mean,0.25,0.15,7,2.173930564902055,0.006882455366872317
mean,0.25,0.15,10,2.065686588442032,0.006578860655327331
mean,0.25,0.15,13,1.9349166974647516,0.006280841766932896
mean,0.25,0.2,1,3.4039771003763515,0.012353624807284875
mean,0.25,0.2,3,2.5466078103218366,0.008182444473405439
mean,0.25,0.2,5,2.289139034516746,0.007336988322330181
mean,0.25,0.2,7,2.141265730295207,0.006795857490599454
mean,0.25,0.2,10,2.0360320416378457,0.006452543131876176
mean,0.25,0.2,13,1.9693749052585212,0.006541391700723821
mean,0.25,0.25,1,3.392838503303239,0.012315347171951591
mean,0.25,0.25,3,2.5301598297144583,0.008686387769940906
mean,0.25,0.25,5,2.271814612511905,0.007372432546306897
mean,0.25,0.25,7,2.1226313642039156,0.006795419840342809
mean,0.25,0.25,10,2.0082439052983405,0.006487743078080737
mean,0.25,0.25,13,1.931082288265149,0.00608949728533102
mean,0.3,,1,3.8612370365142072,0.015020784432677651
mean,0.3,,3,2.5701798894785557,0.009056239486044674
mean,0.3,,5,2.235687827324814,0.007471657613631851
mean,0.3,,7,2.060274301519143,0.006551527711968466
mean,0.3,,10,1.9227207263853598,0.006236104410504774
mean,0.3,,13,1.8638040821501543,0.006279454468752571
mean,0.3,0.1,1,3.9053537081169947,0.015830751229165572
mean,0.3,0.1,3,2.8103046964853715,0.009378854477677369
mean,0.3,0.1,5,2.524523831661695,0.008192523636692187
mean,0.3,0.1,7,2.3687104022755525,0.007340626775065406
mean,0.3,0.1,10,2.000850093422669,0.006413867724251243
mean,0.3,0.1,13,1.7297668524437297,0.0057436958021469045
mean,0.3,0.15,1,3.9099343471046137,0.01626558772734862
mean,0.3,0.15,3,2.8332476371987014,0.009435550445447118
mean,0.3,0.15,5,2.53541247880053,0.008280945092264656
mean,0.3,0.15,7,2.3789403829769156,0.007668516494607912
mean,0.3,0.15,10,2.240785283898521,0.007994957076386934
mean,0.3,0.15,13,1.9441533583014787,0.006127833229510978
mean,0.3,0.2,1,3.9142192024420486,0.015800637265404083
mean,0.3,0.2,3,2.831099911302032,0.00921652349595897
mean,0.3,0.2,5,2.5311503931383252,0.008244051326814541
mean,0.3,0.2,7,2.3588657631900376,0.007514941471520105
mean,0.3,0.2,10,2.218417203101469,0.007154478662872121
mean,0.3,0.2,13,2.1062262558272393,0.006561750457653251
mean,0.3,0.25,1,3.909971226002627,0.016336346657007454
mean,0.3,0.25,3,2.8200563003218715,0.00930691272294594
mean,0.3,0.25,5,2.4810789653043512,0.007817834483343262
mean,0.3,0.25,7,2.3326056979620926,0.007601093955063463
mean,0.3,0.25,10,2.1907564020477004,0.006876190039378232
mean,0.3,0.25,13,2.093043367845819,0.006571422981078412
