u_level,variant,p_K,p_beat_cv,p_view_over,estimator,metric,value,mcse,n,lo,hi
low,median/triggered,3,0.15,True,A3,rmse_mm,2.309223941544369,0.008852113976270792,100000,2.291873798150878,2.3265740849378598
low,median/triggered,3,0.15,True,A5,bias_mm,-0.2830969237253461,0.005539218681821637,100000,-0.29395379234171654,-0.2722400551089757
low,median/triggered,3,0.15,True,A5,rmse_mm,1.7743752550639713,0.0052580270745176075,100000,1.7640695219979168,1.7846809881300258
low,median/triggered,3,0.15,True,A6,bias_mm,0.0012653669906983497,0.007734185439328538,100000,-0.013893636470385584,0.016424370451782282
low,median/triggered,3,0.15,True,A6,rmse_mm,2.4457522819209165,0.008302925689061038,100000,2.429478547570357,2.462026016271476
low,median/triggered,3,0.15,True,A7,bias_mm,0.21491025543402967,0.005162866500603157,100000,0.2047910370928475,0.22502947377521185
low,median/triggered,3,0.15,True,A7,rmse_mm,1.6467175875071132,0.004908007373746213,100000,1.6370978930545705,1.6563372819596558
low,median/triggered,3,0.15,True,A4,bias_mm,0.8967324185112362,0.006099626205294339,100000,0.8847771511488592,0.9086876858736131
low,median/triggered,3,0.15,True,A4,rmse_mm,2.127119133805276,0.007449479044273708,100000,2.1125181548785,2.1417201127320524
low,mean/triggered,3,0.15,True,A1,bias_mm,-0.06829384142598817,0.006354287952193769,100000,-0.08074824581228796,-0.05583943703968838
low,mean/triggered,3,0.15,True,A1,rmse_mm,2.0105524638120804,0.006470284702566243,100000,1.9978707057950507,2.02323422182911
low,mean/triggered,3,0.15,True,A2,bias_mm,-0.3427174389129476,0.005283543033973652,100000,-0.35307318325953596,-0.3323616945663592
low,mean/triggered,3,0.15,True,A2,rmse_mm,1.7055820198082559,0.005308530860181121,100000,1.6951772993223009,1.7159867402942108
low,mean/triggered,3,0.15,True,A3,bias_mm,0.9685568800258867,0.006400627171559932,100000,0.9560116507696292,0.9811021092821441
low,mean/triggered,3,0.15,True,A3,rmse_mm,2.2438503249433595,0.008643123550661247,100000,2.2269098027840633,2.2607908471026557
low,mean/triggered,3,0.15,True,A5,bias_mm,-0.3790993162307897,0.005515318092356614,100000,-0.38990933969180863,-0.36828929276977074
low,mean/triggered,3,0.15,True,A5,rmse_mm,1.7848135025320189,0.005622027746418053,100000,1.7737943281490396,1.7958326769149981
low,mean/triggered,3,0.15,True,A6,bias_mm,-0.1030887351243203,0.007721600758638242,100000,-0.11822307261125126,-0.08795439763738935
low,mean/triggered,3,0.15,True,A6,rmse_mm,2.443947522303113,0.008326143541441176,100000,2.4276282809618883,2.4602667636443374
low,mean/triggered,3,0.15,True,A7,bias_mm,0.10533091033843825,0.005136402506433599,100000,0.0952635614258284,0.1153982592510481
