u,view_errors,r_mean,beat_cv,N_beats,cell,axis,t_warn,t_adj,value,mcse,n
base,False,0.53,0.1,3,7,AP,3.0,4.0,0.04141,0.0006300413629278637,100000
base,False,0.53,0.1,3,7,SL,3.0,4.0,0.01057,0.00032339256484959574,100000
base,False,0.53,0.1,3,7,AP,3.0,5.0,0.04859,0.0006799192003466294,100000
base,False,0.53,0.1,3,7,SL,3.0,5.0,0.01152,0.00033745058304883696,100000
base,False,0.53,0.1,3,7,AP,3.0,6.0,0.05009,0.0006897897643485296,100000
base,False,0.53,0.1,3,7,SL,3.0,6.0,0.01157,0.000338173551597401,100000
base,False,0.53,0.1,3,7,AP,4.0,5.0,0.01018,0.0003174329472502815,100000
base,False,0.53,0.1,3,7,SL,4.0,5.0,0.00128,0.00011306465407013813,100000
base,False,0.53,0.1,3,7,AP,4.0,6.0,0.0123,0.00034854999641371394,100000
base,False,0.53,0.1,3,7,SL,4.0,6.0,0.00134,0.00011568078492126513,100000
base,False,0.53,0.1,5,8,AP,2.0,4.0,0.10026,0.0009497785657720436,100000
base,False,0.53,0.1,5,8,SL,2.0,4.0,0.0409,0.0006263161342325455,100000
base,False,0.53,0.1,5,8,AP,2.0,5.0,0.10124,0.0009538892094997196,100000
base,False,0.53,0.1,5,8,SL,2.0,5.0,0.04095,0.0006266825153137751,100000
base,False,0.53,0.1,5,8,AP,2.0,6.0,0.10139,0.0009545159396259446,100000
base,False,0.53,0.1,5,8,SL,2.0,6.0,0.04096,0.0006267557610425292,100000
base,False,0.53,0.1,5,8,AP,3.0,4.0,0.01742,0.00041372144735316783,100000
base,False,0.53,0.1,5,8,SL,3.0,4.0,0.00259,0.00016072622374709112,100000
base,False,0.53,0.1,5,8,AP,3.0,5.0,0.0195,0.0004372613634887034,100000
base,False,0.53,0.1,5,8,SL,3.0,5.0,0.00278,0.0001665013993935186,100000
base,False,0.53,0.1,5,8,AP,3.0,6.0,0.01979,0.0004404356468316342,100000
base,False,0.53,0.1,5,8,SL,3.0,6.0,0.00279,0.0001667997571940679,100000
base,False,0.53,0.1,5,8,AP,4.0,5.0,0.00305,0.00017437595877872617,100000
base,False,0.53,0.1,5,8,SL,4.0,5.0,0.00022,4.689899785709712e-05,100000
base,False,0.53,0.1,5,8,AP,4.0,6.0,0.00349,0.00018648913909394293,100000
base,False,0.53,0.1,5,8,SL,4.0,6.0,0.00024,4.898391572751203e-05,100000
base,False,0.53,0.1,7,9,AP,2.0,4.0,0.06501,0.0007796390183924866,100000
base,False,0.53,0.1,7,9,SL,2.0,4.0,0.02176,0.00046137297710204054,100000
base,False,0.53,0.1,7,9,AP,2.0,5.0,0.06562,0.0007830326659852703,100000
base,False,0.53,0.1,7,9,SL,2.0,5.0,0.02178,0.00046158023787852965,100000
base,False,0.53,0.1,7,9,AP,2.0,6.0,0.06566,0.0007832545205742511,100000
base,False,0.53,0.1,7,9,SL,2.0,6.0,0.02178,0.00046158023787852965,100000
base,False,0.53,0.1,7,9,AP,3.0,4.0,0.00843,0.0002891182301412348,100000
base,False,0.53,0.1,7,9,SL,3.0,4.0,0.00076,8.714484494219953e-05,100000
base,False,0.53,0.1,7,9,AP,3.0,5.0,0.00941,0.0003053105288063286,100000
base,False,0.53,0.1,7,9,SL,3.0,5.0,0.0008,8.940693485407046e-05,100000
base,False,0.53,0.1,7,9,AP,3.0,6.0,0.00958,0.0003080296024735285,100000
base,False,0.53,0.1,7,9,SL,3.0,6.0,0.0008,8.940693485407046e-05,100000
base,False,0.53,0.1,7,9,AP,4.0,5.0,0.00137,0.00011696679443329205,100000
base,False,0.53,0.1,7,9,SL,4.0,5.0,4e-05,1.9999599995999918e-05,100000
base,False,0.53,0.1,7,9,AP,4.0,6.0,0.00159,0.00012599491656412176,100000
base,False,0.53,0.1,7,9,SL,4.0,6.0,4e-05,1.9999599995999918e-05,100000
base,False,0.53,0.1,10,10,AP,2.0,4.0,0.03674,0.000594896397702995,100000
base,False,0.53,0.1,10,10,SL,2.0,4.0,0.0086,0.00029199383555136914,100000
base,False,0.53,0.1,10,10,AP,2.0,5.0,0.0369,0.0005961408390640588,100000
base,False,0.53,0.1,10,10,SL,2.0,5.0,0.00861,0.00029216207659448206,100000
base,False,0.53,0.1,10,10,AP,2.0,6.0,0.0369,0.0005961408390640588,100000
base,False,0.53,0.1,10,10,SL,2.0,6.0,0.00861,0.00029216207659448206,100000
base,False,0.53,0.1,10,10,AP,3.0,4.0,0.00348,0.00018622270538256068,100000
base,False,0.53,0.1,10,10,SL,3.0,4.0,0.00024,4.898391572751203e-05,100000
base,False,0.53,0.1,10,10,AP,3.0,5.0,0.00378,0.00019405441504897537,100000
base,False,0.53,0.1,10,10,SL,3.0,5.0,0.00025,4.9993749609326164e-05,100000
base,False,0.53,0.1,10,10,AP,3.0,6.0,0.0038,0.00019456515618167605,100000
base,False,0.53,0.1,10,10,SL,3.0,6.0,0.00025,4.9993749609326164e-05,100000
base,False,0.53,0.1,10,10,AP,4.0,5.0,0.00046,6.78076986779525e-05,100000
base,False,0.53,0.1,10,10,SL,4.0,5.0,1e-05,9.999949999874999e-06,100000
base,False,0.53,0.1,10,10,AP,4.0,6.0,0.00049,6.998284789861012e-05,100000
base,False,0.53,0.1,10,10,SL,4.0,6.0,1e-05,9.999949999874999e-06,100000
base,False,0.53,0.1,13,11,AP,2.0,4.0,0.0205,0.00044810434052796233,100000
base,False,0.53,0.1,13,11,SL,2.0,4.0,0.00348,0.00018622270538256068,100000
base,False,0.53,0.1,13,11,AP,2.0,5.0,0.02063,0.0004494930822604503,100000
base,False,0.53,0.1,13,11,SL,2.0,5.0,0.00348,0.00018622270538256068,100000
base,False,0.53,0.1,13,11,AP,2.0,6.0,0.02063,0.0004494930822604503,100000
base,False,0.53,0.1,13,11,SL,2.0,6.0,0.00348,0.00018622270538256068,100000
base,False,0.53,0.1,13,11,AP,3.0,4.0,0.00175,0.00013217176324767707,100000
base,False,0.53,0.1,13,11,SL,3.0,4.0,6e-05,2.4494162569885914e-05,100000
base,False,0.53,0.1,13,11,AP,3.0,5.0,0.00192,0.00013843097919179797,100000
base,False,0.53,0.1,13,11,SL,3.0,5.0,6e-05,2.4494162569885914e-05,100000
base,False,0.53,0.1,13,11,AP,3.0,6.0,0.00194,0.00013914871181581236,100000
base,False,0.53,0.1,13,11,SL,3.0,6.0,6e-05,2.4494162569885914e-05,100000
base,False,0.53,0.1,13,11,AP,4.0,5.0,0.00023,4.795279970971455e-05,100000
