rhythm_state,p_beat_cv,p_N_beats,p_data_mode,axis,estimator,estimand,metric,W,v_win,se_win,v_none,se_none,diff,mcse_diff,lo95,hi95,ratio
AF_rr0.1,0.05,1,prospective,AP,A6,T1,bias_mm,0.2,-0.351986,0.00637198,-0.349741,0.00631991,-0.00224548,0.00897459,-0.0198357,0.0153447,1.00642
AF_rr0.1,0.05,1,prospective,AP,A6,T1,bias_mm,0.25,-0.345741,0.0063482,-0.349741,0.00631991,0.00399934,0.00895773,-0.0135578,0.0215565,0.988565
AF_rr0.1,0.05,1,prospective,AP,A6,T1,relbias_pct,0.1,-3.12904,0.0627968,-3.20214,0.0621243,0.0730991,0.0883338,-0.100035,0.246233,0.977172
AF_rr0.1,0.05,1,prospective,AP,A6,T1,relbias_pct,0.15,-3.13718,0.062503,-3.20214,0.0621243,0.0649537,0.0881252,-0.107772,0.237679,0.979716
AF_rr0.1,0.05,1,prospective,AP,A6,T1,relbias_pct,0.2,-3.2186,0.06279,-3.20214,0.0621243,-0.016464,0.088329,-0.189589,0.156661,1.00514
AF_rr0.1,0.05,1,prospective,AP,A6,T1,relbias_pct,0.25,-3.19988,0.0625572,-3.20214,0.0621243,0.00225639,0.0881637,-0.170544,0.175057,0.999295
AF_rr0.1,0.05,1,prospective,AP,A6,T1,rmse_mm,0.1,2.03782,0.00594417,2.02889,0.0059905,0.00893108,0.00843915,-0.00760965,0.0254718,1.0044
AF_rr0.1,0.05,1,prospective,AP,A6,T1,rmse_mm,0.15,2.03147,0.00590872,2.02889,0.0059905,0.00257913,0.00841422,-0.0139127,0.019071,1.00127
AF_rr0.1,0.05,1,prospective,AP,A6,T1,rmse_mm,0.2,2.0455,0.00602564,2.02889,0.0059905,0.0166058,0.00849673,-4.77999e-05,0.0332594,1.00818
AF_rr0.1,0.05,1,prospective,AP,A6,T1,rmse_mm,0.25,2.03702,0.00584568,2.02889,0.0059905,0.00813006,0.00837007,-0.00827527,0.0245354,1.00401
AF_rr0.1,0.05,1,prospective,AP,A6,T1,sd_err_mm,0.1,2.00926,0.00449287,1.99853,0.00446887,0.0107337,0.00633694,-0.00168665,0.0231541,1.00537
AF_rr0.1,0.05,1,prospective,AP,A6,T1,sd_err_mm,0.15,2.00169,0.00447593,1.99853,0.00446887,0.0031568,0.00632493,-0.00924007,0.0155537,1.00158
AF_rr0.1,0.05,1,prospective,AP,A6,T1,sd_err_mm,0.2,2.015,0.00450569,1.99853,0.00446887,0.0164652,0.00634603,0.00402695,0.0289034,1.00824
