u,view_errors,r_mean,beat_cv,N_beats,cell,axis,tau,false_alarm,false_alarm_mcse,n_nonevent_pairs,miss,hit_mcse,n_event_pairs,prev_event,prev_event_mcse,n_pairs,hit,n_fired_pairs,n_fired_event,ppv,ppv_mcse,ppv_mcse_conservative,false_alarm_lo95,false_alarm_hi95,hit_lo95,hit_hi95,ppv_lo95,ppv_hi95,role
base,False,0.53,0.05,13,5,AP,3.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_warn only
base,False,0.53,0.05,13,5,AP,4.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_warn and t_adj
base,False,0.53,0.05,13,5,AP,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,13,5,AP,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,13,5,SL,2.0,9e-05,1.7319728635287564e-05,300000,,,,0.0,0.0,300000,,27,0,0.0,0.0,0.0,5.605395538506725e-05,0.00012394604461493276,,,0.0,0.0,t_warn only
base,False,0.53,0.05,13,5,SL,3.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_warn only
base,False,0.53,0.05,13,5,SL,4.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_warn and t_adj
base,False,0.53,0.05,13,5,SL,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,13,5,SL,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.1,1,6,AP,2.0,0.16804333333333332,0.0006826535760192367,300000,,,,0.0,0.0,300000,,50413,0,0.0,0.0,0.0,0.16670535689986435,0.1693813097668023,,,0.0,0.0,t_warn only
base,False,0.53,0.1,1,6,AP,3.0,0.07940666666666667,0.0004936302528396315,300000,,,,0.0,0.0,300000,,23822,0,0.0,0.0,0.0,0.0784391691417901,0.08037416419154324,,,0.0,0.0,t_warn only
base,False,0.53,0.1,1,6,AP,4.0,0.034256666666666664,0.00033208004785771937,300000,,,,0.0,0.0,300000,,10277,0,0.0,0.0,0.0,0.033605801727747256,0.03490753160558607,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.1,1,6,AP,5.0,0.01421,0.00021608698788528043,300000,,,,0.0,0.0,300000,,4263,0,0.0,0.0,0.0,0.013786477282876415,0.014633522717123586,,,0.0,0.0,t_adj only
base,False,0.53,0.1,1,6,AP,6.0,0.005893333333333334,0.00013974502919669518,300000,,,,0.0,0.0,300000,,1768,0,0.0,0.0,0.0,0.0056194381069288625,0.006167228559737805,,,0.0,0.0,t_adj only
base,False,0.53,0.1,1,6,SL,2.0,0.11286333333333333,0.0005777115812185818,300000,,,,0.0,0.0,300000,,33859,0,0.0,0.0,0.0,0.11173103943176184,0.11399562723490482,,,0.0,0.0,t_warn only
base,False,0.53,0.1,1,6,SL,3.0,0.03639666666666667,0.00034191592203455627,300000,,,,0.0,0.0,300000,,10919,0,0.0,0.0,0.0,0.03572652376845213,0.037066809564881203,,,0.0,0.0,t_warn only
base,False,0.53,0.1,1,6,SL,4.0,0.009593333333333334,0.00017796349147029087,300000,,,,0.0,0.0,300000,,2878,0,0.0,0.0,0.0,0.009244531296737257,0.009942135369929411,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.1,1,6,SL,5.0,0.0022366666666666668,8.624894180778662e-05,300000,,,,0.0,0.0,300000,,671,0,0.0,0.0,0.0,0.00206762184568531,0.0024057114876480236,,,0.0,0.0,t_adj only
base,False,0.53,0.1,1,6,SL,6.0,0.0005766666666666666,4.3830511527253944e-05,300000,,,,0.0,0.0,300000,,173,0,0.0,0.0,0.0,0.0004907604419716639,0.0006625728913616693,,,0.0,0.0,t_adj only
base,False,0.53,0.1,3,7,AP,2.0,0.07744333333333334,0.00048800909641643486,300000,,,,0.0,0.0,300000,,23233,0,0.0,0.0,0.0,0.0764868530726846,0.07839981359398207,,,0.0,0.0,t_warn only
base,False,0.53,0.1,3,7,AP,3.0,0.02043,0.0002582803070309465,300000,,,,0.0,0.0,300000,,6129,0,0.0,0.0,0.0,0.019923779896310397,0.020936220103689604,,,0.0,0.0,t_warn only
base,False,0.53,0.1,3,7,AP,4.0,0.00496,0.0001282627303623309,300000,,,,0.0,0.0,300000,,1488,0,0.0,0.0,0.0,0.004708609665948125,0.005211390334051875,,,0.0,0.0,t_warn and t_adj
