u,view_over,K,beat_cv,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,bias_lo95,bias_hi95,rmse_lo95,rmse_hi95
low,True,3,0.15,0.3,3,A2,AP,T2,0.005348201728226345,0.05051943919398695,0.005319549355759526,0.0037817686180728247,-0.057521860723316415,-0.15940478858955004,1.6922193515557238,1.691249884724409,-0.06800414357537783,-0.047039577871255,1.681793226322212,1.7026454767892356
low,True,3,0.15,0.3,3,A2,SL,T1,0.003958952426178597,0.06218917272266961,0.0035330058938852094,0.002799416104061334,-0.07775268062831181,-0.3995205987419345,1.2543365725813451,1.2519306814973983,-0.08551208486133452,-0.0699932763952891,1.2474120082175424,1.2612611369451479
low,True,3,0.15,0.3,3,A2,SL,T2,0.003959624433999667,0.06325583854992997,0.003658486864494324,0.0027998912877245474,0.029647002122931223,1.2607197550868692,1.2524878570037865,1.2521431890294012,0.0218862807787715,0.037407723467090946,1.2453173544549048,1.2596583595526682
low,True,3,0.15,0.3,3,A3,AP,T1,0.006525904189827398,0.05943145575312453,0.009231819461197706,0.004614534178729232,1.0984874542082583,10.8610402942405,2.337814074965784,2.063672103189041,1.0856969169287474,1.1112779914877693,2.3197200411673373,2.355908108764231
low,True,3,0.15,0.3,3,A3,AP,T2,0.006464167025738632,0.05982518274811712,0.008967888432866297,0.004570879193075365,1.2655993441621487,12.681010989935517,2.404214101978646,2.0441490977090355,1.2529298095017138,1.2782688788225836,2.3866373634942115,2.4217908404630806
low,True,3,0.15,0.3,3,A3,SL,T1,0.004667764619140557,0.07279380127722578,0.006169677472255031,0.0033006245183407803,0.88987017843668,14.594447436544424,1.7235573098723547,1.4760767778032549,0.8807215278226909,0.8990188290506692,1.7114649641351238,1.7356496556095855
low,True,3,0.15,0.3,3,A3,SL,T2,0.004627087733299042,0.07355472009431381,0.006141768654764744,0.0032718614727091063,0.9972698611879233,16.47736001061323,1.7707399174518925,1.4632136170650707,0.9882009358058156,1.006338786570031,1.7587022719922252,1.7827775629115599
low,True,3,0.15,0.3,3,A4,AP,T1,0.006132802511780182,0.05735239734885569,0.007885188239320665,0.0043365679266515,0.9226869695684392,9.456110688994926,2.147659260076997,1.9393624377226997,0.9106668974262405,0.9347070417106379,2.132204574994705,2.1631139451592887
low,True,3,0.15,0.3,3,A4,AP,T2,0.006032592532554253,0.0575175028914915,0.007344950106745023,0.004265708416499846,1.0897988595223298,11.245737866249057,2.19700760773067,1.9076732598594903,1.0779751953318546,1.101622523712805,2.1826117699396534,2.2114034455216864
low,True,3,0.15,0.3,3,A4,SL,T1,0.004496589146953524,0.07181427272965149,0.00546166731945185,0.003179584575983295,0.8189387262904289,13.790317687323366,1.640905790639504,1.421946340636672,0.8101255734396092,0.8277518791412485,1.6302011193134018,1.651610461965606
low,True,3,0.15,0.3,3,A4,SL,T2,0.0044380852320036815,0.07245150294216454,0.005412051451795219,0.003138215854152174,0.926338409041672,15.654852417848048,1.681589487395258,1.403445778308844,0.9176399217580131,0.9350368963253308,1.6709820613835915,1.6921969134069244
low,True,3,0.15,0.3,3,A5,AP,T1,0.00553272404333192,0.05164218076471509,0.005300727858566606,0.003912246250754012,-0.26660198098577587,-2.1668223300561147,1.7697879927258269,1.7496009642105,-0.27744592093264087,-0.25575804103891087,1.7593987569492393,1.7801772285024144
low,True,3,0.15,0.3,3,A5,AP,T2,0.005583349760913571,0.052734985279571066,0.005554656576332102,0.003948044217948716,-0.0994900910318854,-0.5204865482413367,1.7684022618421251,1.765610221784345,-0.1104332555626846,-0.0885469265010862,1.7575153349201509,1.7792891887640994
low,True,3,0.15,0.3,3,A5,SL,T1,0.004136038041236415,0.06492740138404535,0.003658785968567874,0.0029246351694162003,-0.10245693452111058,-0.7310291486340379,1.3119304038234123,1.30793006994085,-0.11056342018456447,-0.0943504488576567,1.3047593150413141,1.3191014926055105
low,True,3,0.15,0.3,3,A5,SL,T2,0.004152851332749825,0.06613123521090705,0.003860237967627713,0.002936524021303806,0.00494274823013245,0.9316549087526084,1.3132496349811313,1.3132468995555253,-0.003196690879409228,0.013082187339674128,1.3056837075331478,1.320815562429115
low,True,3,0.15,0.3,3,A6,AP,T1,0.007786473450131934,0.07303429888544777,0.008744042589879026,0.005505895707664666,0.019416933319354516,0.23279447025399327,2.46236334993268,2.462299104284642,0.00415572567014013,0.0346781409685689,2.4452253412420504,2.4795013586233097
low,True,3,0.15,0.3,3,A6,AP,T2,0.0075774520863096375,0.07260230442065209,0.008009323058668246,0.005358094544885399,0.18652882327324505,1.8021600557486213,2.4034378702524037,2.3962007453533247,0.17167728997235326,0.20138035657413683,2.387739885393044,2.4191358551117634
low,True,3,0.15,0.3,3,A6,SL,T1,0.005809776278839858,0.09274198546691644,0.0056148132089694856,0.004108152744759487,0.011657954811466087,0.2897269650643965,1.8372403749719328,1.8372125737151463,0.00027100245688600234,0.023044907166046173,1.826235543215628,1.8482452067282376
low,True,3,0.15,0.3,3,A6,SL,T2,0.005696467135152918,0.09302548959999214,0.0053560082373230785,0.004028030680276686,0.1190576375627091,1.857625179088323,1.805302205591053,1.801381076337744,0.10789276705062624,0.13022250807479194,1.7948046222621963,1.8157997889199098
