u,view_errors,r_mean,beat_cv,N_beats,cell,axis,metric,rule,tau,value,mcse,n,lo95,hi95
base,False,0.53,0.1,10,10,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00381,0.00019482001693871192,100000,0.0034281597803207343,0.004191840219679266
base,False,0.53,0.1,10,10,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.0005,7.06929982388638e-05,100000,0.00036144426839976356,0.0006385557316002364
base,False,0.53,0.1,10,10,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.00861,0.00029216207659448206,100000,0.008037372847709572,0.009182627152290427
base,False,0.53,0.1,10,10,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00025,4.9993749609326164e-05,100000,0.00015201405054070667,0.00034798594945929334
base,False,0.53,0.1,10,10,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,1e-05,9.999949999874999e-06,100000,-9.599542001555002e-06,2.9599542001555005e-05
base,False,0.53,0.1,13,11,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.02063,0.0004494930822604503,100000,0.019749009740520476,0.021510990259479522
base,False,0.53,0.1,13,11,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00194,0.00013914871181581236,100000,0.0016672735341946333,0.002212726465805367
base,False,0.53,0.1,13,11,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00026,5.098356597963701e-05,100000,0.0001600740460882867,0.00035992595391171327
base,False,0.53,0.1,13,11,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.00348,0.00018622270538256068,100000,0.003115010201467575,0.003844989798532425
base,False,0.53,0.1,13,11,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,6e-05,2.4494162569885914e-05,100000,1.1992323152876125e-05,0.00010800767684712388
base,False,0.53,0.1,13,11,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.0,0.0,100000,0.0,0.0
base,False,0.53,0.15,1,12,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.4251,0.001563297764343057,100000,0.4220359926606071,0.42816400733939286
base,False,0.53,0.15,1,12,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.27729,0.0014156279733743605,100000,0.2745154201347933,0.28006457986520666
base,False,0.53,0.15,1,12,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.16719,0.0011799894232576832,100000,0.16487726321003418,0.16950273678996583
base,False,0.53,0.15,1,12,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.29918,0.0014480032030351315,100000,0.2963419658501665,0.3020180341498335
base,False,0.53,0.15,1,12,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.13943,0.0010953961616693752,100000,0.13728306295738985,0.14157693704261015
base,False,0.53,0.15,1,12,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.05546,0.0007237692201247578,100000,0.0540414383842474,0.0568785616157526
base,False,0.53,0.15,3,13,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.28237,0.0014235068777494544,100000,0.2795799777658587,0.28516002223414133
base,False,0.53,0.15,3,13,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.13097,0.001066849844636067,100000,0.12887901271110772,0.1330609872888923
base,False,0.53,0.15,3,13,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.05695,0.0007328485348283095,100000,0.05551364325428377,0.05838635674571623
base,False,0.53,0.15,3,13,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.1411,0.0011008668856860033,100000,0.13894234053526333,0.14325765946473668
base,False,0.53,0.15,3,13,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.03403,0.0005733407285375774,100000,0.032906272812332577,0.03515372718766742
base,False,0.53,0.15,3,13,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00797,0.0002811846208454509,100000,0.007418888265789266,0.008521111734210733
base,False,0.53,0.15,5,14,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.21005,0.0012881343000634678,100000,0.2075253031447104,0.21257469685528957
base,False,0.53,0.15,5,14,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.07832,0.0008496233141810552,100000,0.07665476889064445,0.07998523110935556
base,False,0.53,0.15,5,14,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.02748,0.0005169608263688846,100000,0.026466775390906735,0.028493224609093266
base,False,0.53,0.15,5,14,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.08356,0.0008750870036744918,100000,0.08184486097593012,0.08527513902406987
base,False,0.53,0.15,5,14,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.01305,0.00035888295445729937,100000,0.012346602329050054,0.013753397670949947
base,False,0.53,0.15,5,14,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.0022,0.00014816072354034994,100000,0.0019096103156469616,0.0024903896843530386
base,False,0.53,0.15,7,15,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.16521,0.0011743749652474715,100000,0.1629082673456137,0.1675117326543863
base,False,0.53,0.15,7,15,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.052,0.0007021111023192839,100000,0.05062388751545389,0.05337611248454611
base,False,0.53,0.15,7,15,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.0161,0.0003980048994673307,100000,0.015319924725220412,0.016880075274779586
base,False,0.53,0.15,7,15,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.05368,0.0007127303669691645,100000,0.052283074139033645,0.05507692586096635
base,False,0.53,0.15,7,15,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00685,0.00026082709790203933,100000,0.006338788277887528,0.0073612117221124726
base,False,0.53,0.15,7,15,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00123,0.00011083713727808022,100000,0.0010127632010719046,0.0014472367989280953
base,False,0.53,0.15,10,16,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.11954,0.0010259151446391655,100000,0.11752924324945244,0.12155075675054755
base,False,0.53,0.15,10,16,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.03168,0.0005538625966789958,100000,0.030594449249562648,0.03276555075043735
base,False,0.53,0.15,10,16,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00802,0.0002820581429421955,100000,0.0074671761939264425,0.008572823806073557
base,False,0.53,0.15,10,16,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.03154,0.0005526773778616237,100000,0.030456772235776818,0.032623227764223175
base,False,0.53,0.15,10,16,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00315,0.00017720263824221128,100000,0.0028026892083402428,0.0034973107916597573
base,False,0.53,0.15,10,16,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00045,6.706694416774929e-05,100000,0.00031855120384120144,0.0005814487961587985
base,False,0.53,0.15,13,17,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.09025,0.0009061177489708499,100000,0.0884740418322561,0.0920259581677439
base,False,0.53,0.15,13,17,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.01983,0.0004408715357108009,100000,0.018965907661382116,0.020694092338617884
base,False,0.53,0.15,13,17,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00484,0.0002194669542322944,100000,0.004409852670515055,0.005270147329484945
base,False,0.53,0.15,13,17,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.01828,0.00042362532502200574,100000,0.017449709613468572,0.01911029038653143
base,False,0.53,0.15,13,17,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.0015,0.00012238259680199634,100000,0.001260134516041572,0.001739865483958428
base,False,0.53,0.15,13,17,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00015,3.872692861562868e-05,100000,7.409661408279793e-05,0.00022590338591720204
base,False,0.53,0.2,1,18,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.48922,0.0015807713041423798,100000,0.48612174515164785,0.4923182548483521
base,False,0.53,0.2,1,18,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.35919,0.0015171438425541593,100000,0.3562164526857722,0.36216354731422784
base,False,0.53,0.2,1,18,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.2509,0.0013709456225540094,100000,0.24821299593383656,0.25358700406616347
base,False,0.53,0.2,1,18,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.35506,0.0015132494718320573,100000,0.3520940855121901,0.35802591448780985
base,False,0.53,0.2,1,18,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.19399,0.0012504314451420358,100000,0.19153919938305364,0.19644080061694635
base,False,0.53,0.2,1,18,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.0962,0.000932446030609815,100000,0.09437243934806186,0.09802756065193813
base,False,0.53,0.2,3,19,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.3658,0.0015231229759937312,100000,0.3628147337994794,0.3687852662005206
base,False,0.53,0.2,3,19,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.21244,0.0012934807551718734,100000,0.2099048242851703,0.21497517571482969
base,False,0.53,0.2,3,19,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.11691,0.0010160809608490851,100000,0.11491851789565038,0.11890148210434962
base,False,0.53,0.2,3,19,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.19829,0.001260837324558565,100000,0.19581880423400888,0.2007611957659911
base,False,0.53,0.2,3,19,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.06861,0.0007993914429114188,100000,0.06704322154998557,0.07017677845001444
base,False,0.53,0.2,3,19,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.02176,0.00046137297710204054,100000,0.020855725574307177,0.022664274425692826
base,False,0.53,0.2,5,20,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.3005,0.0014498267137834093,100000,0.2976583918347462,0.3033416081652538
base,False,0.53,0.2,5,20,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.15237,0.0011364567000110475,100000,0.15014258578041956,0.15459741421958045
base,False,0.53,0.2,5,20,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.07225,0.0008187181291506864,100000,0.0706453419407173,0.0738546580592827
base,False,0.53,0.2,5,20,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.1373,0.001088341444584373,100000,0.13516688994890663,0.13943311005109338
base,False,0.53,0.2,5,20,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.03668,0.00059442894949691,100000,0.03551494065842824,0.03784505934157176
base,False,0.53,0.2,5,20,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.01013,0.00031666043485096147,100000,0.009509356947467771,0.01075064305253223
base,False,0.53,0.2,7,21,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.25569,0.0013795384151954594,100000,0.2529861543695998,0.25839384563040013
base,False,0.53,0.2,7,21,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.11525,0.0010097892725712627,100000,0.11327084937817414,0.11722915062182587
base,False,0.53,0.2,7,21,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.04964,0.0006868469290897353,100000,0.04829380474547356,0.05098619525452643
base,False,0.53,0.2,7,21,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.09839,0.0009418567189334056,100000,0.09654399473773241,0.1002360052622676
base,False,0.53,0.2,7,21,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.02188,0.0004626150192114389,100000,0.02097329121648627,0.02278670878351373
base,False,0.53,0.2,7,21,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.0051,0.00022525518861948553,100000,0.004658507939492599,0.0055414920605074015
base,False,0.53,0.2,10,22,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.21179,0.0012920332654386263,100000,0.20925766131293785,0.21432233868706216
base,False,0.53,0.2,10,22,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.08422,0.000878219742433521,100000,0.08249872092074104,0.08594127907925897
base,False,0.53,0.2,10,22,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.0329,0.0005640708288858767,100000,0.03179444148193352,0.03400555851806648
