cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,anchor_alpha,metric,value,mcse,n,test,lo95_mc,hi95_mc,nominal_outside_mc95
6,0.05,2.0,1.0,10,0.0,power_reject_f_variance,0.078,0.005996498978570746,2000,f_variance,0.06624707787596457,0.08975292212403543,True
6,0.05,2.0,1.0,10,0.0,power_reject_either_unadjusted,0.1255,0.007407757757918384,2000,either_unadjusted,0.11098106147375925,0.14001893852624075,True
6,0.05,2.0,1.0,25,0.0,power_reject_welch_mean,0.0625,0.005412658773652742,2000,welch_mean,0.05189138365935648,0.07310861634064353,True
6,0.05,2.0,1.0,25,0.0,power_reject_f_variance,0.0775,0.005978869040211535,2000,f_variance,0.06578163192047085,0.08921836807952915,True
6,0.05,2.0,1.0,25,0.0,power_reject_either_unadjusted,0.139,0.0077355995242773526,2000,either_unadjusted,0.12383850341399927,0.15416149658600076,True
6,0.05,2.0,1.0,50,0.0,power_reject_welch_mean,0.058,0.0052266624149642565,2000,welch_mean,0.047755929826516996,0.06824407017348301,False
6,0.05,2.0,1.0,50,0.0,power_reject_f_variance,0.0965,0.006602565789145913,2000,f_variance,0.08355920874564242,0.10944079125435759,True
6,0.05,2.0,1.0,50,0.0,power_reject_either_unadjusted,0.1515,0.008017098914195832,2000,either_unadjusted,0.13578677474373707,0.16721322525626292,True
6,0.05,2.0,1.0,100,0.0,power_reject_welch_mean,0.0535,0.005031786462082826,2000,welch_mean,0.043637879678630295,0.0633621203213697,False
6,0.05,2.0,1.0,100,0.0,power_reject_f_variance,0.1025,0.006782099601155972,2000,f_variance,0.08920732893731993,0.11579267106268006,True
6,0.05,2.0,1.0,100,0.0,power_reject_either_unadjusted,0.152,0.008027951170753344,2000,either_unadjusted,0.1362655047115656,0.1677344952884344,True
7,0.05,2.0,2.0,10,0.0,power_reject_welch_mean,0.048,0.0047799581588126895,2000,welch_mean,0.038631454087220844,0.05736854591277916,False
7,0.05,2.0,2.0,10,0.0,power_reject_f_variance,0.0645,0.005492711079239468,2000,f_variance,0.053734484022289496,0.0752655159777105,True
7,0.05,2.0,2.0,10,0.0,power_reject_either_unadjusted,0.112,0.007051808278732484,2000,either_unadjusted,0.09817870963878236,0.12582129036121764,True
7,0.05,2.0,2.0,25,0.0,power_reject_welch_mean,0.0535,0.005031786462082826,2000,welch_mean,0.043637879678630295,0.0633621203213697,False
7,0.05,2.0,2.0,25,0.0,power_reject_f_variance,0.0615,0.005372045699731156,2000,f_variance,0.050970983822172126,0.07202901617782788,True
7,0.05,2.0,2.0,25,0.0,power_reject_either_unadjusted,0.1145,0.007120033356663436,2000,either_unadjusted,0.1005449909421405,0.1284550090578595,True
7,0.05,2.0,2.0,50,0.0,power_reject_welch_mean,0.045,0.004635461142108733,2000,welch_mean,0.03591466303806799,0.054085336961932004,False
7,0.05,2.0,2.0,50,0.0,power_reject_f_variance,0.0675,0.005609979946488223,2000,f_variance,0.05650464126416116,0.07849535873583885,True
7,0.05,2.0,2.0,50,0.0,power_reject_either_unadjusted,0.1115,0.007038030619427568,2000,either_unadjusted,0.09770571335502427,0.12529428664497574,True
7,0.05,2.0,2.0,100,0.0,power_reject_welch_mean,0.046,0.00468422885862764,2000,welch_mean,0.036819080069328734,0.055180919930671264,False
7,0.05,2.0,2.0,100,0.0,power_reject_f_variance,0.0685,0.0056483515294287415,2000,f_variance,0.05742943434297473,0.07957056565702528,True
7,0.05,2.0,2.0,100,0.0,power_reject_either_unadjusted,0.1115,0.007038030619427568,2000,either_unadjusted,0.09770571335502427,0.12529428664497574,True
8,0.05,2.0,3.0,10,0.0,power_reject_welch_mean,0.0445,0.004610843198374892,2000,welch_mean,0.03546291332154035,0.05353708667845965,False
8,0.05,2.0,3.0,10,0.0,power_reject_f_variance,0.0505,0.00489641450451246,2000,f_variance,0.04090320384207774,0.060096796157922266,False
8,0.05,2.0,3.0,10,0.0,power_reject_either_unadjusted,0.095,0.006556485338960197,2000,either_unadjusted,0.08214952476911022,0.10785047523088978,True
8,0.05,2.0,3.0,25,0.0,power_reject_welch_mean,0.048,0.0047799581588126895,2000,welch_mean,0.038631454087220844,0.05736854591277916,False
8,0.05,2.0,3.0,25,0.0,power_reject_f_variance,0.06,0.0053103672189407005,2000,f_variance,0.04959187142409611,0.0704081285759039,False
8,0.05,2.0,3.0,25,0.0,power_reject_either_unadjusted,0.1075,0.0069261731858220234,2000,either_unadjusted,0.09392494989802352,0.12107505010197647,True
8,0.05,2.0,3.0,50,0.0,power_reject_welch_mean,0.042,0.004485309353879618,2000,welch_mean,0.03320895513753269,0.05079104486246731,False
8,0.05,2.0,3.0,50,0.0,power_reject_f_variance,0.066,0.005551756478809206,2000,f_variance,0.0551187571647672,0.07688124283523282,True
8,0.05,2.0,3.0,50,0.0,power_reject_either_unadjusted,0.107,0.0069119823495145,2000,either_unadjusted,0.09345276342631616,0.12054723657368384,True
8,0.05,2.0,3.0,100,0.0,power_reject_welch_mean,0.047,0.00473238840333293,2000,welch_mean,0.03772468909544997,0.05627531090455003,False
8,0.05,2.0,3.0,100,0.0,power_reject_f_variance,0.059,0.0052687284993630104,2000,f_variance,0.04867348181547447,0.06932651818452552,False
