u,view_over,K,axis,beat_cv,bias,bias_adj,bias_adj_mcse,bias_mcse
base,True,2,SL,0.1,0.1754538151692073,-0.02404430757522913,0.006091365365770059,0.004396347248830108
base,True,2,AP,0.15,0.2207257616962373,-0.026750417956892286,0.00856549926755138,0.006415237371966646
base,True,2,SL,0.15,0.2865967304431075,0.027312515995703168,0.0064699393021659685,0.004726259668998045
base,True,2,AP,0.2,0.40629984676741704,0.07772884058702745,0.00947318895254024,0.0071808530452434375
base,True,2,SL,0.2,0.395295540214863,0.084459002663891,0.006942741013947224,0.005118504110897511
base,True,2,AP,0.25,0.5940848241917925,0.20338868993185832,0.010535015576581626,0.008078035143057426
base,True,2,SL,0.25,0.5217861503629155,0.15466579374503248,0.007496651232626669,0.005604001775194867
base,True,2,AP,0.3,0.8070864399164325,0.33388913658448804,0.011626560149774437,0.008973338203061669
base,True,2,SL,0.3,0.6618554553114009,0.23276453890929322,0.008198770149748515,0.006205211915132175
base,True,3,AP,0.05,0.1662171715250126,0.031102290020048468,0.007448965837091484,0.005554367263369209
base,True,3,SL,0.05,0.2860037775364768,0.11456436914291165,0.005816530184197007,0.004205991717858452
base,True,3,AP,0.1,0.31768780707464955,0.12673543514912294,0.007822301612805163,0.005906985466986357
base,True,3,SL,0.1,0.3812442914337644,0.16830793073782865,0.005984420950037411,0.004365837228480516
base,True,3,AP,0.15,0.5389543142012205,0.2719673601262764,0.008422261379641529,0.006455806175253661
base,True,3,SL,0.15,0.5249282272505293,0.2535748156222227,0.006321199629267847,0.004681816885713234
base,True,3,AP,0.2,0.77592834666574,0.4513876915234939,0.009176804730316028,0.007155702136333191
base,True,3,SL,0.2,0.6722132029509297,0.3508933936943742,0.006749055609087562,0.005090187935831375
base,True,3,AP,0.25,1.0492118262001537,0.6508932005738949,0.010165129004790706,0.008044128877902476
base,True,3,SL,0.25,0.8354408011913751,0.46375248578933126,0.007275008662359576,0.005593614536445033
base,True,3,AP,0.3,1.3408119430840917,0.8577483217089505,0.011218826564543824,0.009004764297097683
base,True,3,SL,0.3,1.0332685497521665,0.5850679605587665,0.0078268325788723,0.006111111843022153
base,True,4,AP,0.05,0.33703812365739433,0.19697799021696022,0.007549877588554284,0.005671224392982355
base,True,4,SL,0.05,0.41614928419802294,0.24115395907621948,0.005857262279423176,0.004222638316499281
base,True,4,AP,0.1,0.5303319092242365,0.3239563275692934,0.007900132181165802,0.006013448454059371
base,True,4,SL,0.1,0.5328672382241275,0.3075703696521611,0.006045140829562531,0.004417076608734152
base,True,4,AP,0.15,0.7812165924306991,0.5047291112851573,0.008419991241549627,0.006535777769900493
base,True,4,SL,0.15,0.6873894504667445,0.40580658359486105,0.006308074732638869,0.004685182644794197
base,True,4,AP,0.2,1.0563961912106878,0.7131721664900277,0.009167327036307182,0.0072636509323621866
base,True,4,SL,0.2,0.8609643680130993,0.5263813104239503,0.006703969484525768,0.00509820652509337
base,True,4,AP,0.25,1.3880506745923349,0.9631419086647682,0.010027607152896523,0.008089996611272928
base,True,4,SL,0.25,1.0788333321815875,0.6713698400184516,0.007182206533781393,0.005582767190434662
base,True,4,AP,0.3,1.7323413628886635,1.226029945631305,0.011095358581004428,0.009127796968622861
base,True,4,SL,0.3,1.2932127327821445,0.8265724256485673,0.007765987128454291,0.006180131824508486
low,False,1,AP,0.05,-0.15085365974075535,-0.2614201064134854,0.007095402017698284,0.004982840296197208
low,False,1,SL,0.05,-0.0413417174933633,-0.16864105635810575,0.0057362753424320245,0.004024212960664002
low,False,1,AP,0.1,-0.10344695435335005,-0.26238545256245377,0.007755050529706412,0.005441886200772078
low,False,1,SL,0.1,-0.001963871828157885,-0.1700340651152359,0.006056795506823567,0.0042464779369683694
low,False,1,AP,0.15,-0.04389494926751495,-0.2636361711565423,0.008759028158655676,0.00613903663574143
low,False,1,SL,0.15,0.051016794413111966,-0.17016765981847598,0.006602296234388699,0.004624718958626504
low,False,1,AP,0.2,0.018672567414780114,-0.2668368337684247,0.010026423310414822,0.007023601430485339
low,False,1,SL,0.2,0.09314659006948517,-0.17223480409469233,0.0072978767349321984,0.005110367416171329
low,False,1,AP,0.25,0.0935476871446627,-0.26909102020970277,0.011485848905453568,0.008038505761721031
low,False,1,SL,0.25,0.14727085715996002,-0.17371703431492047,0.008058769245969278,0.0056380005710089595
low,False,1,AP,0.3,0.1592536080484105,-0.2710838348580347,0.012914783599857786,0.009030916951136872
low,False,1,SL,0.3,0.213665614504171,-0.1757527657292578,0.008965413743987537,0.006271567025952114
low,False,2,AP,0.05,0.08828164557331855,-0.016795082118972765,0.006817120837494448,0.004839050053236476
low,False,2,SL,0.05,0.22833212340065162,0.09645716132719928,0.005419264749941311,0.003848571300977549
low,False,2,AP,0.1,0.2603516291017909,0.08825178879985388,0.007244457266949031,0.0052068828785613456
low,False,2,SL,0.1,0.3321385799811446,0.15087658773371423,0.005649489610688733,0.004040887694027469
low,False,2,AP,0.15,0.4612308262378187,0.23180786974666687,0.007998251885898103,0.0058469249973173145
low,False,2,SL,0.15,0.45610297521488347,0.22737461577005705,0.006026140112178395,0.00436479279963256
low,False,2,AP,0.2,0.691678543570193,0.3971766435981947,0.009010019103176212,0.006695046037290229
low,False,2,SL,0.2,0.5893175478193761,0.3174974763493555,0.00652709684152019,0.004790722389416582
low,False,2,AP,0.25,0.9235760923979873,0.5648805386021953,0.009973720779349824,0.0075255988507227445
low,False,2,SL,0.25,0.7522764898022422,0.41525656538004835,0.007145674119027814,0.005320559233909807
low,False,2,AP,0.3,1.197057461220343,0.7374686568850439,0.011332083018102065,0.008662869892993119
low,False,2,SL,0.3,0.913965545817884,0.5190201981198741,0.007850111245428474,0.005934472253643532
low,False,3,AP,0.05,0.2472052659724096,0.14157879799473938,0.006693928952024758,0.0047569084164375
low,False,3,SL,0.05,0.38487283640759423,0.25397551087398584,0.0052796442319305355,0.003757273121869055
low,False,3,AP,0.1,0.4641991698614731,0.3024708425949342,0.007095321840241021,0.005136864462766992
low,False,3,SL,0.1,0.5071939801668693,0.335807025750922,0.005483374209434006,0.003941943065512746
low,False,3,AP,0.15,0.7632079664806565,0.5335634855531186,0.007735036746504709,0.005742495461638527
low,False,3,SL,0.15,0.6849326748746907,0.4587006738223791,0.005806649403393057,0.004254843810570631
low,False,3,AP,0.2,1.0825418979222396,0.7864812052523367,0.008641324037082591,0.006578198735627233
low,False,3,SL,0.2,0.8832133127879506,0.6015996368781523,0.006294885783595623,0.004711662738461703
low,False,3,AP,0.25,1.419778526447377,1.0555257381652514,0.009608377709872624,0.007488222837578607
low,False,3,SL,0.25,1.0939903972578966,0.7588637577209311,0.006807778654312743,0.00520624630130632
low,False,3,AP,0.3,1.7732865933341777,1.3268123204398348,0.010726933374762332,0.008534846593580241
low,False,3,SL,0.3,1.3079217402112489,0.9118033310871394,0.007490496032916539,0.005849967877284772
low,False,4,AP,0.05,0.3369082196163549,0.21585083873837804,0.006668169197507275,0.004737585031896134
low,False,4,SL,0.05,0.47862643694353757,0.33202141590356565,0.005231130785634964,0.0037168860328357064
low,False,4,AP,0.1,0.5871506871027766,0.4118853708077489,0.007021424969450626,0.005102188424132896
low,False,4,SL,0.1,0.6147439962736772,0.4302589338289303,0.005393018704722024,0.0038776926941421733
low,False,4,AP,0.15,0.9229900770226628,0.6885491792390086,0.007626271734951155,0.00570540076457447
low,False,4,SL,0.15,0.8086291750465056,0.578741529447508,0.005708405358905325,0.004198002951406228
low,False,4,AP,0.2,1.289131949178701,0.9905701783036513,0.00838023751082522,0.006456549162171278
low,False,4,SL,0.2,1.0421542133749948,0.7522699796669767,0.0061200684592673405,0.00462602352200417
low,False,4,AP,0.25,1.7063850835162766,1.3231077507165112,0.009394946136664297,0.0074622814536082485
low,False,4,SL,0.25,1.281424374633826,0.9378773668170699,0.006656954676703389,0.005172607215057422
low,False,4,AP,0.3,2.102758279250883,1.6598029492080895,0.010379202162501334,0.008428467499961383
low,False,4,SL,0.3,1.530915085164994,1.1302238971532916,0.007267288336262912,0.005774832484155735
low,True,1,AP,0.05,-0.05617963197164574,-0.16667813869290068,0.007244238436907654,0.0052312943058529715
low,True,1,SL,0.05,0.024149024667753902,-0.10642918030049967,0.005785825352986058,0.004134826832653714
low,True,1,AP,0.1,-0.010726033638821504,-0.16941042820829497,0.007920468364936118,0.005698503534392681
low,True,1,SL,0.1,0.05552820103984256,-0.11023193140015737,0.00615321880443501,0.004385306950685655
low,True,1,AP,0.15,0.04212265205818125,-0.172950559368102,0.008914819253987745,0.006382231590348945
