rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,estimator,subset,estimand,metric,value,mcse,n
AF_rr0.1,0.05,0,1,retrospective,SL,A1,all,T1,rmse_mm,1.62978,0.00431973,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A1,all,T1,sd_err_mm,1.61293,0.00360664,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A1,all,T2,bias_mm,0.0394995,0.00491108,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A1,all,T2,relbias_pct,0.544537,0.087802,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A1,all,T2,rmse_mm,1.55351,0.00386022,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A1,all,T2,sd_err_mm,1.55302,0.00347267,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A1,all,Tv,bias_mm,0.00885805,0.00431818,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A1,all,Tv,relbias_pct,0.0773368,0.0824327,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A1,all,Tv,rmse_mm,1.36555,0.00309857,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A1,all,Tv,sd_err_mm,1.36553,0.00305343,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,T1,bias_mm,-0.233788,0.00510053,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,T1,relbias_pct,-3.41419,0.0859493,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,T1,rmse_mm,1.62978,0.00431973,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,T1,sd_err_mm,1.61293,0.00360664,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,T2,bias_mm,0.0394995,0.00491108,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,T2,relbias_pct,0.544537,0.087802,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,T2,rmse_mm,1.55351,0.00386022,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,T2,sd_err_mm,1.55302,0.00347267,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,Tv,bias_mm,0.00885805,0.00431818,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,Tv,relbias_pct,0.0773368,0.0824327,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,Tv,rmse_mm,1.36555,0.00309857,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,accepted,Tv,sd_err_mm,1.36553,0.00305343,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,T1,bias_mm,-0.233788,0.00510053,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,T1,relbias_pct,-3.41419,0.0859493,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,T1,rmse_mm,1.62978,0.00431973,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,T1,sd_err_mm,1.61293,0.00360664,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,T2,bias_mm,0.0394995,0.00491108,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,T2,relbias_pct,0.544537,0.087802,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,T2,rmse_mm,1.55351,0.00386022,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,T2,sd_err_mm,1.55302,0.00347267,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,Tv,bias_mm,0.00885805,0.00431818,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,Tv,relbias_pct,0.0773368,0.0824327,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,Tv,rmse_mm,1.36555,0.00309857,100000
AF_rr0.1,0.05,0,1,retrospective,SL,A6,all,Tv,sd_err_mm,1.36553,0.00305343,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,T1,bias_mm,-0.342387,0.00537412,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,T1,relbias_pct,-3.16401,0.0515495,100000
AF_rr0.1,0.05,0,3,prospective,AP,A1,accepted,T1,rmse_mm,1.73359,0.00529536,100000
