rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,value,mcse,n
AF_rr0.1,0.1,0.1,5,retrospective,AP,0.9004,0.000946994,100000
AF_rr0.1,0.1,0.1,5,retrospective,SL,0.93715,0.000767463,100000
AF_rr0.1,0.1,0.1,7,prospective,AP,0.00065,8.05964e-05,100000
AF_rr0.1,0.1,0.1,7,prospective,SL,0.01134,0.000334834,100000
AF_rr0.1,0.1,0.1,7,retrospective,AP,0.99007,0.000313551,100000
AF_rr0.1,0.1,0.1,7,retrospective,SL,0.99504,0.000222158,100000
AF_rr0.1,0.1,0.1,10,prospective,AP,0.01606,0.000397518,100000
AF_rr0.1,0.1,0.1,10,prospective,SL,0.10734,0.000978867,100000
AF_rr0.1,0.1,0.1,10,retrospective,AP,0.99995,2.23601e-05,100000
AF_rr0.1,0.1,0.1,10,retrospective,SL,0.99996,1.99996e-05,100000
AF_rr0.1,0.1,0.1,13,prospective,AP,0.12508,0.00104611,100000
AF_rr0.1,0.1,0.1,13,prospective,SL,0.37044,0.00152714,100000
AF_rr0.1,0.1,0.1,13,retrospective,AP,1,0,100000
AF_rr0.1,0.1,0.1,13,retrospective,SL,1,0,100000
AF_rr0.1,0.1,0.15,1,prospective,AP,0,0,100000
AF_rr0.1,0.1,0.15,1,prospective,SL,0,0,100000
AF_rr0.1,0.1,0.15,1,retrospective,AP,0,0,100000
AF_rr0.1,0.1,0.15,1,retrospective,SL,0,0,100000
AF_rr0.1,0.1,0.15,3,prospective,AP,0,0,100000
AF_rr0.1,0.1,0.15,3,prospective,SL,0,0,100000
AF_rr0.1,0.1,0.15,3,retrospective,AP,0.35822,0.00151624,100000
AF_rr0.1,0.1,0.15,3,retrospective,SL,0.43311,0.00156693,100000
AF_rr0.1,0.1,0.15,5,prospective,AP,1e-05,9.99995e-06,100000
AF_rr0.1,0.1,0.15,5,prospective,SL,0.00029,5.38438e-05,100000
AF_rr0.1,0.1,0.15,5,retrospective,AP,0.80614,0.00125011,100000
AF_rr0.1,0.1,0.15,5,retrospective,SL,0.86505,0.00108046,100000
AF_rr0.1,0.1,0.15,7,prospective,AP,8e-05,2.82831e-05,100000
AF_rr0.1,0.1,0.15,7,prospective,SL,0.00255,0.000159483,100000
AF_rr0.1,0.1,0.15,7,retrospective,AP,0.96799,0.000556645,100000
AF_rr0.1,0.1,0.15,7,retrospective,SL,0.98187,0.000421916,100000
AF_rr0.1,0.1,0.15,10,prospective,AP,0.00163,0.000127567,100000
AF_rr0.1,0.1,0.15,10,prospective,SL,0.0233,0.000477044,100000
AF_rr0.1,0.1,0.15,10,retrospective,AP,0.9992,8.94069e-05,100000
AF_rr0.1,0.1,0.15,10,retrospective,SL,0.99959,6.40181e-05,100000
AF_rr0.1,0.1,0.15,13,prospective,AP,0.01442,0.000376989,100000
AF_rr0.1,0.1,0.15,13,prospective,SL,0.10504,0.00096957,100000
AF_rr0.1,0.1,0.15,13,retrospective,AP,1,0,100000
AF_rr0.1,0.1,0.15,13,retrospective,SL,0.99998,1.4142e-05,100000
