u,view_over,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err
base,False,0.0,5,A1,SL,T2,0.0041851519057320785,0.07117968666380901,0.003698821033601734,0.0029593640896963965,0.22555930163612498,4.303719910258097,1.3425383161993507,1.3234612375907673
base,False,0.0,5,A2,AP,T1,0.005490604380015139,0.04768936530061179,0.006188222121417604,0.003882463002284807,-1.3932192451526755,-12.531373896625519,2.2261409129054424,1.736281557174453
base,False,0.0,5,A2,AP,T2,0.00533378300042851,0.050610797740565545,0.005573611537822159,0.003771572986892609,-0.8769549941197868,-8.049214682341537,1.9010380643313156,1.6866902826440946
base,False,0.0,5,A2,SL,T1,0.004071893227175845,0.06012893186250428,0.004326621746944478,0.0028792777096281544,-0.7940566477584593,-10.56753780070593,1.5127923931878424,1.2876456986889102
base,False,0.0,5,A2,SL,T2,0.0039573768348603305,0.06361913544597063,0.0038796774457733755,0.0027983019871852107,-0.4642690863380872,-5.995576026747195,1.3347708661065036,1.2514324357746673
base,False,0.0,5,A3,AP,T1,0.005442907915008971,0.051458536004912236,0.005277785904759299,0.0038487363398065845,0.15457621699303614,2.081207226991203,1.728117136868921,1.721198610598652
base,False,0.0,5,A3,AP,T2,0.0054206485474213644,0.054101897062110695,0.005806064430027672,0.0038329965113411257,0.6708404680259247,7.283024468532254,1.8407445823841782,1.714159580513476
base,False,0.0,5,A3,SL,T1,0.004062666007757977,0.06579588083900051,0.003608616416433675,0.002872753047582892,0.2721327858167625,5.542846137243995,1.3132270393654386,1.2847277957058507
base,False,0.0,5,A3,SL,T2,0.004041080339201736,0.06928811017146645,0.0039498673474802565,0.0028574895986528937,0.6019203472371346,10.914591109328187,1.4125596641827372,1.2779018079603308
base,False,0.0,5,A4,AP,T1,0.005443905906047268,0.051460459980019455,0.00526478281109473,0.003849442029565786,0.14661861320634273,2.027319172809485,1.7277379815865224,1.7215142030751978
base,False,0.0,5,A4,AP,T2,0.005412201806390695,0.05407099252098695,0.005762987907908913,0.003827023733615449,0.6628828642392313,7.224828203427985,1.8353684205312797,1.7114884864672244
base,False,0.0,5,A4,SL,T1,0.0040635121040172445,0.06580370020835669,0.0036077667022538142,0.0028733513309767817,0.2703022754922812,5.525430552781609,1.313110760733896,1.2849953548357542
base,False,0.0,5,A4,SL,T2,0.004039813650510095,0.06928999556372613,0.003946240555347325,0.002856593910010928,0.6000898369126534,10.895851228448048,1.4114180547790562,1.2775012458251345
base,False,0.0,5,A5,AP,T1,0.0058351688002795605,0.051365215974146436,0.006814786981841629,0.004126108058637719,-1.2706973594347886,-11.44844977406881,2.240436837506297,1.845242394043558
base,False,0.0,5,A5,AP,T2,0.005717160367516567,0.054440161778187335,0.00630088292225452,0.0040426630783678644,-0.7544331084018999,-6.908297324720268,1.9590122245459578,1.8079248509797683
base,False,0.0,5,A5,SL,T1,0.004287885492144253,0.06361387506183498,0.004721578662256433,0.0030320080685248612,-0.7293305215551146,-9.71559121910329,1.5396430830176122,1.3559484501167869
base,False,0.0,5,A5,SL,T2,0.004196905197044124,0.06725205263293228,0.004310786689262422,0.0029676749632388763,-0.39954296013474233,-5.098453714543282,1.386008039759365,1.3271779546457205
base,False,0.0,5,A6,AP,T1,0.007544981319967447,0.0716022861196776,0.007247655266717125,0.005335134131012155,-0.34855644549842435,-3.2203181314106386,2.4112463542369844,2.385932587452079
base,False,0.0,5,A6,AP,T2,0.0074007798478205895,0.07425282102290867,0.007521665495839705,0.005233167782367012,0.1677078055344641,1.6393138081035281,2.346321668502758,2.340332078058739
base,False,0.0,5,A6,SL,T1,0.0057043119995153855,0.09215450228961793,0.0050501529273159285,0.004033577864800867,-0.2095298986921119,-2.999641270826227,1.8159812163268816,1.8038618402697923
base,False,0.0,5,A6,SL,T2,0.005633389122078318,0.09606137733658367,0.005196966776414724,0.003983427566471736,0.12025766272826026,1.8551211934494063,1.7854796191631244,1.7814340571783824
base,False,0.0,5,A7,AP,T1,0.0052116813654031775,0.05115920477767713,0.004884732572670556,0.0036852336610745232,0.2696080439000441,2.9560898111013443,1.6699771259397616,1.6480783553730305
base,False,0.0,5,A7,AP,T2,0.005427082612545977,0.05562731932550953,0.005697692326739509,0.003837546105169361,0.7858722949329325,8.291086389745404,1.8875614901394229,1.716194210554239
base,False,0.0,5,A7,SL,T1,0.004114329685373197,0.06923817650486545,0.0037426101963122693,0.0029092849670257037,0.29599141859957484,5.444479148755472,1.3343031395339442,1.3010652850623259
base,False,0.0,5,A7,SL,T2,0.004225615673115289,0.07431499516660738,0.004225146411708372,0.002987976437067514,0.6257789800199469,10.898560409213056,1.4755216900116197,1.3362570043549848
base,False,0.0,7,A1,AP,T1,0.005447535718805603,0.051635663837748494,0.005003546047694484,0.0038520087076150643,-0.3047449451347475,-2.4354028741712352,1.7494011394491717,1.7226620506548254
base,False,0.0,7,A1,AP,T2,0.005237501771606856,0.05295628350210933,0.004990932983787375,0.003703491536683742,0.21122787095516235,2.4643544782153293,1.669650341479299,1.6562434847444671
base,False,0.0,7,A1,SL,T1,0.004105691090025275,0.06597713295492205,0.0035571787014991225,0.002903176527132986,-0.1039225595388646,-0.58959054647006,1.302479548535437,1.298333521353929
base,False,0.0,7,A1,SL,T2,0.003982987132722695,0.06845936207156025,0.0034571485453831706,0.002816411293018652,0.228312728058759,4.442027220162706,1.2800505800750959,1.2595311230547088
base,False,0.0,7,A2,AP,T1,0.0054445126089346626,0.04727034911410977,0.006202809064838736,0.0038498710354366627,-1.391642191846405,-12.476417231377589,2.213799923727158,1.7217060593739144
base,False,0.0,7,A2,AP,T2,0.005276983378433071,0.05015882484989361,0.005576623297353644,0.003731409388192306,-0.8756693757564952,-7.995759898660889,1.8845223179124424,1.6687286650698763
base,False,0.0,7,A2,SL,T1,0.004025196355045647,0.05988598967886429,0.0043293543962457685,0.002846257869585078,-0.7901047070005063,-10.475445932574715,1.4981554710663163,1.272878851135204
base,False,0.0,7,A2,SL,T2,0.0039106821641215605,0.06344992045966699,0.00381822508132224,0.0027652837037687237,-0.4578694194028826,-5.860156095958739,1.3187011074034911,1.2366662843620544
base,False,0.0,7,A3,AP,T1,0.005233918899001288,0.04976999777725555,0.004992067602428195,0.0037009580505007545,0.0994275760795902,1.5863068834601635,1.6580859908672732,1.6551104809444854
base,False,0.0,7,A3,AP,T2,0.005198818029842562,0.052288927070668546,0.005445955577669423,0.0036761378637918335,0.6154003921695002,6.75590812020718,1.7554092131793875,1.644010611505172
base,False,0.0,7,A3,SL,T1,0.003925182706659576,0.06423068719613761,0.0034284515298771308,0.002775537186995783,0.22805683904429022,4.862112825251911,1.262022362258899,1.241251758534883
base,False,0.0,7,A3,SL,T2,0.0039004985497897663,0.06770700728039848,0.0037055294620702618,0.0027580827650129395,0.5602921266419137,10.241403602271529,1.354732795417306,1.233445942751934
base,False,0.0,7,A4,AP,T1,0.005234111185612246,0.04977562629603168,0.004992732330375898,0.0037010940183471353,0.09456651991641712,1.5548730938889175,1.6578623046273544,1.6551712873099036
base,False,0.0,7,A4,AP,T2,0.005191970979146712,0.0522746083795343,0.005423859188344361,0.0036712962436055087,0.610539336006327,6.7218601113641006,1.7516813606014552,1.6418453839598195
base,False,0.0,7,A4,SL,T1,0.003925719495563547,0.0642360008813943,0.0034355239229455262,0.002775916755967696,0.22671159907886576,4.851369575642807,1.2619469456629744,1.2414215060908085
base,False,0.0,7,A4,SL,T2,0.00389922214355482,0.06770678740829564,0.0037002353465884386,0.002757180204995849,0.5589468866764894,10.229777200245923,1.3538093479773436,1.233042307659727
base,False,0.0,7,A5,AP,T1,0.005762661459144702,0.0508556892407916,0.00685604247009214,0.004074837369681368,-1.2558837704705688,-11.273984451156608,2.2131510445370544,1.8223135595366609
base,False,0.0,7,A5,AP,T2,0.00564116439169836,0.05392264717586742,0.006332769658452041,0.003988925539835557,-0.7399109543806589,-6.727503887349292,1.9312457034498114,1.7838928133205072
base,False,0.0,7,A5,SL,T1,0.004223621142265731,0.06319915228387853,0.004688116863386503,0.0029865660837267213,-0.71647650663836,-9.508943519075078,1.5156577123244426,1.3356262783201773
base,False,0.0,7,A5,SL,T2,0.004136453198339066,0.06691758688750069,0.004251288118969282,0.0029249287312865546,-0.3842412190407365,-4.841636429573424,1.3633226728730794,1.308061354143967
base,False,0.0,7,A6,AP,T1,0.0076020372143753845,0.07190158789592771,0.007395309844910509,0.005375478942579234,-0.34408961468394,-3.107233083345845,2.4284638874890354,2.4039752454787937
