name,table,selector,value,mcse,lo95,hi95
A6 rmse_mm vs T1 AF_rr0.2 N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.0; estimator=A6; subset=all; estimand=T1; metric=rmse_mm,2.6278,0.00866259,2.61082,2.64478
A1 rmse_mm vs T1 AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=T1; metric=rmse_mm,2.10391,0.00682016,2.09054,2.11727
A1 bias_mm vs T1 AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=T1; metric=bias_mm,-0.198064,0.00662362,-0.211046,-0.185082
A1 relbias_pct vs T1 AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=T1; metric=relbias_pct,-1.52866,0.0617691,-1.64973,-1.40759
A6 rmse_mm vs T1 AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A6; subset=all; estimand=T1; metric=rmse_mm,2.53879,0.00847155,2.52219,2.55539
window effect (W0.15 - none) A1 rmse_mm vs T1 AF_rr0.2 N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; estimand=T1; metric=rmse_mm,0.121411,0.00932683,0.103131,0.139692
window effect (W0.15 - none) A1 bias_mm vs T1 AF_rr0.2 N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; estimand=T1; metric=bias_mm,0.0381371,0.00908943,0.0203218,0.0559524
window effect (W0.15 - none) A1 relbias_pct vs T1 AF_rr0.2 N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; estimand=T1; metric=relbias_pct,0.695745,0.0848913,0.529358,0.862132
A1 rmse_mm vs Tv AF_rr0.2 N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=rmse_mm,1.45794,0.00411784,1.44987,1.46601
A1 bias_mm vs Tv AF_rr0.2 N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=bias_mm,0.134695,0.00459071,0.125697,0.143693
A1 relbias_pct vs Tv AF_rr0.2 N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=relbias_pct,1.25063,0.0479338,1.15668,1.34458
A6 rmse_mm vs Tv AF_rr0.2 N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.0; estimator=A6; subset=all; estimand=Tv; metric=rmse_mm,2.25233,0.00725785,2.23811,2.26656
A1 rmse_mm vs Tv AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=rmse_mm,1.62846,0.00461542,1.61942,1.63751
A1 bias_mm vs Tv AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=bias_mm,0.175456,0.0051197,0.165422,0.185491
A1 relbias_pct vs Tv AF_rr0.2 N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=AF_rr0.2; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=relbias_pct,2.03304,0.0528293,1.9295,2.13659
