p_beat_cv,p_view_over,ai,ref,m,apparent,true,diff,mcse_diff
0.15,False,inherited,mean2,mae,2.0506875492152266,1.6078644188397364,0.4428231303754901,0.0023318481362570496
0.15,False,inherited,single,icc,0.8389403450850843,0.905827658830887,-0.0668873137458026,0.0003865389363277713
0.15,False,inherited,single,loa_width,10.566589850606789,7.819755313530102,2.746834537076685,0.020959837474842265
0.15,False,inherited,single,mae,2.14790134718214,1.6078644188397364,0.5400369283424036,0.002682765872069847
0.15,True,independent,adj_tol1,icc,0.8367517036353568,0.9085627826170874,-0.07181107898173063,0.0004097959431470141
0.15,True,independent,adj_tol1,loa_width,10.659326413611785,7.825099256376752,2.8342271572350324,0.02210230783421146
0.15,True,independent,adj_tol1,mae,2.1787776019950016,1.5952333992200933,0.5835442027749079,0.0028785217759409888
0.15,True,independent,adj_tol2,icc,0.8403386478792007,0.9085627826170874,-0.06822413473788677,0.000395325294216431
0.15,True,independent,adj_tol2,loa_width,10.509768978037794,7.825099256376752,2.684669721661044,0.021575002561948897
0.15,True,independent,adj_tol2,mae,2.1485456769912123,1.5952333992200933,0.5533122777711191,0.0027768334007673466
0.15,True,independent,adj_tol3,icc,0.8424019026160877,0.9085627826170874,-0.06616088000099966,0.00038603794645597825
0.15,True,independent,adj_tol3,loa_width,10.425679909998244,7.825099256376752,2.600580653621492,0.021261937756923005
0.15,True,independent,adj_tol3,mae,2.131019744968895,1.5952333992200933,0.5357863457488012,0.002717143503797371
0.15,True,independent,mean2,icc,0.844505418613628,0.9085627826170874,-0.06405736400345932,0.00037803059566733166
0.15,True,independent,mean2,loa_width,10.34278975741466,7.825099256376752,2.5176905010379103,0.021004876110784526
0.15,True,independent,mean2,mae,2.1167931773945066,1.5952333992200933,0.5215597781744133,0.0026877680659235354
0.15,True,independent,single,icc,0.8313089594106381,0.9085627826170874,-0.07725382320644937,0.0004340468531290931
0.15,True,independent,single,loa_width,10.877256239291722,7.825099256376752,3.052156982914969,0.02221147388100822
0.15,True,independent,single,mae,2.222850355608531,1.5952333992200933,0.6276169563884371,0.0030000493154038986
0.15,True,inherited,adj_tol1,icc,0.8386096692406176,0.9044029574584188,-0.06579328821780114,0.00039237594172356326
0.15,True,inherited,adj_tol1,loa_width,10.65871166655149,7.826070209577162,2.8326414569743266,0.022116667379237953
0.15,True,inherited,adj_tol1,mae,2.159409264193728,1.6298825079022863,0.5295267562914415,0.0027295823191203017
0.15,True,inherited,adj_tol2,icc,0.8422453067266328,0.9044029574584188,-0.06215765073178601,0.000375891794354998
0.15,True,inherited,adj_tol2,loa_width,10.509035798361264,7.826070209577162,2.6829655887841017,0.021588735325886746
0.15,True,inherited,adj_tol2,mae,2.1289091328628484,1.6298825079022863,0.49902662496056177,0.002602055684935667
0.15,True,inherited,adj_tol3,icc,0.8443197183934976,0.9044029574584188,-0.06008323906492126,0.00036594602683495664
0.15,True,inherited,adj_tol3,loa_width,10.424806198640907,7.826070209577162,2.598735989063744,0.02127617694153134
0.15,True,inherited,adj_tol3,mae,2.1115506491209124,1.6298825079022863,0.48166814121862644,0.002534147986099768
0.15,True,inherited,mean2,icc,0.846464413915145,0.9044029574584188,-0.05793854354327374,0.0003548027397342481
0.15,True,inherited,mean2,loa_width,10.34202171423186,7.826070209577162,2.5159515046546983,0.02101925318217352
0.15,True,inherited,mean2,mae,2.096745179350015,1.6298825079022863,0.46686267144772836,0.0024851254508733516
0.15,True,inherited,single,icc,0.8331155473038471,0.9044029574584188,-0.07128741015457175,0.00041502366974054377
0.15,True,inherited,single,loa_width,10.876497877821963,7.826070209577162,3.050427668244801,0.02222673800431523
0.15,True,inherited,single,mae,2.2034376146467265,1.6298825079022863,0.57355510674444,0.0028552433066262395
0.2,False,independent,adj_tol1,icc,0.8279426947583423,0.9085423949552283,-0.08059970019688617,0.0004301417657703541
0.2,False,independent,adj_tol1,loa_width,11.041777209380497,7.8188399035215905,3.222937305858906,0.022546314803998376
0.2,False,independent,adj_tol1,mae,2.253107994069296,1.5928627508355206,0.6602452432337756,0.002994025940205831
0.2,False,independent,adj_tol2,icc,0.831575272400727,0.9085423949552283,-0.07696712255450139,0.000412071131384738
0.2,False,independent,adj_tol2,loa_width,10.894696074125648,7.8188399035215905,3.0758561706040553,0.022162374371414103
0.2,False,independent,adj_tol2,mae,2.222087480933042,1.5928627508355206,0.6292247300975211,0.0028809458478801443
0.2,False,independent,adj_tol3,icc,0.833862920389279,0.9085423949552283,-0.07467947456594926,0.0004053929257547502
0.2,False,independent,adj_tol3,loa_width,10.80003819370113,7.8188399035215905,2.981198290179539,0.02187560302478985
0.2,False,independent,adj_tol3,mae,2.202711236509198,1.5928627508355206,0.6098484856736772,0.002819623724245908
0.2,False,independent,mean2,icc,0.8368602702259498,0.9085423949552283,-0.07168212472927869,0.000393099987785258
0.2,False,independent,mean2,loa_width,10.671160079834749,7.8188399035215905,2.8523201763131603,0.021530299667624223
0.2,False,independent,mean2,mae,2.1812099346461564,1.5928627508355206,0.5883471838106356,0.002749871980539618
0.2,False,independent,single,icc,0.8229869503919031,0.9085423949552283,-0.08555544456332535,0.00044657237667473004
0.2,False,independent,single,loa_width,11.231281340723278,7.8188399035215905,3.4124414372016885,0.02266933533625214
0.2,False,independent,single,mae,2.2938575923718507,1.5928627508355206,0.70099484153633,0.003053976429694512
0.2,False,inherited,adj_tol1,icc,0.8330591619424362,0.9049205996863403,-0.07186143774390397,0.0004044266615328125
0.2,False,inherited,adj_tol1,loa_width,11.041340838221082,7.82098912493421,3.220351713286872,0.02252118123873615
0.2,False,inherited,adj_tol1,mae,2.228373541741637,1.6362190486620876,0.5921544930795493,0.00277884998757116
0.2,False,inherited,adj_tol2,icc,0.8367004095066056,0.9049205996863403,-0.06822019017973469,0.00038634725741515906
0.2,False,inherited,adj_tol2,loa_width,10.89417025422847,7.82098912493421,3.0731811292942597,0.022136835340714638
0.2,False,inherited,adj_tol2,mae,2.196692671976755,1.6362190486620876,0.5604736233146675,0.002663262050272899
0.2,False,inherited,adj_tol3,icc,0.8389915475807653,0.9049205996863403,-0.06592905210557495,0.0003794861069521876
0.2,False,inherited,adj_tol3,loa_width,10.799641127973985,7.82098912493421,2.978652003039775,0.02184905902484545
0.2,False,inherited,adj_tol3,mae,2.1770696557971205,1.6362190486620876,0.5408506071350331,0.0025992056207924203
0.2,False,inherited,mean2,icc,0.841957199130443,0.9049205996863403,-0.06296340055589725,0.0003670256265205649
0.2,False,inherited,mean2,loa_width,10.671249569356625,7.82098912493421,2.850260444422416,0.021504993640815973
0.2,False,inherited,mean2,mae,2.1549931296739553,1.6362190486620876,0.5187740810118672,0.0025349354585967477
0.2,False,inherited,single,icc,0.828000282153585,0.9049205996863403,-0.07692031753275526,0.00042344155867038414
0.2,False,inherited,single,loa_width,11.231559043657487,7.82098912493421,3.4105699187232767,0.022644850758693564
0.2,False,inherited,single,mae,2.2700318948954705,1.6362190486620876,0.633812846233383,0.0028726161233044974
0.2,True,independent,adj_tol1,icc,0.8194360573684686,0.9085840483701825,-0.08914799100171387,0.00047479171507904244
0.2,True,independent,adj_tol1,loa_width,11.337232147170289,7.826612063603278,3.5106200835670114,0.023571924345800417
0.2,True,independent,adj_tol1,mae,2.321568224131088,1.5957440077586147,0.7258242163724733,0.003278784953965527
0.2,True,independent,adj_tol2,icc,0.8232715852508975,0.9085840483701825,-0.08531246311928513,0.00046731505776239875
0.2,True,independent,adj_tol2,loa_width,11.17940029180276,7.826612063603278,3.352788228199483,0.023458783136649355
0.2,True,independent,adj_tol2,mae,2.2894565928043917,1.5957440077586147,0.6937125850457769,0.003220816768350146
