cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,design,n_double,overlap_frac,mcse_ba_bias_empirical_sd,mcse_ba_bias_mean,mcse_icc_ci_width_mean,mcse_icc_empirical_sd,mcse_icc_mean,mcse_loa_ci_width_each_mean,mcse_loa_hi_empirical_sd,mcse_loa_hi_mean,mcse_loa_lo_empirical_sd,mcse_loa_lo_mean,mcse_loa_width_mean,ba_bias_empirical_sd,ba_bias_mean,icc_ci_width_mean,icc_empirical_sd,icc_mean,loa_ci_width_each_mean,loa_hi_empirical_sd,loa_hi_mean,loa_lo_empirical_sd,loa_lo_mean,loa_width_mean,icc_emp95_range,loa_hi_emp95_range
1,0.05,0.0,2.0,gold,200,,0.0010397028509504277,0.001469994236223605,6.328248895917822e-05,8.122012721585905e-05,0.00011483388620462034,0.0009972636693938825,0.0029988573305078895,0.00423996431968396,0.003090662574676298,0.004369764078970276,0.008093252674789136,0.0657401407745773,-0.0006487550667822436,0.011645908775310795,0.005135527513480128,0.9791494357222836,0.44783971647968746,0.1896169688197397,1.8165637307138982,0.1954217905242859,-1.8178612408474628,3.634424971561361,0.02013089809486113,0.7432848653516245
1,0.05,0.0,2.0,overlap,50,0.1,0.0021038746868929682,0.0029745841907062942,0.0002792394108359011,0.0001709337422715076,0.00024167637482724167,0.003688351127555864,0.00562515759022862,0.007953185112387262,0.005581937096556458,0.007892077386726282,0.014686166054813292,0.13302744910430944,0.0005124951295553605,0.026225177343221894,0.010808096053388628,0.9777714543436936,0.9037748924666741,0.3556772509787445,1.7998243946628472,0.3529444304081773,-1.7987994044037363,3.598623799066584,0.04236695834636758,1.3942292150746078
1,0.05,0.0,2.0,overlap,100,0.2,0.0014636970523169972,0.0020694626628335122,0.0001281525689145558,0.00011464966909978982,0.00016209857711515518,0.0019087236629089334,0.004120104691803394,0.005825251074431836,0.004116798968211325,0.005820577244190389,0.010885524159178768,0.09254918381986922,0.00023441251109627503,0.017080252500177733,0.0072492687497095745,0.9787550884009802,0.6352849422916863,0.26051314776866547,1.8117615920765804,0.26030412772596206,-1.8112927670543877,3.623054359130968,0.028416611551511553,1.0211927823065292
1,0.05,0.0,2.0,overlap,150,0.3,0.0011970991753378994,0.0016925305978781485,8.41432634199663e-05,9.304485925218726e-05,0.00013155240142500408,0.001297953771046006,0.0033885595599268134,0.004790948700043826,0.003480337134251141,0.004920709338045363,0.009103543286706659,0.07569226941707803,-0.0008762435228943799,0.013579630525063939,0.005883202243792986,0.9790665178755685,0.5172769674418833,0.2142577394002449,1.8131534119896295,0.2200608115477485,-1.8149058990354183,3.628059311025048,0.023061729205106955,0.8398749118917231
1,0.05,0.0,2.0,overlap,250,0.5,0.0009364315249968557,0.0013239830429483852,5.02855761444957e-05,7.231009152144066e-05,0.00010223634345154567,0.0007944702064628441,0.00267335541455746,0.00377975019226335,0.002763349335334874,0.003906988993923873,0.0072173696480819635,0.05921032170179226,-0.0005671135191784886,0.010352806013785465,0.004572148274573432,0.9792045621364213,0.4006496972575285,0.16903556735737502,1.8192852490847737,0.17472585955514588,-1.820419476123131,3.639704725207905,0.017922492041652086,0.6626072534800603
2,0.05,0.0,3.0,gold,25,,0.002894109324513779,0.004091865307618636,0.0006118339576200067,0.0002559043581452279,0.0003618129267935633,0.007017872696153294,0.0074474599319381855,0.010529665437050296,0.007339495063751117,0.010377018232318144,0.01923900403964243,0.1829937796521672,0.00027276883483083614,0.042072195670086826,0.016180765988971252,0.9764875860217263,1.2882832908719237,0.4709009539514899,1.7661417515305657,0.46407436342436154,-1.7655962138609038,3.5317379653914696,0.0634274376616161,1.8458978346211559
2,0.05,0.0,3.0,gold,50,,0.0020686055004233133,0.0029247184999665844,0.00025621276121955936,0.00015743792267745459,0.0002225951758113534,0.003509984919937878,0.005377120170026669,0.007602494934197086,0.005338640146796674,0.007548089569908496,0.013975952831328546,0.13079738761953,-0.004286665968616961,0.025557773344510613,0.009954758891554063,0.9783190929866354,0.8944784551938036,0.3399939094292495,1.7765170958107181,0.337560827571451,-1.7850904277479518,3.56160752355867,0.039021938112251735,1.3327516454011792
2,0.05,0.0,3.0,gold,100,,0.0014776288270276349,0.0020891602413351793,0.00012114559373832986,0.00010794325876272602,0.00015261665203221216,0.00181792403112206,0.003982815482615829,0.005631143357965605,0.003922964254161545,0.005546522102211354,0.010367690381211032,0.09343008631030654,-0.0003654369778059818,0.016813808715166773,0.006825224168849157,0.979099831764655,0.6309359957328937,0.2518323867891505,1.798760638186697,0.2480480091849925,-1.799491512142309,3.5982521503290053,0.02675438732574854,0.9871648242816211
2,0.05,0.0,3.0,gold,200,,0.0010406129612188532,0.0014712810046956645,6.0240129951969385e-05,7.726120673194114e-05,0.00010923652702867212,0.0009801827513834039,0.0030084339537433105,0.004253504323874278,0.0029903238212803133,0.004227899132628033,0.007954633180648556,0.06579768681007386,-0.0006089897100991806,0.011529300335252717,0.00488520600124208,0.9793572968635477,0.4461854615023476,0.19022249621544335,1.8098909766381444,0.18907739725137362,-1.8111089560583427,3.620999932696487,0.019149655790036864,0.7456584891448105
2,0.05,0.0,3.0,overlap,50,0.1,0.0020686055004233133,0.0029247184999665844,0.00025621276121955936,0.00015743792267745459,0.0002225951758113534,0.003509984919937878,0.005377120170026669,0.007602494934197086,0.005338640146796674,0.007548089569908496,0.013975952831328546,0.13079738761953,-0.004286665968616961,0.025557773344510613,0.009954758891554063,0.9783190929866354,0.8944784551938036,0.3399939094292495,1.7765170958107181,0.337560827571451,-1.7850904277479518,3.56160752355867,0.039021938112251735,1.3327516454011792
