u,view_errors,r_mean,beat_cv,N_beats,cell,axis,metric,rule,tau,value,mcse,n,lo95,hi95
base,False,0.64,0.05,3,37,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,3e-05,1.732024826611905e-05,100000,-3.947063072655759e-06,6.394706307265576e-05
base,False,0.64,0.05,3,37,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.0,0.0,100000,0.0,0.0
base,False,0.64,0.05,3,37,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,5e-05,2.2360120751015635e-05,100000,6.174968292356397e-06,9.382503170764361e-05
base,False,0.64,0.05,3,37,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.0,0.0,100000,0.0,0.0
base,False,0.64,0.05,3,37,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,0.0,0.0,100000,0.0,0.0
base,False,0.64,0.1,3,43,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.01339,0.00036346537524226433,100000,0.012677620949278672,0.01410237905072133
base,False,0.64,0.1,3,43,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,0.00381,0.00019482001693871192,100000,0.0034281597803207343,0.004191840219679266
base,False,0.64,0.1,3,43,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.00105,0.00010241569703907697,100000,0.0008492689207685025,0.0012507310792314974
base,False,0.64,0.1,3,43,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,0.0028,0.0001670975762840383,100000,0.002472494765996031,0.003127505234003969
base,False,0.64,0.1,3,43,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.00043,6.556028523427884e-05,100000,0.0003015042011110819,0.0005584957988889181
base,False,0.64,0.1,3,43,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,8e-05,2.8283139853983683e-05,100000,2.456606407922673e-05,0.0001354339359207733
base,False,0.64,0.15,3,49,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.05667,0.0007311532746285146,100000,0.055236965903246,0.058103034096754
base,False,0.64,0.15,3,49,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,0.0237,0.0004810229724243947,100000,0.02275721229087519,0.024642787709124807
base,False,0.64,0.15,3,49,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.01091,0.00032849614761820266,100000,0.010266159376529636,0.011553840623470363
base,False,0.64,0.15,3,49,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,0.01462,0.0003795557350376885,100000,0.013876084423332592,0.015363915576667407
base,False,0.64,0.15,3,49,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.00467,0.0002155966395842013,100000,0.00424743834789399,0.00509256165210601
base,False,0.64,0.15,3,49,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,0.00153,0.00012359850727253948,100000,0.0012877513752920843,0.0017722486247079155
base,False,0.64,0.2,3,55,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.11725,0.0010173614770571963,100000,0.11525600812998106,0.11924399187001893
base,False,0.64,0.2,3,55,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,0.0632,0.0007694527925740474,100000,0.0616919002268554,0.06470809977314461
base,False,0.64,0.2,3,55,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.03423,0.0005749635388439861,100000,0.03310309216255318,0.03535690783744681
base,False,0.64,0.2,3,55,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,0.03887,0.0006112210982942261,100000,0.037672028651302855,0.04006797134869715
base,False,0.64,0.2,3,55,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.01574,0.00039360198678360355,100000,0.014968554275575661,0.01651144572442434
base,False,0.64,0.2,3,55,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,0.0066,0.00025605546274196144,100000,0.006098140511022414,0.007101859488977586
base,False,0.64,0.25,3,61,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.18206,0.0012203038818261623,100000,0.17966824832256045,0.18445175167743955
base,False,0.64,0.25,3,61,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,0.11251,0.0009992572236416407,100000,0.11055149181492244,0.11446850818507756
base,False,0.64,0.25,3,61,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.06968,0.0008051378614870872,100000,0.06810195877644833,0.07125804122355169
base,False,0.64,0.25,3,61,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,0.07207,0.0008177769567553246,100000,0.07046718660473,0.07367281339526999
base,False,0.64,0.25,3,61,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.03529,0.0005834776422451849,100000,0.03414640482639456,0.03643359517360544
base,False,0.64,0.25,3,61,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,0.0176,0.0004158153436322426,100000,0.016785016895833175,0.018414983104166827
base,False,0.64,0.3,3,67,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.23758,0.0013458667972723007,100000,0.234942149528551,0.24021785047144903
base,False,0.64,0.3,3,67,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,0.16136,0.001163283930947213,100000,0.15908000537356498,0.16363999462643503
base,False,0.64,0.3,3,67,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.10867,0.000984179003535434,100000,0.10674104458351467,0.11059895541648533
base,False,0.64,0.3,3,67,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,0.10905,0.0009856880718564064,100000,0.10711808686393202,0.11098191313606796
base,False,0.64,0.3,3,67,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.05938,0.000747355441540369,100000,0.05791521023937678,0.06084478976062323
base,False,0.64,0.3,3,67,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,0.03305,0.0005653113964886963,100000,0.03194201001409243,0.03415798998590758
base,True,0.64,0.05,3,181,AP,p_any_adj,any adjudication (diff >= t_adj),4.0,0.01815,0.0004221442585183411,100000,0.017322612450497356,0.018977387549502643
base,True,0.64,0.05,3,181,AP,p_any_adj,any adjudication (diff >= t_adj),5.0,0.0087,0.0002936717555366876,100000,0.00812441393133129,0.009275586068668708
base,True,0.64,0.05,3,181,AP,p_any_adj,any adjudication (diff >= t_adj),6.0,0.00464,0.00021490626794023484,100000,0.004218791451462786,0.005061208548537214
base,True,0.64,0.05,3,181,SL,p_any_adj,any adjudication (diff >= t_adj),4.0,0.00546,0.0002330276464284871,100000,0.005003274201995436,0.005916725798004563
base,True,0.64,0.05,3,181,SL,p_any_adj,any adjudication (diff >= t_adj),5.0,0.00197,0.00014021836898209876,100000,0.0016951770446563697,0.00224482295534363
base,True,0.64,0.05,3,181,SL,p_any_adj,any adjudication (diff >= t_adj),6.0,0.00083,9.106651964360997e-05,100000,0.0006515128998932317,0.0010084871001067683
