rhythm_state,p_beat_cv,axis,estimand,W,p_N_beats,rmse_win,smallest_nowin_N_as_good
AF_rr0.1,0.15,SL,T1,0.15,7,1.3685,5
AF_rr0.1,0.15,SL,T1,0.15,10,1.31388,7
AF_rr0.1,0.15,SL,T1,0.15,13,1.29164,10
AF_rr0.1,0.15,SL,T1,0.2,1,1.93822,3
AF_rr0.1,0.15,SL,T1,0.2,3,1.525,3
AF_rr0.1,0.15,SL,T1,0.2,5,1.41187,5
AF_rr0.1,0.15,SL,T1,0.2,7,1.34594,7
AF_rr0.1,0.15,SL,T1,0.2,10,1.29297,10
AF_rr0.1,0.15,SL,T1,0.2,13,1.26668,10
AF_rr0.1,0.15,SL,T1,0.25,1,1.93652,3
AF_rr0.1,0.15,SL,T1,0.25,3,1.51375,3
AF_rr0.1,0.15,SL,T1,0.25,5,1.38872,5
AF_rr0.1,0.15,SL,T1,0.25,7,1.3241,7
AF_rr0.1,0.15,SL,T1,0.25,10,1.27959,10
AF_rr0.1,0.15,SL,T1,0.25,13,1.24772,13
AF_rr0.1,0.15,SL,T2,0.1,1,1.89056,1
AF_rr0.1,0.15,SL,T2,0.1,3,1.49364,3
AF_rr0.1,0.15,SL,T2,0.1,5,1.37783,5
AF_rr0.1,0.15,SL,T2,0.1,7,1.32068,5
AF_rr0.1,0.15,SL,T2,0.1,10,1.26977,7
AF_rr0.1,0.15,SL,T2,0.1,13,1.19193,10
AF_rr0.1,0.15,SL,T2,0.15,1,1.89358,1
AF_rr0.1,0.15,SL,T2,0.15,3,1.4849,3
AF_rr0.1,0.15,SL,T2,0.15,5,1.36653,5
AF_rr0.1,0.15,SL,T2,0.15,7,1.3158,5
AF_rr0.1,0.15,SL,T2,0.15,10,1.25991,7
AF_rr0.1,0.15,SL,T2,0.15,13,1.2268,7
AF_rr0.1,0.15,SL,T2,0.2,1,1.88558,3
AF_rr0.1,0.15,SL,T2,0.2,3,1.47274,3
AF_rr0.1,0.15,SL,T2,0.2,5,1.35736,5
AF_rr0.1,0.15,SL,T2,0.2,7,1.28941,5
AF_rr0.1,0.15,SL,T2,0.2,10,1.23065,7
AF_rr0.1,0.15,SL,T2,0.2,13,1.20131,10
AF_rr0.1,0.15,SL,T2,0.25,1,1.884,3
AF_rr0.1,0.15,SL,T2,0.25,3,1.46312,3
AF_rr0.1,0.15,SL,T2,0.25,5,1.32959,5
AF_rr0.1,0.15,SL,T2,0.25,7,1.26284,7
AF_rr0.1,0.15,SL,T2,0.25,10,1.20852,10
AF_rr0.1,0.15,SL,T2,0.25,13,1.1779,10
AF_rr0.1,0.15,SL,Tv,0.1,1,1.73309,1
AF_rr0.1,0.15,SL,Tv,0.1,3,1.29591,3
AF_rr0.1,0.15,SL,Tv,0.1,5,1.16668,5
AF_rr0.1,0.15,SL,Tv,0.1,7,1.09781,5
