rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,value,mcse,n
AF_rr0.1,0.15,0.25,5,retrospective,AP,0.18579,0.00122993,100000
AF_rr0.1,0.15,0.25,5,retrospective,SL,0.12908,0.00106028,100000
AF_rr0.1,0.15,0.25,7,prospective,AP,0.33059,0.00148762,100000
AF_rr0.1,0.15,0.25,7,prospective,SL,0.20433,0.00127507,100000
AF_rr0.1,0.15,0.25,7,retrospective,AP,0.03778,0.000602932,100000
AF_rr0.1,0.15,0.25,7,retrospective,SL,0.02411,0.000485064,100000
AF_rr0.1,0.15,0.25,10,prospective,AP,0.18887,0.00123773,100000
AF_rr0.1,0.15,0.25,10,prospective,SL,0.10229,0.000958263,100000
AF_rr0.1,0.15,0.25,10,retrospective,AP,0.00174,0.000131794,100000
AF_rr0.1,0.15,0.25,10,retrospective,SL,0.00089,9.42978e-05,100000
AF_rr0.1,0.15,0.25,13,prospective,AP,0.1095,0.00098747,100000
AF_rr0.1,0.15,0.25,13,prospective,SL,0.05267,0.00070637,100000
AF_rr0.1,0.15,0.25,13,retrospective,AP,9e-05,2.99986e-05,100000
AF_rr0.1,0.15,0.25,13,retrospective,SL,2e-05,1.4142e-05,100000
AF_rr0.1,0.2,0,1,prospective,AP,1,0,100000
AF_rr0.1,0.2,0,1,prospective,SL,1,0,100000
