cell,u,K,beat_cv,view_over,estimator,axis,estimand,cutoff_mm,metric,value,mcse,n
0,base,1,0.05,False,A3,AP,T1,13.0,sensitivity,0.7942719465278048,0.002519916558470495,25733
0,base,1,0.05,False,A3,AP,T1,13.0,specificity,0.9591339356645616,0.0007264790509387512,74267
0,base,1,0.05,False,A3,AP,T1,13.0,ppv,0.8707080173809321,0.002189921357704619,23474
0,base,1,0.05,False,A3,AP,T1,13.0,prevalence,0.25733,0.00138243000220626,100000
0,base,1,0.05,False,A3,AP,T1,13.0,nri_events_vs_A1,0.0,0.0,25733
0,base,1,0.05,False,A3,AP,T1,13.0,nri_nonevents_vs_A1,0.0,0.0,74267
0,base,1,0.05,False,A3,AP,T1,13.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A4,AP,T1,13.0,sensitivity,0.7942719465278048,0.002519916558470495,25733
0,base,1,0.05,False,A4,AP,T1,13.0,specificity,0.9591339356645616,0.0007264790509387512,74267
0,base,1,0.05,False,A4,AP,T1,13.0,ppv,0.8707080173809321,0.002189921357704619,23474
0,base,1,0.05,False,A4,AP,T1,13.0,prevalence,0.25733,0.00138243000220626,100000
0,base,1,0.05,False,A4,AP,T1,13.0,nri_events_vs_A1,0.0,0.0,25733
0,base,1,0.05,False,A4,AP,T1,13.0,nri_nonevents_vs_A1,0.0,0.0,74267
0,base,1,0.05,False,A4,AP,T1,13.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A5,AP,T1,13.0,sensitivity,0.7942719465278048,0.002519916558470495,25733
0,base,1,0.05,False,A5,AP,T1,13.0,specificity,0.9591339356645616,0.0007264790509387512,74267
0,base,1,0.05,False,A5,AP,T1,13.0,ppv,0.8707080173809321,0.002189921357704619,23474
0,base,1,0.05,False,A5,AP,T1,13.0,prevalence,0.25733,0.00138243000220626,100000
0,base,1,0.05,False,A5,AP,T1,13.0,nri_events_vs_A1,0.0,0.0,25733
0,base,1,0.05,False,A5,AP,T1,13.0,nri_nonevents_vs_A1,0.0,0.0,74267
0,base,1,0.05,False,A5,AP,T1,13.0,nri_vs_A1,0.0,0.0,100000
0,base,1,0.05,False,A6,AP,T1,13.0,sensitivity,0.7794271946527804,0.0025847500395233657,25733
