cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,anchor_alpha,metric,value,mcse,n,test
1,0.05,0.0,2.0,25,0.0,power_reject_either_unadjusted,0.104,0.0068258332824644935,2000,either_unadjusted
1,0.05,0.0,2.0,25,0.1,power_reject_welch_mean,0.0505,0.00489641450451246,2000,welch_mean
1,0.05,0.0,2.0,25,0.1,power_reject_f_variance,0.2265,0.009359427065798419,2000,f_variance
1,0.05,0.0,2.0,25,0.1,power_reject_either_unadjusted,0.271,0.009938787652425219,2000,either_unadjusted
1,0.05,0.0,2.0,25,0.2,power_reject_welch_mean,0.061,0.005351588549206675,2000,welch_mean
1,0.05,0.0,2.0,25,0.2,power_reject_f_variance,0.4875,0.011176845485198405,2000,f_variance
1,0.05,0.0,2.0,25,0.2,power_reject_either_unadjusted,0.538,0.011148004305704227,2000,either_unadjusted
1,0.05,0.0,2.0,25,0.3,power_reject_welch_mean,0.0815,0.006117914268768401,2000,welch_mean
1,0.05,0.0,2.0,25,0.3,power_reject_f_variance,0.7885,0.00913147715323211,2000,f_variance
1,0.05,0.0,2.0,25,0.3,power_reject_either_unadjusted,0.826,0.008477145746063354,2000,either_unadjusted
1,0.05,0.0,2.0,25,0.5,power_reject_welch_mean,0.1435,0.007839252196478947,2000,welch_mean
1,0.05,0.0,2.0,25,0.5,power_reject_f_variance,0.9955,0.0014966211945579198,2000,f_variance
1,0.05,0.0,2.0,25,0.5,power_reject_either_unadjusted,0.997,0.0012229063741758816,2000,either_unadjusted
1,0.05,0.0,2.0,50,0.0,power_reject_welch_mean,0.0445,0.004610843198374892,2000,welch_mean
1,0.05,0.0,2.0,50,0.0,power_reject_f_variance,0.0605,0.005331029450303197,2000,f_variance
1,0.05,0.0,2.0,50,0.0,power_reject_either_unadjusted,0.1045,0.006840312492861711,2000,either_unadjusted
1,0.05,0.0,2.0,50,0.1,power_reject_welch_mean,0.0535,0.005031786462082826,2000,welch_mean
1,0.05,0.0,2.0,50,0.1,power_reject_f_variance,0.282,0.010061709596286309,2000,f_variance
1,0.05,0.0,2.0,50,0.1,power_reject_either_unadjusted,0.328,0.01049799980948752,2000,either_unadjusted
1,0.05,0.0,2.0,50,0.2,power_reject_welch_mean,0.073,0.005816829033072916,2000,welch_mean
1,0.05,0.0,2.0,50,0.2,power_reject_f_variance,0.667,0.010538287337134055,2000,f_variance
1,0.05,0.0,2.0,50,0.2,power_reject_either_unadjusted,0.709,0.010156746526324263,2000,either_unadjusted
1,0.05,0.0,2.0,50,0.3,power_reject_welch_mean,0.1125,0.0070655413805312895,2000,welch_mean
1,0.05,0.0,2.0,50,0.3,power_reject_f_variance,0.9415,0.0052477495176503994,2000,f_variance
1,0.05,0.0,2.0,50,0.3,power_reject_either_unadjusted,0.9555,0.004610843198374891,2000,either_unadjusted
