u,axis,cutoff_mm,estimator,fnr_mcse,fpr_mcse,nri_events_vs_A1_mcse,nri_nonevents_vs_A1_mcse,nri_vs_A1_mcse,ppv_mcse,prevalence_mcse,sensitivity_mcse,specificity_mcse,fnr,fpr,nri_events_vs_A1,nri_nonevents_vs_A1,nri_vs_A1,ppv,prevalence,sensitivity,specificity
low,AP,7.0,A6,0.001058549406683393,0.0031502353043904507,0.0008978005266717199,0.0027609609404835506,0.002903265592495428,0.000844810740618431,0.0012318139433372232,0.001058549406683393,0.0031502353043904507,0.10144197081637918,0.24526885755642525,-0.02302481959998525,-0.015922371736449906,-0.03894719133643516,0.9410969486288142,0.81347,0.8985580291836208,0.7547311424435748
low,AP,7.0,A7,0.0007805377354305797,0.0030959962018087222,0.0007727497381651372,0.002618007548793327,0.0027296713507990542,0.000787824588954366,0.0012318139433372232,0.0007805377354305797,0.0030959962018087222,0.05229449149937915,0.23315284404653402,0.026122659717014766,-0.00380635822655874,0.022316301490456027,0.9466000343802952,0.81347,0.9477055085006209,0.766847155953466
low,AP,10.0,A1,0.0015332920829381638,0.0015237509089451233,0.0,0.0,0.0,0.0015293857514068986,0.0015811372359792178,0.0015332920829381638,0.0015237509089451233,0.13583288269342464,0.13428930918096305,0.0,0.0,0.0,0.8651721441318602,0.49929,0.8641671173065754,0.865710690819037
low,AP,10.0,A2,0.0015662429460028158,0.0012919574936617025,0.0013134296741232003,0.0012665330821118883,0.0018246105219885188,0.001360774159234294,0.0015811372359792178,0.0015662429460028158,0.0012919574936617025,0.14290292214945222,0.0920492900081884,-0.007070039456027556,0.04224001917277466,0.0351699797167471,0.9027698668860621,0.49929,0.8570970778505478,0.9079507099918116
low,AP,10.0,A3,0.0010426986186059229,0.0018706113521521869,0.0012017780843636434,0.001293090268021344,0.00176531951932455,0.001637099163098419,0.0015811372359792178,0.0010426986186059229,0.0018706113521521869,0.057601794548258534,0.22651834395158876,0.07823108814516613,-0.09222903477062572,-0.013997946625459584,0.8057710420412707,0.49929,0.9423982054517415,0.7734816560484112
low,AP,10.0,A4,0.0010904691439678786,0.0018341976626900622,0.0011600901005100121,0.0012134104198114255,0.0016787417574505824,0.0016251154011536248,0.0015811372359792178,0.0010904691439678786,0.0018341976626900622,0.06339001381962384,0.21443550158774538,0.0724428688738008,-0.08014619240678236,-0.00770332353298156,0.8132728126467366,0.49929,0.9366099861803762,0.7855644984122546
low,AP,10.0,A5,0.0016011328326197892,0.0013083002461109472,0.0012172849307085954,0.0011668269970643301,0.0016861992301055034,0.001385010103760418,0.0015811372359792178,0.0016011328326197892,0.0013083002461109472,0.1507140138997376,0.09466557488366523,-0.014881131206312966,0.03962373429729784,0.024742603090984874,0.8994569828610216,0.49929,0.8492859861002624,0.9053344251163348
low,AP,10.0,A6,0.0016624199218269328,0.0015973430725094735,0.0014194220412321865,0.0013880013942651882,0.001985272475409321,0.0016229526077955413,0.0015811372359792178,0.0016624199218269328,0.0015973430725094735,0.16531474694065573,0.15036647959896943,-0.029481864247231072,-0.01607717041800643,-0.0455590346652375,0.8469839850418666,0.49929,0.8346852530593443,0.8496335204010306
low,AP,10.0,A7,0.0013114543300890677,0.0015015294730517526,0.001245189346365204,0.0012788015571146565,0.0017848893329224292,0.0014579692688182768,0.0015811372359792178,0.0013114543300890677,0.0015015294730517526,0.09487472210538961,0.1297158035589463,0.04095816058803501,0.004573505622016735,0.045531666210051745,0.8743397759591387,0.49929,0.9051252778946104,0.8702841964410537
low,AP,13.0,A1,0.0023850221360521367,0.0009777012734382019,0.0,0.0,0.0,0.002495918026362488,0.0013826054936242659,0.0023850221360521367,0.0009777012734382019,0.17818436079710986,0.07689510753194984,0.0,0.0,0.0,0.7874637087768928,0.25743,0.8218156392028901,0.9231048924680502
low,AP,13.0,A2,0.0024564383069663903,0.0008088274211089413,0.002087870578076433,0.0008252131005741777,0.002245034568142875,0.002305209689900959,0.0013826054936242659,0.0024564383069663903,0.0008088274211089413,0.1923241269471313,0.05120056021654529,-0.014139766150021368,0.02569454731540461,0.011554781165383242,0.8454094494592177,0.25743,0.8076758730528687,0.9487994397834547
low,AP,13.0,A3,0.0016763707423762524,0.0012633191455092793,0.0018671026758721471,0.0008748479401617136,0.002061899929835133,0.0024897613942827584,0.0013826054936242659,0.0016763707423762524,0.0012633191455092793,0.07850677854173949,0.13738772102293384,0.09967758225537039,-0.06049261349098402,0.039184968764386374,0.6992689541327674,0.25743,0.9214932214582605,0.8626122789770662
low,AP,13.0,A4,0.001775003668402409,0.0012062537740239615,0.0017760513273938725,0.0007714396078100384,0.0019363567300566397,0.0024885627515990735,0.0013826054936242659,0.001775003668402409,0.0012062537740239615,0.08903391213145317,0.12323417320925978,0.08915044866565669,-0.04633906567730988,0.04281138298834681,0.7193116986687933,0.25743,0.9109660878685468,0.8767658267907402
low,AP,13.0,A5,0.0025100254464465255,0.0008139394008987946,0.0019349913433018044,0.000755886380869172,0.0020773915662282874,0.002338555772402263,0.0013826054936242659,0.0025100254464465255,0.0008139394008987946,0.20366701627626926,0.05188736415422113,-0.02548265547915938,0.0250077433777287,-0.0004749121014306773,0.8417854063154436,0.25743,0.7963329837237307,0.9481126358457789
low,AP,13.0,A6,0.0025314940272896844,0.0010600370552433839,0.002176904480729352,0.0009052134289886969,0.002357609906290904,0.0026283981867834825,0.0013826054936242659,0.0025314940272896844,0.0010600370552433839,0.2084061686672105,0.09188359346593589,-0.030221807870100606,-0.01498848593398602,-0.04521029380408663,0.7491636336899379,0.25743,0.7915938313327895,0.9081164065340641
low,AP,13.0,A7,0.002054671344925608,0.0009516361392996929,0.0019972873154832636,0.0008209821018484352,0.0021594370174065776,0.0023601510396332546,0.0013826054936242659,0.002054671344925608,0.0009516361392996929,0.12407256341529738,0.07250494902837445,0.05411179738181253,0.004390158503575419,0.05850195588538795,0.8072530698457022,0.25743,0.8759274365847026,0.9274950509716255
low,SL,7.0,A1,0.0017811572845261598,0.0014124714040063752,0.0,0.0,0.0,0.0018995497661630936,0.00155401245683553,0.0017811572845261598,0.0014124714040063752,0.15268036686448572,0.13689169565364223,0.0,0.0,0.0,0.8099580393351931,0.40778,0.8473196331355143,0.8631083043463578
low,SL,7.0,A2,0.001794653400235522,0.0012287565432055328,0.0015056559551436571,0.0011647624647095562,0.0019035943513405996,0.0017577539537051408,0.00155401245683553,0.001794653400235522,0.0012287565432055328,0.15552503801069206,0.09927054135287561,-0.00284467114620629,0.03762115430076661,0.03477648315456032,0.8541733845963041,0.40778,0.8444749619893079,0.9007294586471244
low,SL,7.0,A3,0.0012068730205109823,0.0017326147837556846,0.0014119556820981248,0.0012013194123345792,0.001853857378187729,0.0019350076106792002,0.00155401245683553,0.0012068730205109823,0.0017326147837556846,0.06341654813870223,0.23126540812535878,0.08926381872578351,-0.0943737124717166,-0.005109893745933083,0.7360468701819303,0.40778,0.9365834518612978,0.7687345918746412
