u,view_errors,r_mean,beat_cv,N_beats,cell,axis,tau,value,mcse,n,quantity
base,False,0.53,0.3,5,32,AP-SL,6.0,0.31949,0.0014745037805987476,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,7,33,AP-SL,2.0,0.86193,0.001090901806305224,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,7,33,AP-SL,3.0,0.72616,0.0014101477029020754,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,7,33,AP-SL,4.0,0.57425,0.0015636078072841669,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,7,33,AP-SL,5.0,0.43036,0.0015657275318522058,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,7,33,AP-SL,6.0,0.31275,0.0014660744779853444,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,10,34,AP-SL,2.0,0.88734,0.0009998386089764687,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,10,34,AP-SL,3.0,0.74679,0.0013751170710161371,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,10,34,AP-SL,4.0,0.58294,0.001559233646378887,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,10,34,AP-SL,5.0,0.42953,0.001565356122740126,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,10,34,AP-SL,6.0,0.30684,0.001458386829342613,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,13,35,AP-SL,2.0,0.92989,0.0008074316559313241,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,13,35,AP-SL,3.0,0.79403,0.0012788524508323858,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,13,35,AP-SL,4.0,0.61448,0.0015391371920657365,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,13,35,AP-SL,5.0,0.44409,0.0015712226828174293,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.3,13,35,AP-SL,6.0,0.30925,0.0014615554642229626,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,1,36,AP-SL,2.0,0.77547,0.0013195312770071044,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,1,36,AP-SL,3.0,0.61288,0.0015403184917412373,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,1,36,AP-SL,4.0,0.44196,0.0015704501214619966,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,1,36,AP-SL,5.0,0.2944,0.0014412794316162288,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,1,36,AP-SL,6.0,0.18534,0.0012287761569952438,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,3,37,AP-SL,2.0,0.80188,0.0012604303455566277,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,3,37,AP-SL,3.0,0.61239,0.0015406767600635767,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,3,37,AP-SL,4.0,0.41808,0.0015597727834527695,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,3,37,AP-SL,5.0,0.26281,0.0013919084161682477,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,3,37,AP-SL,6.0,0.1561,0.00114774905793906,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,5,38,AP-SL,2.0,0.81524,0.0012272886473849581,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,5,38,AP-SL,3.0,0.61173,0.0015411567314845042,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,5,38,AP-SL,4.0,0.40897,0.0015547139257754141,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,5,38,AP-SL,5.0,0.25365,0.0013759058016448655,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,5,38,AP-SL,6.0,0.14804,0.00112305012532834,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,7,39,AP-SL,2.0,0.82181,0.0012101170352490703,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,7,39,AP-SL,3.0,0.61241,0.0015406621690039642,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,7,39,AP-SL,4.0,0.40577,0.0015528061923498373,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,7,39,AP-SL,5.0,0.24888,0.0013672554465058823,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,7,39,AP-SL,6.0,0.14625,0.001117411909279653,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,10,40,AP-SL,2.0,0.82953,0.0011891592790707222,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,10,40,AP-SL,3.0,0.61555,0.001538337406097895,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,10,40,AP-SL,4.0,0.40354,0.0015514363293412977,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,10,40,AP-SL,5.0,0.24562,0.0013612156904767151,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,10,40,AP-SL,6.0,0.14333,0.0011080907503449346,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,13,41,AP-SL,2.0,0.83454,0.0011750871814465514,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,13,41,AP-SL,3.0,0.61235,0.0015407059339796157,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,13,41,AP-SL,4.0,0.39594,0.0015465171075678408,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,13,41,AP-SL,5.0,0.23966,0.001349900308911736,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.05,13,41,AP-SL,6.0,0.14011,0.0010976301193935962,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,1,42,AP-SL,2.0,0.75566,0.00135881552979056,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,1,42,AP-SL,3.0,0.60028,0.0015490123356513336,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,1,42,AP-SL,4.0,0.44209,0.0015704981117467159,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,1,42,AP-SL,5.0,0.30543,0.0014565112944979178,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,1,42,AP-SL,6.0,0.20122,0.001267795376233878,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,3,43,AP-SL,2.0,0.78281,0.0013039114383270054,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,3,43,AP-SL,3.0,0.60354,0.0015468660847015813,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,3,43,AP-SL,4.0,0.41845,0.001559966658297542,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,3,43,AP-SL,5.0,0.27072,0.0014051002868122973,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,3,43,AP-SL,6.0,0.16691,0.0011791991006611224,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,5,44,AP-SL,2.0,0.80153,0.0012612678506169893,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,5,44,AP-SL,3.0,0.6063,0.0015449929126051033,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,5,44,AP-SL,4.0,0.41145,0.0015561455507117578,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,5,44,AP-SL,5.0,0.26054,0.0013880162405389932,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,5,44,AP-SL,6.0,0.15877,0.0011556906467563022,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,7,45,AP-SL,2.0,0.80894,0.0012432058413633681,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,7,45,AP-SL,3.0,0.60764,0.0015440648639224973,100000,measured anchor |AP-SL| >= tau
base,False,0.64,0.1,7,45,AP-SL,4.0,0.4061,0.0015530060849848592,100000,measured anchor |AP-SL| >= tau
