cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T1,A2,0.005692198786130358,0.04042761463882546,0.00550133556440649,0.004025012486647357,-0.6454614149435585,-4.564541754918916,1.912250176921501,1.8000313058617599
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T1,A3,0.005755944551472438,0.04154075854082255,0.00559932221588774,0.0040700877749696735,-0.02934439217440996,0.05251421244454249,1.820416911154401,1.8201894868289195
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T1,A4,0.005755372343125838,0.0415378297321156,0.005599198351297149,0.004069683160544464,-0.03014564009886064,0.048436213142775256,1.8202490807875564,1.8200085386617781
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T1,A5,0.005692198786130358,0.04042761463882546,0.00550133556440649,0.004025012486647357,-0.6454614149435585,-4.564541754918916,1.912250176921501,1.8000313058617599
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T1,A6,0.006678143193597525,0.050068450673357634,0.006102768460366281,0.00472218394890637,-0.2521297004792405,-1.7691933782697369,2.1268014575146723,2.1118143032518972
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T1,A7,0.005715418930404782,0.041331342031567714,0.005805668775297275,0.004041431690220155,0.09163374275222538,0.6614848401715225,1.8096865562301574,1.8073741602122497
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T2,A1,0.005762706168141099,0.04307060176870005,0.005718045058807652,0.0040748689838739725,0.0917809907739541,0.6774827193933257,1.8246283949117468,1.8223276977627125
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T2,A2,0.005628756411379428,0.04131893436328639,0.005401698725467767,0.003980151728942047,-0.3070079041414012,-2.2053993226651336,1.8062425208623176,1.7799690654234703
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T2,A3,0.005721692685702265,0.04238506869618973,0.00589502859459034,0.004045867927315752,0.3091091186277472,2.5231050274970563,1.835563245549854,1.8093580958345092
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,T2,A4,0.0057204418086170775,0.04238020438651167,0.005892996640326882,0.004044983419223833,0.3083078707032965,2.518856354392431,1.8350385468050903,1.8089625337682986
