cell,p_beat_cv,p_view_over,p_ai_shared_lambda,ai,sigma_ai_mm,ref,m,true,mcse_true,apparent,mcse_apparent,diff,mcse_diff,rel_diff_pct
0,0.05,False,0.0,shared,2.0,single,ba_bias,-0.000596370829146518,0.0031719172713051136,0.11983656765970574,0.009144696612376131,0.12043293848885224,0.008677540832030855,
0,0.05,False,0.0,shared,2.0,single,icc,0.9089533882052301,0.0003520120505073868,0.8559791434239112,0.00055107361616693,-0.05297424478131901,0.0003475120566924135,
0,0.05,False,0.0,shared,2.0,single,loa_width,7.829511508205163,0.010719498456982706,9.803564905255474,0.02235531593288227,1.9740533970503096,0.02048827591590814,25.212982891481076
0,0.05,False,0.0,shared,2.0,single,mae,1.596439522437101,0.001881621811693014,2.0127148342675314,0.0028193085716101537,0.41627531183043054,0.00249633629531845,26.07523216381857
0,0.05,False,0.0,shared,3.0,adj_tol1,ba_bias,-0.000894556243719776,0.00475787590695767,0.12322372761628944,0.010006282505583294,0.1241182838600092,0.008997345949930288,
0,0.05,False,0.0,shared,3.0,adj_tol1,icc,0.8164335441930739,0.0006484707118715972,0.773961813163536,0.0007753573927310858,-0.04247173102953808,0.0003596028313766035,
0,0.05,False,0.0,shared,3.0,adj_tol1,loa_width,11.744267262307744,0.016079247685474057,12.99095509479768,0.02500933751074002,1.2466878324899366,0.020355955227108875,10.615288332981644
0,0.05,False,0.0,shared,3.0,adj_tol1,mae,2.394659283655652,0.002822432717539521,2.663521925998473,0.0033181154690608344,0.2688626423428212,0.0022928785329211364,11.22759484732957
0,0.05,False,0.0,shared,3.0,adj_tol2,ba_bias,-0.000894556243719776,0.00475787590695767,0.12116457588323669,0.009912849609790254,0.12205913212695647,0.008857643502043235,
0,0.05,False,0.0,shared,3.0,adj_tol2,icc,0.8164335441930739,0.0006484707118715972,0.7758036264075202,0.0007685156648248899,-0.04062991778555374,0.0003517120443393564,
0,0.05,False,0.0,shared,3.0,adj_tol2,loa_width,11.744267262307744,0.016079247685474057,12.920226310476574,0.024781433546660493,1.1759590481688282,0.019940409190060508,10.013047403501892
0,0.05,False,0.0,shared,3.0,adj_tol2,mae,2.394659283655652,0.002822432717539521,2.648546484058336,0.003287962856021302,0.2538872004026845,0.002200257230941161,10.60222646852307
0,0.05,False,0.0,shared,3.0,adj_tol3,ba_bias,-0.000894556243719776,0.00475787590695767,0.11941719873015173,0.009762735095039693,0.12031175497387153,0.008663944240388587,
0,0.05,False,0.0,shared,3.0,adj_tol3,icc,0.8164335441930739,0.0006484707118715972,0.7766072707827971,0.0007629326213648254,-0.0398262734102768,0.0003422350397828729,
0,0.05,False,0.0,shared,3.0,adj_tol3,loa_width,11.744267262307744,0.016079247685474057,12.893952492407234,0.02449142398844637,1.1496852300994866,0.01947177728774849,9.789331291781025
0,0.05,False,0.0,shared,3.0,adj_tol3,mae,2.394659283655652,0.002822432717539521,2.64244522236792,0.0032415500062093197,0.2477859387122685,0.002123717407261353,10.347440256051879
0,0.05,False,0.0,shared,3.0,mean2,ba_bias,-0.000894556243719776,0.00475787590695767,0.11902092634881012,0.009719706162521383,0.11991548259252989,0.008612266307218668,
0,0.05,False,0.0,shared,3.0,mean2,icc,0.8164335441930739,0.0006484707118715972,0.7767129542184523,0.0007618128156721989,-0.039720589974621655,0.0003398554762116032,
0,0.05,False,0.0,shared,3.0,mean2,loa_width,11.744267262307744,0.016079247685474057,12.889412984703018,0.02438749531244074,1.1451457223952735,0.019346309978358824,9.750678325164857
0,0.05,False,0.0,shared,3.0,mean2,mae,2.394659283655652,0.002822432717539521,2.6412174968792317,0.0032290327324210628,0.2465582132235799,0.0021089447225253323,10.296170937820754
0,0.05,False,0.0,shared,3.0,single,ba_bias,-0.000894556243719776,0.00475787590695767,0.11953838224513248,0.00976392088941869,0.12043293848885224,0.008677540832030855,
0,0.05,False,0.0,shared,3.0,single,icc,0.8164335441930739,0.0006484707118715972,0.7700530658752455,0.0007923798429643385,-0.04638047831782853,0.00038633406238203666,
0,0.05,False,0.0,shared,3.0,single,loa_width,11.744267262307744,0.016079247685474057,13.141784757517513,0.024970577397003528,1.3975174952097689,0.020208586406482903,11.89957162925767
0,0.05,False,0.0,shared,3.0,single,mae,2.394659283655652,0.002822432717539521,2.692394421767864,0.0033894006033432836,0.2977351381122127,0.0024248080920994597,12.43329855501174
