cell,p_beat_cv,p_view_over,p_ai_shared_lambda,ai,sigma_ai_mm,ref,m,mcse_apparent,mcse_diff,mcse_true,apparent,diff,true,rel_diff_pct,diff_mci_lo,diff_mci_hi
0,0.05,False,0.0,independent,3.0,adj_tol1,ba_bias,0.010006282505583294,0.008997345949930288,0.00475787590695767,0.12322372761628944,0.1241182838600092,-0.000894556243719776,,0.10648380970260003,0.14175275801741838
0,0.05,False,0.0,independent,3.0,adj_tol1,icc,0.0007753573927310858,0.0003596028313766035,0.0006484707118715972,0.773961813163536,-0.04247173102953808,0.8164335441930739,,-0.043176539633334295,-0.04176692242574186
0,0.05,False,0.0,independent,3.0,adj_tol1,loa_hi,0.012367614777916458,0.010125310159735734,0.008052198156230261,6.6187012750151295,0.7474622001049774,5.871239074910152,,0.7276169567030611,0.7673074435068937
0,0.05,False,0.0,independent,3.0,adj_tol1,loa_lo,0.012641722732823562,0.01023064506737314,0.008027049529243798,-6.372253819782552,-0.4992256323849591,-5.873028187397592,,-0.519277328413788,-0.47917393635613015
0,0.05,False,0.0,independent,3.0,adj_tol1,loa_width,0.02500933751074002,0.020355955227108875,0.016079247685474057,12.99095509479768,1.2466878324899366,11.744267262307744,10.615288332981644,1.2067908930591915,1.2865847719206818
0,0.05,False,0.0,independent,3.0,adj_tol1,mae,0.0033181154690608344,0.0022928785329211364,0.002822432717539521,2.663521925998473,0.2688626423428212,2.394659283655652,11.22759484732957,0.26436868296192295,0.27335660172371945
0,0.05,False,0.0,independent,3.0,adj_tol2,ba_bias,0.009912849609790254,0.008857643502043235,0.00475787590695767,0.12116457588323669,0.12205913212695647,-0.000894556243719776,,0.1046984697381178,0.13941979451579514
0,0.05,False,0.0,independent,3.0,adj_tol2,icc,0.0007685156648248899,0.0003517120443393564,0.0006484707118715972,0.7758036264075202,-0.04062991778555374,0.8164335441930739,,-0.041319260730825286,-0.0399405748402822
0,0.05,False,0.0,independent,3.0,adj_tol2,loa_hi,0.01225504739571851,0.009932980537019095,0.008052198156230261,6.581277731121523,0.7100386562113706,5.871239074910152,,0.6905703719461125,0.7295069404766288
0,0.05,False,0.0,independent,3.0,adj_tol2,loa_lo,0.012526386150941982,0.010007428653041413,0.008027049529243798,-6.33894857935505,-0.46592039195745766,-5.873028187397592,,-0.4855345918499873,-0.446306192064928
0,0.05,False,0.0,independent,3.0,adj_tol2,loa_width,0.024781433546660493,0.019940409190060508,0.016079247685474057,12.920226310476574,1.1759590481688282,11.744267262307744,10.013047403501892,1.1368765640110405,1.215041532326616
0,0.05,False,0.0,independent,3.0,adj_tol2,mae,0.003287962856021302,0.002200257230941161,0.002822432717539521,2.648546484058336,0.2538872004026845,2.394659283655652,10.60222646852307,0.24957477543930012,0.25819962536606883
0,0.05,False,0.0,independent,3.0,adj_tol3,ba_bias,0.009762735095039693,0.008663944240388587,0.00475787590695767,0.11941719873015173,0.12031175497387153,-0.000894556243719776,,0.10333073616470255,0.1372927737830405
0,0.05,False,0.0,independent,3.0,adj_tol3,icc,0.0007629326213648254,0.0003422350397828729,0.0006484707118715972,0.7766072707827971,-0.0398262734102768,0.8164335441930739,,-0.0404970417677898,-0.0391555050527638
0,0.05,False,0.0,independent,3.0,adj_tol3,loa_hi,0.01208785013455465,0.009689477515968247,0.008052198156230261,6.566393444933769,0.6951543700236148,5.871239074910152,,0.6761633429135077,0.7141453971337219
0,0.05,False,0.0,independent,3.0,adj_tol3,loa_lo,0.012403573853891724,0.009782299771780243,0.008027049529243798,-6.327559047473464,-0.4545308600758718,-5.873028187397592,,-0.4737038154657693,-0.4353579046859743
0,0.05,False,0.0,independent,3.0,adj_tol3,loa_width,0.02449142398844637,0.01947177728774849,0.016079247685474057,12.893952492407234,1.1496852300994866,11.744267262307744,9.789331291781025,1.111521247599482,1.1878492125994913
0,0.05,False,0.0,independent,3.0,adj_tol3,mae,0.0032415500062093197,0.002123717407261353,0.002822432717539521,2.64244522236792,0.2477859387122685,2.394659283655652,10.347440256051879,0.2436235290478629,0.25194834837667407
0,0.05,False,0.0,independent,3.0,mean2,ba_bias,0.009719706162521383,0.008612266307218668,0.00475787590695767,0.11902092634881012,0.11991548259252989,-0.000894556243719776,,0.10303575067196837,0.13679521451309143
0,0.05,False,0.0,independent,3.0,mean2,icc,0.0007618128156721989,0.0003398554762116032,0.0006484707118715972,0.7767129542184523,-0.039720589974621655,0.8164335441930739,,-0.04038669447319925,-0.03905448547604406
0,0.05,False,0.0,independent,3.0,mean2,loa_hi,0.012035983093893646,0.009629483598522757,0.008052198156230261,6.563727418700319,0.6924883437901665,5.871239074910152,,0.6736149025984715,0.7113617849818616
0,0.05,False,0.0,independent,3.0,mean2,loa_lo,0.012351512218547092,0.009716826379836065,0.008027049529243798,-6.3256855660027,-0.45265737860510685,-5.873028187397592,,-0.47170200850383587,-0.43361274870637784
0,0.05,False,0.0,independent,3.0,mean2,loa_width,0.02438749531244074,0.019346309978358824,0.016079247685474057,12.889412984703018,1.1451457223952735,11.744267262307744,9.750678325164857,1.1072276513048493,1.1830637934856976
0,0.05,False,0.0,independent,3.0,mean2,mae,0.0032290327324210628,0.0021089447225253323,0.002822432717539521,2.6412174968792317,0.2465582132235799,2.394659283655652,10.296170937820754,0.24242475748944026,0.25069166895771955
0,0.05,False,0.0,independent,3.0,single,ba_bias,0.00976392088941869,0.008677540832030855,0.00475787590695767,0.11953838224513248,0.12043293848885224,-0.000894556243719776,,0.10342527084954171,0.13744060612816275
0,0.05,False,0.0,independent,3.0,single,icc,0.0007923798429643385,0.00038633406238203666,0.0006484707118715972,0.7700530658752455,-0.04638047831782853,0.8164335441930739,,-0.047137679172071074,-0.045623277463585986
0,0.05,False,0.0,independent,3.0,single,loa_hi,0.012326163639642035,0.010103433660077116,0.008052198156230261,6.6904307610038884,0.8191916860937366,5.871239074910152,,0.7993893198435972,0.838994052343876
0,0.05,False,0.0,independent,3.0,single,loa_lo,0.012644413757361491,0.010105152746405787,0.008027049529243798,-6.451353996513625,-0.5783258091160322,-5.873028187397592,,-0.5981315447134886,-0.5585200735185757
0,0.05,False,0.0,independent,3.0,single,loa_width,0.024970577397003528,0.020208586406482903,0.016079247685474057,13.141784757517513,1.3975174952097689,11.744267262307744,11.89957162925767,1.357909393362173,1.4371255970573646
0,0.05,False,0.0,independent,3.0,single,mae,0.0033894006033432836,0.0024248080920994597,0.002822432717539521,2.692394421767864,0.2977351381122127,2.394659283655652,12.43329855501174,0.29298260154478906,0.30248767467963633
0,0.05,False,0.0,inherited,1.0,adj_tol1,ba_bias,0.009068993661359425,0.008997345949930288,0.0016287520166819141,0.011279275754809052,0.1241182838600092,-0.11283900810520014,,0.10648380970260003,0.14175275801741838
0,0.05,False,0.0,inherited,1.0,adj_tol1,icc,0.00034599098246763975,0.00029065441349340624,0.00010971163418166909,0.9203397043923839,-0.05211018013235671,0.9724498845247406,,-0.0526798523192449,-0.051540507945468515
0,0.05,False,0.0,inherited,1.0,adj_tol1,loa_hi,0.010431425533205791,0.010413329679768301,0.0027724358160446075,3.3886301896005135,1.4885453898287728,1.9000847997717405,,1.4681356385362954,1.5089551411212503
0,0.05,False,0.0,inherited,1.0,adj_tol1,loa_lo,0.01070408039778512,0.010538961692967393,0.002764282911743987,-3.366071638090895,-1.2403088221087541,-2.1257628159821405,,-1.2609648076243494,-1.219652836593159
0,0.05,False,0.0,inherited,1.0,adj_tol1,loa_width,0.02113550593099091,0.020952291372735694,0.0055367187277885945,6.754701827691409,2.728854211937527,4.0258476157538805,67.78334582906268,2.6877884751294547,2.7699199487455997
0,0.05,False,0.0,inherited,1.0,adj_tol1,mae,0.0025091897541952386,0.002507180178990291,0.0009782990739835343,1.3831280311145047,0.5580016231305018,0.8251264079840029,67.62619857166419,0.5530876402381673,0.5629156060228364
0,0.05,False,0.0,inherited,1.0,adj_tol2,ba_bias,0.008943599464323949,0.008857643502043237,0.0016287520166819141,0.009220124021756308,0.12205913212695646,-0.11283900810520014,,0.10469846973811779,0.13941979451579514
0,0.05,False,0.0,inherited,1.0,adj_tol2,icc,0.00032384591677368953,0.0002679658586456098,0.00010971163418166909,0.9234079215307165,-0.049041962994024135,0.9724498845247406,,-0.04956716643019862,-0.04851675955784965
0,0.05,False,0.0,inherited,1.0,adj_tol2,loa_hi,0.010048720257436885,0.010019740396342,0.0027724358160446075,3.3145492550779756,1.4144644553062349,1.9000847997717405,,1.3948261248400589,1.434102785772411
0,0.05,False,0.0,inherited,1.0,adj_tol2,loa_lo,0.010450846872872673,0.010251298769943767,0.002764282911743987,-3.2961090070344627,-1.1703461910523216,-2.1257628159821405,,-1.1904383675946557,-1.1502540145099875
0,0.05,False,0.0,inherited,1.0,adj_tol2,loa_width,0.020499567130309558,0.020271039166285768,0.0055367187277885945,6.610658262112438,2.5848106463585565,4.0258476157538805,64.20537717929805,2.545080139350046,2.624541153367067
0,0.05,False,0.0,inherited,1.0,adj_tol2,mae,0.002318390307950708,0.002297094006901262,0.0009782990739835343,1.3518431085440523,0.5267167005600493,0.8251264079840029,63.83466769012451,0.5222144790019071,0.5312189221181914
0,0.05,False,0.0,inherited,1.0,adj_tol3,ba_bias,0.008758875893693669,0.008663944240388587,0.0016287520166819141,0.0074727468686713655,0.12031175497387153,-0.11283900810520014,,0.10333073616470255,0.1372927737830405
0,0.05,False,0.0,inherited,1.0,adj_tol3,icc,0.0003103578342958891,0.0002523028238752623,0.00010971163418166909,0.924546782803706,-0.04790310172103466,0.9724498845247406,,-0.048397606172928515,-0.047408597269140804
0,0.05,False,0.0,inherited,1.0,adj_tol3,loa_hi,0.009728853630828573,0.009688164283091065,0.0027724358160446075,3.2887362590536315,1.3886514592818908,1.9000847997717405,,1.3696630060609465,1.4076399125028352
0,0.05,False,0.0,inherited,1.0,adj_tol3,loa_lo,0.010212753139342206,0.009984181706132444,0.002764282911743987,-3.2737907653162885,-1.1480279493341476,-2.1257628159821405,,-1.1675965860476258,-1.1284593126206695
