cell,p_beat_cv,p_view_over,p_ai_shared_lambda,ai,sigma_ai_mm,ref,metric,value,mcse,n,mci_lo,mci_hi,note
0,0.05,False,0.0,inherited,3.0,T1,p_lower_mae_than_independent,0.3075,0.01031852096959637,2000,0.287276070366346,0.327723929633654,
0,0.05,False,0.0,inherited,3.0,T1,paired_mae_diff_mean,0.008937562189034933,0.00041570477019292406,2000,0.008122795804828529,0.009752328573241337,
0,0.05,False,0.0,inherited,3.0,T1,paired_mae_diff_sd,0.018590882494446133,0.0002940211764595864,2000,0.018014611573347696,0.01916715341554457,
0,0.05,False,0.0,inherited,3.0,adj_tol1,p_lower_mae_than_independent,0.647,0.010686229456641851,2000,0.6260553749692425,0.6679446250307576,
0,0.05,False,0.0,inherited,3.0,adj_tol1,paired_mae_diff_mean,-0.007383105093013183,0.0004678859367604051,2000,-0.008300144685169854,-0.0064660655008565125,
0,0.05,False,0.0,inherited,3.0,adj_tol1,paired_mae_diff_sd,0.020924495206248672,0.00033092806106445685,2000,0.020275888119972534,0.02157310229252481,
0,0.05,False,0.0,inherited,3.0,adj_tol2,p_lower_mae_than_independent,0.644,0.010706633457814833,2000,0.6230153838614875,0.6649846161385126,
0,0.05,False,0.0,inherited,3.0,adj_tol2,paired_mae_diff_mean,-0.00711970458650269,0.0004666767442295854,2000,-0.008034374204829886,-0.006205034968175495,
0,0.05,False,0.0,inherited,3.0,adj_tol2,paired_mae_diff_sd,0.020870418472312715,0.0003300728189889022,2000,0.02022348762971595,0.02151734931490948,
0,0.05,False,0.0,inherited,3.0,adj_tol3,p_lower_mae_than_independent,0.63,0.010795832529267949,2000,0.6088405568926059,0.6511594431073942,
0,0.05,False,0.0,inherited,3.0,adj_tol3,paired_mae_diff_mean,-0.00703838140339494,0.0004653338072513642,2000,-0.007950418913590553,-0.006126343893199327,
0,0.05,False,0.0,inherited,3.0,adj_tol3,paired_mae_diff_sd,0.020810360504856698,0.0003291229816558727,2000,0.020165291309238526,0.02145542970047487,
0,0.05,False,0.0,inherited,3.0,mean2,p_lower_mae_than_independent,0.6325,0.010780624981883008,2000,0.6113703631380086,0.6536296368619913,
0,0.05,False,0.0,inherited,3.0,mean2,paired_mae_diff_mean,-0.007108844685264673,0.00046530700940456153,2000,-0.008020829672645275,-0.006196859697884071,
0,0.05,False,0.0,inherited,3.0,mean2,paired_mae_diff_sd,0.020809162068714672,0.00032910402797766536,2000,0.020164130021623455,0.02145419411580589,
0,0.05,False,0.0,inherited,3.0,single,p_lower_mae_than_independent,0.6365,0.010755643867291257,2000,0.6154193252232883,0.6575806747767116,
0,0.05,False,0.0,inherited,3.0,single,paired_mae_diff_mean,-0.007112414287324375,0.0004673165473846286,2000,-0.008028337896802542,-0.006196490677846209,
0,0.05,False,0.0,inherited,3.0,single,paired_mae_diff_sd,0.020899031339250623,0.0003305253412831762,2000,0.020251213569247882,0.021546849109253363,
0,0.05,False,0.0,shared,1.0,T1,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,T1,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,T1,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,adj_tol1,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,adj_tol1,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,adj_tol1,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,adj_tol2,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,adj_tol2,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,adj_tol2,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,adj_tol3,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,adj_tol3,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,adj_tol3,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,mean2,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,mean2,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,mean2,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,single,p_lower_mae_than_independent,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,single,paired_mae_diff_mean,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
0,0.05,False,0.0,shared,1.0,single,paired_mae_diff_sd,0.0,0.0,2000,0.0,0.0,lambda 0: shared AI identical to independent AI (difference exactly 0)
