cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,axis,estimand,cutoff_mm,estimator,nri_events_vs_A1_mcse,nri_nonevents_vs_A1_mcse,nri_vs_A1_mcse,ppv_mcse,prevalence_mcse,sensitivity_mcse,specificity_mcse,nri_events_vs_A1,nri_nonevents_vs_A1,nri_vs_A1,ppv,prevalence,sensitivity,specificity
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,7.0,A5,0.0014579191290799611,0.0027742345839149793,0.0031339919772595446,0.0006128992883340967,0.0012331354244364244,0.0015930040624951914,0.0018836666123402256,-0.2119687557660373,0.1640203154236835,-0.04794844034235379,0.9773309143932586,0.81295,0.7090472968817271,0.9285217856188185
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,7.0,A6,0.0008993824818648374,0.0027687234430020516,0.002911136951865111,0.0008505696405217855,0.0012331354244364244,0.0010615749626061532,0.0031573995815809513,-0.023039547327633924,-0.012456562416466185,-0.03549610974410011,0.9402619817359832,0.81295,0.8979765053201304,0.7520449077786688
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,7.0,A7,0.0008811668594267097,0.0032103029535169103,0.0033290389134870936,0.0009283750972865376,0.0012331354244364244,0.0008839697957984911,0.0034530951799500486,0.010812473091826064,-0.10029403902699814,-0.08948156593517208,0.9234341858253895,0.81295,0.9318285257395904,0.6642074311681369
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,10.0,A1,0.0,0.0,0.0,0.0015201428006078595,0.0015811384202529517,0.0015246382551047225,0.001520311319010391,0.0,0.0,0.0,0.8667800680408245,0.50036,0.8656367415460868,0.866764070130494
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,10.0,A2,0.0021630839955154766,0.0014530963537457027,0.002605843699250639,0.0011528108881981589,0.0015811384202529517,0.0022308520454177236,0.0006434815678915151,-0.33423934766967783,0.11210071251300936,-0.22213863515666848,0.9618014107433532,0.50036,0.5313973938764089,0.9788647826435033
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,10.0,A3,0.0007501721447609819,0.0007878916225830243,0.0010879023190120529,0.0015747721467076657,0.0015811384202529517,0.0013725502984333418,0.0016616934546026707,0.028999120633144138,-0.032043071011128015,-0.003043950377983877,0.8442533288069103,0.50036,0.894635862179231,0.8347209991193659
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,10.0,A4,0.0007130297780357403,0.0007274598466572682,0.00101863108771739,0.0015660463275073934,0.0015811384202529517,0.0013889296051766223,0.001641824643270834,0.026121192741226318,-0.02717956928988872,-0.0010583765486624035,0.8477248978816377,0.50036,0.8917579342873131,0.8395845008406052
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,10.0,A5,0.0020609200071124087,0.0013579725261673148,0.002468092513975408,0.001319908597059759,0.0015811384202529517,0.0022103611649559535,0.0008138113456404282,-0.2912103285634343,0.09897125930670082,-0.1922390692567335,0.9437840677743482,0.50036,0.5744264129826525,0.9657353294371948
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,10.0,A6,0.0014101136374951157,0.0013969243303406879,0.0019848974924029416,0.0016175646778382215,0.0015811384202529517,0.0016564688621409248,0.001598709940158224,-0.029918458709729,-0.017052277639900727,-0.04697073634962973,0.8477648251393817,0.50036,0.8357182828363579,0.8497117924905933
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,10.0,A7,0.001368174032689301,0.0016535466150698363,0.0021461865230995693,0.0016581778123736426,0.0015811384202529517,0.001377702657274003,0.0018009596055632395,0.028099768166919822,-0.07021055159714995,-0.04211078343023013,0.8147911959769696,0.50036,0.8937365097130067,0.796553518533344
