design,quantity,read,n_per_study,n_studies,icc_median,icc_median_lo,icc_median_hi,icc_p025,icc_p975,icc_mean,icc_mean_mcse,ba_bias_median,ba_bias_median_lo,ba_bias_median_hi,ba_bias_p025,ba_bias_p975,ba_bias_mean,ba_bias_mean_mcse,sd_diff_median,sd_diff_median_lo,sd_diff_median_hi,sd_diff_p025,sd_diff_p975,sd_diff_mean,sd_diff_mean_mcse,loa_lo_median,loa_lo_median_lo,loa_lo_median_hi,loa_lo_p025,loa_lo_p975,loa_lo_mean,loa_lo_mean_mcse,loa_hi_median,loa_hi_median_lo,loa_hi_median_hi,loa_hi_p025,loa_hi_p975,loa_hi_mean,loa_hi_mean_mcse,loa_width_median,loa_width_median_lo,loa_width_median_hi,loa_width_p025,loa_width_p975,loa_width_mean,loa_width_mean_mcse,between_sd_mean_of_readers_median,between_sd_mean_of_readers_median_lo,between_sd_mean_of_readers_median_hi,between_sd_mean_of_readers_p025,between_sd_mean_of_readers_p975,between_sd_mean_of_readers_mean,between_sd_mean_of_readers_mean_mcse,p_icc_le_published,p_icc_le_published_mcse,p_loawidth_ge_published,p_loawidth_ge_published_mcse,per_read_error_sd_mm,icc_at_between_sd_2p7_derived,p_icc_le_singh_min,p_icc_le_singh_min_mcse
Hauptmann-like n=50,"anchor view, AP width","3-beat mean, same beats",50,2000,0.9708454167722561,0.9696790566695254,0.9721945434942221,0.8529594486861853,0.9902999560695535,0.9583396870370053,0.0008312793417248138,0.03815323086797789,-0.0069093968249370795,0.08628445934015903,-2.134956050008314,2.043618187356076,0.014827563199147674,0.023923188937244984,0.8134236647674047,0.8081077570310359,0.8169392608695446,0.6566760923080045,0.9825749780269686,0.8129690861623494,0.0018542782643001458,-1.5682673226233033,-1.619114598600686,-1.4934646740561432,-3.717265107908469,0.4159855343562682,-1.5785918456790573,0.024110835475005664,1.638643392788972,1.5661059578105272,1.6934809048286377,-0.5359747471019224,3.7046382869949377,1.6082469720773527,0.024284214317005448,3.188620765888227,3.1677824075616607,3.2024019026086146,2.574170281847378,3.8516939138657165,3.1868388177564095,0.00726877079605657,4.575812919570097,4.535608904997534,4.612057261861231,3.3895954077865866,6.318159822833527,4.6524174930724955,0.016979364754138446,0.1675,0.008349962574766428,0.0325,0.003965081966365891,0.5778373440989585,0.9562040200443166,,
Hauptmann-like n=50,"anchor view, AP width","3-beat mean, different beats",50,2000,0.9221022433146466,0.9203182010627177,0.9240003685048817,0.7964043586506333,0.9649055927635787,0.9130667019748714,0.0009500498275308309,0.018235922136826767,-0.021462331894635048,0.08147525980309027,-2.142435502663561,2.05499831212894,0.00986887072544585,0.02434635742824083,1.5956885601361819,1.5812137867324592,1.606078620655742,1.2268118947289242,2.0700423387929296,1.6114640052265012,0.004783297524513381,-3.1324676602095756,-3.2111369912385346,-3.0656691730335233,-5.505391851175149,-0.913161510647653,-3.148600579518497,0.02626659678886282,3.2026734766208755,3.1246756858157276,3.2655853960088024,0.8799662201736315,5.4014974356656245,3.1683383209693883,0.02591036957221652,6.2550991557338325,6.19835804399124,6.295828192970508,4.809102627337383,8.114565968068284,6.3169389004878855,0.018750526296092456,4.509269857963346,4.471292706669248,4.545216631785076,3.3966819182461103,6.225855020724072,4.600966595648701,0.016554042146363343,0.6655,0.010550112558641259,1.0,0.0,1.1494679705458222,0.8465643743273187,,
Hauptmann-like n=50,"anchor view, biplane width","single beat, same beat",50,2000,0.9469118180570255,0.9451919895474853,0.9488857654939716,0.788885139523922,0.9801315165675454,0.9312991288090654,0.0011376892139017547,0.020502325376986437,-0.03533368810933407,0.08683832872765443,-2.1139789708859884,2.035981605952139,0.009385798335283545,0.02393301587874428,0.9970573519372086,0.9902896769629134,1.0022212542350357,0.8037937127785151,1.189090831324855,0.9974733146196206,0.0022717987966306566,-1.9487591225014644,-2.000666326041975,-1.8909369675083734,-4.1369981127553785,0.13897953445099487,-1.9456618983191725,0.02442961319253037,1.9687096593039008,1.9175377721734708,2.029084537464715,-0.17327784758808587,4.033232184468476,1.9644334949897397,0.024257494277911115,3.9084648195938576,3.8819355336946204,3.92870731660134,3.15087135409178,4.661236058793431,3.910095393308912,0.008905451282792175,3.8426626793805085,3.8094517721186416,3.8743999143918453,2.854282170352158,5.356163898641008,3.9003860894855498,0.014455965617307918,0.3715,0.010804807957571482,0.582,0.011028961873177366,0.7089675563286465,0.9354987117721604,,
Hauptmann-like n=50,"anchor view, biplane width","single beat, different beats",50,2000,0.8769805898480577,0.8738773599595322,0.8792858952614323,0.7136165917135608,0.9401258533605316,0.8645154740874899,0.0013069692859078224,0.005965654887086381,-0.04303309807587111,0.05991701701939593,-2.1415203199846657,2.0965487679223282,0.006172265491339212,0.024434868469357166,1.7271761045114429,1.714653841897082,1.7377591439383577,1.3673088741263792,2.24575458806346,1.747799031292589,0.0050141606849923364,-3.4002147443183297,-3.4733693402136163,-3.335085871173856,-5.709513865932303,-1.1760925028954923,-3.4195138358421358,0.026498030539598923,3.4088349214888463,3.3670215089543807,3.4792953981932233,1.1460124676474552,5.687391356034562,3.4318583668248137,0.026175360669436043,6.770530329684856,6.721443060236561,6.8120158442383625,5.359850786575406,8.803357985208763,6.8513722026669495,0.01965550988516996,3.7683071917580593,3.7320863612160524,3.811293767621996,2.8189983738525433,5.197974596976514,3.8364797569736373,0.014017942451108264,0.952,0.004779958158812692,1.0,0.0,1.2460056032638425,0.8244246873013592,,
Hauptmann-like n=50,"anchor view, biplane width","3-beat mean, same beats",50,2000,0.9701191647808505,0.9681487637775027,0.9713835909986389,0.8068987983426862,0.9923632138955188,0.9507963306468159,0.0011445584114199746,0.04816112762487141,-0.026174393555242554,0.10609759425211943,-2.1212464256939163,2.0569727160368068,0.01030831893226903,0.023815795875665246,0.573948184332624,0.5705347313228536,0.5772310976490168,0.4606557937282634,0.6922455126295312,0.5745097066679623,0.0013235634709713913,-1.0774551909404824,-1.1366727757311788,-1.018022372131807,-3.223854120941126,0.9150769311937217,-1.1157307061369373,0.02395602381598902,1.1646377588614234,1.1078337132662408,1.2228426048907415,-1.0398068867300414,3.215458209473896,1.1363473440014755,0.023957311509121577,2.2498768825838855,2.236496146785586,2.262745902784146,1.805770711414792,2.7136024095077618,2.2520780501384126,0.005188368806207854,3.727014883562268,3.6916691575075866,3.753955479340188,2.7712633973623126,5.1570039950313316,3.79024721821111,0.013870700245556429,0.234,0.009466889668734923,0.0,0.0,0.40838908638627097,0.977633561796519,,
Hauptmann-like n=50,"anchor view, biplane width","3-beat mean, different beats",50,2000,0.9441417505447578,0.9423989861105713,0.9456961332527217,0.7793282274123594,0.9775530596373831,0.9269022778122313,0.0011774523019403406,0.027249480166424984,-0.03282072232805231,0.08661161295357157,-2.1688672999028493,1.993224262462568,0.010791777150065067,0.023960493114087798,1.001172930838478,0.9940612952899757,1.0076670983683926,0.7736593610455488,1.2845177164758417,1.0086612753540996,0.002924449152365973,-1.9486988882702683,-2.004418522175246,-1.8965543858829848,-4.165915511261701,0.10972341916528766,-1.9661843225439701,0.024824580167720087,1.9987540371723493,1.9388166756501257,2.060828392217069,-0.1582300416255312,4.086231577546645,1.9877678768441005,0.024447095974244142,3.924597888886834,3.8967202775367045,3.950055025604099,3.032744695298551,5.035309448585299,3.9539521993880706,0.011463840677274614,3.70127198144729,3.6742750669005972,3.730533730780933,2.7767189938554453,5.093344806876803,3.769347785836728,0.013680826142606977,0.403,0.010967930524944073,0.583,0.011025221086218635,0.7191987978596954,0.9337478477689146,,
Singh-like n=10,"long-axis view, biplane width","single beat, same beat",10,10000,0.9252660370997934,0.9233401179939734,0.9268218361170005,0.6260485148286907,0.9886415714171379,0.8942615121887318,0.0009757705366570343,-0.014333342780227642,-0.04083204213489759,0.01470170222611844,-2.179481691729889,2.1572480229428104,-0.0030359598791129916,0.011038607043738914,0.96038205082674,0.9550169568864347,0.9671844766939254,0.5476137383437388,1.4516645191816322,0.9718274260982069,0.0023444622177848326,-1.9164916562949426,-1.9445903128718136,-1.8866967685915605,-4.252251114884963,0.4211393040067795,-1.9078177150315982,0.011989125763250716,1.885870180129549,1.8549080214826252,1.9195345143975973,-0.42751716049838506,4.231997711205074,1.9017457952733727,0.011924482668484145,3.764697639240821,3.7436664709948237,3.7913631486401878,2.146645854307456,5.690524915191998,3.809563510304971,0.009190291893716543,3.2015401319081245,3.1812115786062547,3.2249256229362118,1.644108168512632,6.325783024530878,3.4071216751810485,0.012281909418644625,0.6226,0.004847362581858304,,,0.7068974750696811,0.9358507027125489,0.2575,0.004372570754144523
Singh-like n=10,"long-axis view, biplane width","single beat, different beats",10,10000,0.8594873918453574,0.8563296475074946,0.861580210690514,0.5071367814950011,0.9695696839202804,0.827201196947362,0.0012233566794703627,0.003409321142408839,-0.028439333223060626,0.03216955794967251,-2.2796328815896683,2.281841686430486,0.0015485521195981121,0.011694319494904215,1.506558189594086,1.4960783283812653,1.5169116396955709,0.8251461644153661,2.5694574633488934,1.5545497998729574,0.0044790105202925385,-3.012570044842948,-3.047523753556584,-2.981344889898685,-6.016469052476895,-0.3483369945858726,-3.045369055631398,0.014623194002890465,3.018099843611882,2.979715455476409,3.046203909434583,0.32645816136529837,6.095208963499104,3.048466159870594,0.014622352807070325,5.905708103208818,5.86462704725456,5.946293627606638,3.2345729645082346,10.072273256327662,6.093835215501993,0.01755772123954675,3.1585289448327654,3.1331316166561276,3.1831848482282425,1.6193788574081742,6.184022047178838,3.3538704535109254,0.011887110888458181,0.8927,0.0030949428104570845,,,1.1439450098581492,0.8478114302967219,0.5217,0.004995288880535339
Singh-like n=10,"long-axis view, biplane width","3-beat mean, same beats",10,10000,0.9564260647952711,0.9552277171842232,0.9576892729585548,0.6628037480011286,0.9946610044697214,0.9247015581540536,0.000880740771545282,-0.007082467951931371,-0.03774171817995402,0.01955021615275756,-2.085831043186055,2.10485608283144,-0.003758101560187379,0.01068155586758561,0.5547579616923901,0.5519996457977008,0.5584300530115995,0.3195653395890274,0.8466142410815137,0.5627759357217509,0.0013340696362521345,-1.112870381078974,-1.1391187268275433,-1.089175286597034,-3.2621522936806957,1.0700935950670896,-1.1067989355748191,0.011024976081020953,1.0978849950460754,1.0678794990217937,1.1226186114479257,-1.0543382812725823,3.2689229819467047,1.0992827324544445,0.010968832484459038,2.174651209834169,2.163838611526987,2.18904580780547,1.2526961311889875,3.318727825039534,2.2060816680292636,0.005229552974108367,3.1166227229875147,3.0890248743881767,3.142330397656651,1.61188282535549,6.062190830989964,3.3117859824042295,0.011730974406672694,0.4113,0.004920694158347986,,,0.40896967615545593,0.9775713490835833,0.1586,0.0036530266902939537
Singh-like n=10,"long-axis view, biplane width","3-beat mean, different beats",10,10000,0.9301756885984369,0.9281770414427172,0.9315094030921054,0.63931625307274,0.9876763869270043,0.9001034072486936,0.0009326475101722985,-0.0052981821940554456,-0.03433820850262457,0.023003211498932342,-2.1438915254135025,2.110941018973496,-0.005725261008700559,0.01092440319966634,0.8712528102500767,0.8644186367123503,0.8775070586233837,0.47554906522838447,1.4707983613120792,0.8979878783152421,0.0025711252874742766,-1.763165432578408,-1.7924915444718743,-1.7315333859164475,-4.162727880172355,0.5835210649610342,-1.7657815025065746,0.012023612683167685,1.7369405168449699,1.7111828025979465,1.7651739002969076,-0.5612923326379335,4.139684960701381,1.7543309804891734,0.01203782062703971,3.4153110161803006,3.3885210559124133,3.4398276698036643,1.864152335695267,5.765529576343351,3.520112482995748,0.010078811126899165,3.1085787937890696,3.0801646386772603,3.130447939667067,1.6029609985430648,6.053474931778574,3.2968783286984924,0.011606060480973577,0.5993,0.004900403146680893,,,0.6604856059577539,0.9435377148641237,0.2274,0.004191530030907568
