cell,p_beat_cv,p_view_over,p_ai_shared_lambda,ref,metric,value,mcse,n,mci_lo,mci_hi
8,0.15,False,1.0,adj_tol2,p_adjudicated,0.19565000000000002,0.0018814744811215367,2000,0.19196237775008312,0.1993376222499169
8,0.15,False,1.0,adj_tol2,ref_ba_bias_vs_T1,0.26302751729051044,0.008550261760579258,2000,0.24626931204919847,0.2797857225318224
8,0.15,False,1.0,adj_tol2,ref_mae_vs_T1,1.303271825622419,0.002660609985513803,2000,1.2980571258327713,1.3084865254120666
8,0.15,False,1.0,adj_tol3,p_adjudicated,0.0599525,0.0009364326323406591,2000,0.05811712575218707,0.06178787424781293
8,0.15,False,1.0,adj_tol3,ref_ba_bias_vs_T1,0.2639496146754524,0.008449653341749366,2000,0.24738859831314397,0.28051063103776086
8,0.15,False,1.0,adj_tol3,ref_mae_vs_T1,1.280497880823908,0.0025716493407973227,2000,1.2754575406953215,1.2855382209524946
8,0.15,False,1.0,mean2,ref_ba_bias_vs_T1,0.26281235115181667,0.008422665653239451,2000,0.24630422968743088,0.27932047261620246
8,0.15,False,1.0,mean2,ref_mae_vs_T1,1.2647056426718077,0.0025150894043308586,2000,1.2597761579825377,1.2696351273610778
8,0.15,False,1.0,single,ref_ba_bias_vs_T1,0.26137222692815737,0.00853172016376779,2000,0.2446503625490984,0.27809409130721635
8,0.15,False,1.0,single,ref_mae_vs_T1,1.4206194538138976,0.0029062920276229755,2000,1.4149232260662696,1.4263156815615257
9,0.15,True,0.0,R_img,ref_ba_bias_vs_T1,0.2136322772103391,0.002736428139984449,2000,0.2082689765673826,0.21899557785329557
9,0.15,True,0.0,R_img,ref_mae_vs_T1,1.2713048523631085,0.0019776301537619396,2000,1.2674287684564207,1.2751809362697963
9,0.15,True,0.0,adj_tol1,p_adjudicated,0.52358,0.002041344616649026,2000,0.5195790380397741,0.527580961960226
9,0.15,True,0.0,adj_tol1,ref_ba_bias_vs_T1,0.4160050628058285,0.009180368832398946,2000,0.39801187038760455,0.43399825522405244
9,0.15,True,0.0,adj_tol1,ref_mae_vs_T1,1.441047756180684,0.0032074631386996753,2000,1.4347612438975057,1.4473342684638624
9,0.15,True,0.0,adj_tol2,p_adjudicated,0.211635,0.0018662006161905356,2000,0.20797731397548871,0.21529268602451127
9,0.15,True,0.0,adj_tol2,ref_ba_bias_vs_T1,0.41422919156967064,0.009123245311306056,2000,0.39634795919634197,0.4321104239429993
9,0.15,True,0.0,adj_tol2,ref_mae_vs_T1,1.3917955024672715,0.0030654419974057876,2000,1.385787346508268,1.397803658426275
9,0.15,True,0.0,adj_tol3,p_adjudicated,0.0719825,0.0009422964279641927,2000,0.07013563292386159,0.07382936707613842
9,0.15,True,0.0,adj_tol3,ref_ba_bias_vs_T1,0.4131870748902064,0.008943040392689387,2000,0.39565903766998933,0.43071511211042346
9,0.15,True,0.0,adj_tol3,ref_mae_vs_T1,1.3661300736876136,0.0029314390140243616,2000,1.3603845587519303,1.371875588623297
9,0.15,True,0.0,mean2,ref_ba_bias_vs_T1,0.41519509015618755,0.008846337742810479,2000,0.39785658664843776,0.43253359366393734
9,0.15,True,0.0,mean2,ref_mae_vs_T1,1.3471951613806805,0.0028547679773902055,2000,1.341599918916643,1.352790403844718
9,0.15,True,0.0,single,ref_ba_bias_vs_T1,0.41566302448729264,0.00897382571096922,2000,0.3980746491515186,0.4332513998230667
9,0.15,True,0.0,single,ref_mae_vs_T1,1.5089654422938348,0.003250969253446518,2000,1.5025936595919727,1.515337224995697
10,0.15,True,0.5,R_img,ref_ba_bias_vs_T1,0.21166605434320832,0.002770761443418938,2000,0.20623546166151915,0.21709664702489748
10,0.15,True,0.5,R_img,ref_mae_vs_T1,1.2728861308697221,0.0019327850437191184,2000,1.2690979417642942,1.27667431997515
10,0.15,True,0.5,adj_tol1,p_adjudicated,0.51675,0.0020610750265656424,2000,0.5127103671466323,0.5207896328533678
10,0.15,True,0.5,adj_tol1,ref_ba_bias_vs_T1,0.4144272521903137,0.008732601067541751,2000,0.3973116684715703,0.43154283590905707
10,0.15,True,0.5,adj_tol1,ref_mae_vs_T1,1.4332839285345744,0.002993058678274362,2000,1.427417641275269,1.4391502157938798
10,0.15,True,0.5,adj_tol2,p_adjudicated,0.2076175,0.0018814922544158168,2000,0.20392984291506616,0.21130515708493386
10,0.15,True,0.5,adj_tol2,ref_ba_bias_vs_T1,0.41309677256906824,0.008673621489000485,2000,0.3960967867010009,0.4300967584371356
10,0.15,True,0.5,adj_tol2,ref_mae_vs_T1,1.3869050943491879,0.0028532863581023065,2000,1.3813127558056162,1.3924974328927595
10,0.15,True,0.5,adj_tol3,p_adjudicated,0.070325,0.0009549754848101043,2000,0.06845328242888965,0.07219671757111035
10,0.15,True,0.5,adj_tol3,ref_ba_bias_vs_T1,0.4093684721941808,0.00854250779525836,2000,0.3926254644457551,0.42611147994260656
10,0.15,True,0.5,adj_tol3,ref_mae_vs_T1,1.3605849133923877,0.0027463884112848592,2000,1.3552020909762523,1.3659677358085232
10,0.15,True,0.5,mean2,ref_ba_bias_vs_T1,0.4121034341225897,0.008510155102592797,2000,0.3954238364870915,0.4287830317580879
10,0.15,True,0.5,mean2,ref_mae_vs_T1,1.3417664132672011,0.002686373791432197,2000,1.3365012173454505,1.3470316091889518
