axis,cutoff_mm,estimator,prevalence_min,prevalence_max,sensitivity_min,sensitivity_min_mcse,sensitivity_min_combo,sensitivity_max,sensitivity_max_mcse,sensitivity_max_combo,sensitivity_range,specificity_min,specificity_min_mcse,specificity_min_combo,specificity_max,specificity_max_mcse,specificity_max_combo,specificity_range,ppv_min,ppv_min_mcse,ppv_min_combo,ppv_max,ppv_max_mcse,ppv_max_combo,ppv_range
AP,13.0,A7,0.25447,0.25718,0.8616938008766437,0.002159657381751007,10/40,0.8753078216002814,0.0020654956055472158,2.4/20,0.01361402072363771,0.8788816116841723,0.0011964906272516134,20/40,0.9278634731505265,0.0009487523904414171,10/8,0.04898186146635419,0.7108364103387381,0.002568990324688679,20/40,0.8066260499657522,0.0023713174966920577,10/8,0.09578963962701403
SL,7.0,A1,0.4046,0.40928,0.6055756450351837,0.0024157712075350024,20/40,0.8487585205600807,0.0017773244385930979,2.4/40,0.24318287552489704,0.8608223977898691,0.0014206383491078007,2.4/40,0.9422597385092331,0.0009574299559045654,20/8,0.08143734071936393,0.8067504034804575,0.0019096140272416488,2.4/40,0.8785356563447838,0.0019399785704757276,20/20,0.07178525286432635
SL,7.0,A2,0.4046,0.40928,0.43671813917122754,0.0024516204595110866,20/40,0.8429439102958173,0.001804287170722329,2.4/8,0.40622577112458974,0.9039320445620481,0.0012097872728619454,2.4/8,0.983782502708559,0.0005196974986772755,20/40,0.07985045814651093,0.8574287143571786,0.0017486127865147681,2.4/8,0.9491291418861513,0.0016012124678753904,20/40,0.09170042752897267
SL,7.0,A3,0.4046,0.40928,0.7631450351837373,0.0021015248339458907,20/40,0.9354513487594364,0.0012185212880703414,2.4/8,0.17230631357569903,0.7683413951763775,0.0017320211075106371,2.4/8,0.8897955037919827,0.001288409512816972,20/40,0.12145410861560524,0.7345858999362774,0.0019403180012046697,2.4/8,0.8275222551928784,0.0019446095397307242,20/40,0.09293635525660093
SL,7.0,A4,0.4046,0.40928,0.74687255668491,0.0021492285738294314,20/40,0.9320087540266063,0.0012482898173418132,2.4/8,0.18513619734169628,0.7739200782026865,0.0017172396212425556,2.4/8,0.8964991874322861,0.0012533027491818296,20/40,0.12257910922959958,0.7386000467690389,0.0019396841631500747,2.4/8,0.8333242462243062,0.0019458829812767176,20/40,0.09472419945526733
SL,7.0,A5,0.4046,0.40928,0.4698494917904613,0.0024669975054934074,20/40,0.8355177416578553,0.0018382996325295256,2.4/8,0.365668249867394,0.8995837055264355,0.001233885134114987,2.4/8,0.9766894637053087,0.0006208169222951397,20/40,0.07710575817887322,0.8508112980769231,0.001782798704984833,2.4/8,0.9331780462949483,0.0017395401441311167,20/40,0.08236674821802514
SL,7.0,A6,0.4046,0.40928,0.5868842845973417,0.0024338949910088195,20/40,0.8160789428353471,0.0019218566631875435,2.4/40,0.22919465823800544,0.8495022151845426,0.0014675381209357863,2.4/40,0.9287028441218669,0.001057179270427024,20/20,0.07920062893732427,0.7877758510107609,0.001992843334779813,2.4/40,0.8509369375727847,0.002115713087633313,20/20,0.0631610865620238
SL,7.0,A7,0.4046,0.40928,0.8701101962029956,0.001661765367110613,4.8/40,0.8910776075135937,0.0015488287867014758,4.8/8,0.020967411310598094,0.7633735102925244,0.0017486761460456916,20/40,0.8714309707759489,0.0013717667206865534,4.8/8,0.10805746048342446,0.7183615079285124,0.002019021850411512,20/40,0.824860437448522,0.0018180335782950348,4.8/8,0.10649892952000961
SL,10.0,A1,0.14115,0.14381,0.5064824654622742,0.004208167906175992,20/20,0.8020375409950457,0.003328515014147377,2.4/40,0.2955550755327715,0.9428534722384434,0.0007932760492788243,2.4/20,0.9794035915279172,0.0004853142595571972,20/40,0.036550119289473826,0.7008985879332478,0.0035797973976271877,2.4/20,0.8073815243502949,0.004120861845096673,20/40,0.10648293641704709
SL,10.0,A2,0.14115,0.14381,0.32179183502856346,0.00389926315673806,20/40,0.7822002644214042,0.0034430565724403875,2.4/8,0.46040842939284077,0.9632951453362762,0.000642585622278204,2.4/8,0.9956915676155337,0.00022380434465496768,20/40,0.03239642227925743,0.7814933259176863,0.0034455229961347987,2.4/8,0.9260224538893344,0.003705932433397048,20/40,0.14452912797164807
