cell,p_u_anchor,p_u_long,estimator,value,mcse,n,anchor_mean_under_pct,long_mean_under_pct
828,0.25,0.5,A5,-2.958441317124612,0.008816590623436137,100000,20.0,40.0
36,0.03,0.1,A6,0.015708471315155046,0.008025984272155227,100000,2.4,8.0
108,0.03,0.25,A6,-0.0075786058372412325,0.007957105683482199,100000,2.4,20.0
180,0.03,0.5,A6,0.021267347535744174,0.008025724343647268,100000,2.4,40.0
252,0.06,0.1,A6,-0.2479383917838466,0.007958285025477475,100000,4.8,8.0
324,0.06,0.25,A6,-0.26190020812153786,0.007956720117388167,100000,4.8,20.0
396,0.06,0.5,A6,-0.24684967080188416,0.007954966245268008,100000,4.8,40.0
468,0.125,0.1,A6,-0.8231181517541825,0.008129650331145578,100000,10.0,8.0
540,0.125,0.25,A6,-0.8272508050043107,0.008115930744313597,100000,10.0,20.0
612,0.125,0.5,A6,-0.8368415676247579,0.008126619233240281,100000,10.0,40.0
684,0.25,0.1,A6,-1.9193202914845586,0.00938930862284514,100000,20.0,8.0
756,0.25,0.25,A6,-1.9331518387744593,0.009391177586338116,100000,20.0,20.0
828,0.25,0.5,A6,-1.9391922807056134,0.009387019381199343,100000,20.0,40.0
36,0.03,0.1,A7,0.1824030052106283,0.005068948447778643,100000,2.4,8.0
108,0.03,0.25,A7,0.17778874657260113,0.00526114948364289,100000,2.4,20.0
180,0.03,0.5,A7,0.19222120831246678,0.0073578956895203225,100000,2.4,40.0
252,0.06,0.1,A7,0.18074397778976956,0.005056889909593789,100000,4.8,8.0
324,0.06,0.25,A7,0.17466917798392587,0.005298857947765515,100000,4.8,20.0
396,0.06,0.5,A7,0.18635322197254608,0.007353202216209987,100000,4.8,40.0
468,0.125,0.1,A7,0.18058206988228143,0.005084282951225611,100000,10.0,8.0
540,0.125,0.25,A7,0.17716505692953474,0.0053298196436292735,100000,10.0,20.0
612,0.125,0.5,A7,0.16383288385566744,0.007382018207271734,100000,10.0,40.0
684,0.25,0.1,A7,0.17993467837291918,0.0051984595762981966,100000,20.0,8.0
756,0.25,0.25,A7,0.17633537760859694,0.005452118200689612,100000,20.0,20.0
828,0.25,0.5,A7,0.1776264892120799,0.0074860430933668025,100000,20.0,40.0
