p_beat_cv,p_view_over,sigma_ai_mm,ref,m,apparent_min,apparent_max,mcse_apparent_max,range_over_max_mcse
0.3,True,2.0,adj_tol2,ba_bias,-1.0991398990730183,-1.0846797259820946,0.009758952570766283,1.4817341293614164
0.3,True,2.0,adj_tol2,icc,0.7752437806567304,0.7766664860819591,0.0007970696724450638,1.7849197810581188
0.3,True,2.0,adj_tol2,mae,2.6486555707927253,2.658928071196644,0.004293016181958535,2.3928398982256676
0.3,True,2.0,adj_tol3,ba_bias,-1.0963699454438594,-1.0813426206064882,0.009655953210022886,1.5562756478327537
0.3,True,2.0,adj_tol3,icc,0.7782619842200913,0.7796628634044012,0.0007841977971039277,1.7863850032266946
0.3,True,2.0,adj_tol3,mae,2.622521369298639,2.63317317985576,0.004233666109796049,2.515977944617333
0.3,True,2.0,mean2,ba_bias,-1.0982934426153892,-1.0836674548692864,0.009488404455371626,1.5414591372970674
0.3,True,2.0,mean2,icc,0.7877551452468058,0.7886342586935449,0.0007614179807479023,1.1545740565196116
0.3,True,2.0,mean2,mae,2.565369049620811,2.5728622882292633,0.0041716913352087635,1.7962111782360135
0.3,True,2.0,single,ba_bias,-1.09648568423099,-1.0834438213067088,0.009586181022400404,1.3604857757021063
0.3,True,2.0,single,icc,0.7672102802141708,0.7679041588305183,0.0008170195049678659,0.849280356378763
0.3,True,2.0,single,mae,2.723307128036777,2.7307396665406793,0.004286096383095262,1.7341043783376044
0.3,True,3.0,adj_tol1,ba_bias,-1.1006602778088397,-1.0890720425355556,0.010472890441323957,1.1064982812728787
0.3,True,3.0,adj_tol1,icc,0.7071328249945286,0.7075985976072466,0.0009679723643016503,0.48118379190929533
0.3,True,3.0,adj_tol1,mae,3.24972272252985,3.2545294654287935,0.004628915834824646,1.0384165689039044
0.3,True,3.0,adj_tol2,ba_bias,-1.0992689415223824,-1.0832074108161285,0.010432040026618733,1.5396346894059847
0.3,True,3.0,adj_tol2,icc,0.709943472549558,0.710997088726984,0.0009546825662692923,1.1036298500173336
0.3,True,3.0,adj_tol2,mae,3.221409591527775,3.2276655247813952,0.00459831143662806,1.3604848953440036
0.3,True,3.0,adj_tol3,ba_bias,-1.096498987893223,-1.0798703054405223,0.010334939434786354,1.6089772521288521
0.3,True,3.0,adj_tol3,icc,0.7124729640075563,0.713444538665015,0.0009458891612477395,1.027154868945799
0.3,True,3.0,adj_tol3,mae,3.200098098112704,3.206792391942503,0.0045956642757531444,1.4566542349750005
0.3,True,3.0,mean2,ba_bias,-1.0984224850647535,-1.08219513970332,0.010173971201528343,1.5949863666800783
0.3,True,3.0,mean2,icc,0.7204144524312159,0.720972763724008,0.0009268191587259725,0.6023950708566644
0.3,True,3.0,mean2,mae,3.1503796040323038,3.1544053681167235,0.00451914720443695,0.8908238440356931
0.3,True,3.0,single,ba_bias,-1.096614726680354,-1.0819715061407427,0.010262801738771218,1.4268248488413926
0.3,True,3.0,single,icc,0.7031272583247248,0.7036664267204958,0.0009752889743599366,0.5528293766725981
0.3,True,3.0,single,mae,3.280958813740105,3.2867096467675423,0.004624880700648013,1.2434554315382447
