p_beat_cv,p_view_over,sigma_ai_mm,ref,m,apparent_min,apparent_max,mcse_apparent_max,range_over_max_mcse
0.15,True,3.0,single,mae,2.855036949189418,2.8653921026835487,0.003714634348665319,2.787664281910142
0.3,False,1.0,adj_tol1,ba_bias,-1.0347092705870606,-0.9961009136898186,0.009357481836059887,4.125934474001471
0.3,False,1.0,adj_tol1,icc,0.8268900548469678,0.8274441338744494,0.0006690636848320587,0.8281409379148896
0.3,False,1.0,adj_tol1,mae,2.1951218207930214,2.2046375887596477,0.004067570029382815,2.3394232669351456
0.3,False,1.0,adj_tol2,ba_bias,-1.0351256938155196,-0.9984610992175595,0.009267597495255712,3.956213529636934
0.3,False,1.0,adj_tol2,icc,0.831077827287776,0.8319559339963195,0.000655757151373489,1.3390730191874982
0.3,False,1.0,adj_tol2,mae,2.151999145289891,2.163956567934969,0.00400355863137891,2.9866985215000774
0.3,False,1.0,adj_tol3,ba_bias,-1.0329272936278266,-0.9965618462632011,0.009178115938489025,3.9621908906298167
0.3,False,1.0,adj_tol3,icc,0.8340927046622268,0.835300012441746,0.0006482438832540075,1.8624283401777837
0.3,False,1.0,adj_tol3,mae,2.12103711377297,2.134323554916523,0.003985854930061853,3.333398073107235
0.3,False,1.0,mean2,ba_bias,-1.0242625655771394,-0.9927246131060363,0.009065831880432303,3.47877093763172
0.3,False,1.0,mean2,icc,0.8432624513219059,0.8444058916587402,0.0006250449114507883,1.8293730832562107
0.3,False,1.0,mean2,mae,2.058817199151541,2.070945472749411,0.003960362626209541,3.062414920695844
0.3,False,1.0,single,ba_bias,-1.0274966765849465,-0.9921484618615429,0.009274797036098327,3.811211672430694
0.3,False,1.0,single,icc,0.8220440903056688,0.822726582320176,0.0006813631870291125,1.0016567192058279
0.3,False,1.0,single,mae,2.2429946766945985,2.2520816910774117,0.004121138932069979,2.204976471940725
0.3,False,2.0,adj_tol1,ba_bias,-1.0357877158626683,-0.9951440502747508,0.00972950764819577,4.177360978328061
0.3,False,2.0,adj_tol1,icc,0.7807814199356834,0.7812720987314941,0.0007850280576112233,0.6250461891817696
0.3,False,2.0,adj_tol1,mae,2.628855661540349,2.6368928293251845,0.004098300407850826,1.96109776858705
0.3,False,2.0,adj_tol2,ba_bias,-1.036204139091127,-0.9975042358024918,0.009642325361490501,4.013544641751537
0.3,False,2.0,adj_tol2,icc,0.7846762947106356,0.7853667592415075,0.0007727096174647464,0.8935627501793706
0.3,False,2.0,adj_tol2,mae,2.594158431539421,2.6041072574404267,0.004094050500138116,2.4300691700481574
0.3,False,2.0,adj_tol3,ba_bias,-1.034005738903434,-0.9956049828481333,0.009558537727753055,4.01742998239206
0.3,False,2.0,adj_tol3,icc,0.7873518821288601,0.7883308661627102,0.0007653554501218513,1.2791233585574424
0.3,False,2.0,adj_tol3,mae,2.569563142564703,2.580518405937213,0.004059104795525414,2.6989358305275215
0.3,False,2.0,mean2,ba_bias,-1.0253410108527474,-0.9917677496909685,0.00944403994982746,3.5549681428859605
0.3,False,2.0,mean2,icc,0.7952907415941295,0.7963422493399737,0.0007445519835896805,1.4122690812998395
0.3,False,2.0,mean2,mae,2.5139456096005306,2.524758150990194,0.003953930264235065,2.734631282566432
