K,beat_cv,view_over,window,S_median_mm,axis,estimand,maxabs_a1a6_winner,maxabs_a1a6_value,maxabs_a1a6_mcse,maxabs_a1a6_runnerup,maxabs_a1a6_runnerup_value,maxabs_a1a6_gap,maxabs_a1a6_gap_mcse,maxabs_a1a6_clear,rmse_a1a6_winner,rmse_a1a6_value,rmse_a1a6_mcse,rmse_a1a6_runnerup,rmse_a1a6_runnerup_value,rmse_a1a6_gap,rmse_a1a6_gap_mcse,rmse_a1a6_clear,maxabs_a1a4_winner,maxabs_a1a4_value,maxabs_a1a4_mcse,maxabs_a1a4_runnerup,maxabs_a1a4_runnerup_value,maxabs_a1a4_gap,maxabs_a1a4_gap_mcse,maxabs_a1a4_clear,rmse_a1a4_winner,rmse_a1a4_value,rmse_a1a4_mcse,rmse_a1a4_runnerup,rmse_a1a4_runnerup_value,rmse_a1a4_gap,rmse_a1a4_gap_mcse,rmse_a1a4_clear
3,0.15,False,0.15,13.0,SL,T2,A6,0.16580124393500453,0.006650223499217589,A1,0.2189501456435299,0.053148901708525376,0.008226062670611536,True,A1,1.7334006626568816,0.005465221126957195,A6,2.1095006721905523,0.3761000095336706,0.008560425679652177,True,A1,0.2189501456435299,0.004841759439633775,A2,1.9387127368949137,1.7197625912513839,0.007971165109897649,True,A1,1.7334006626568816,0.005465221126957195,A2,2.7871582038263476,1.053757541169466,0.009641217391150928,True
3,0.15,True,0.0,10.0,AP,T1,A3,0.9197770079649943,0.006349697209956212,A4,0.9722003195820829,0.052423311617088575,0.009685801537843907,True,A3,2.438468168927459,0.008379379941642368,A4,2.5089299796000892,0.07046181067263024,0.012019889924413208,True,A3,0.9197770079649943,0.006349697209956212,A4,0.9722003195820829,0.052423311617088575,0.009685801537843907,True,A3,2.438468168927459,0.008379379941642368,A4,2.5089299796000892,0.07046181067263024,0.012019889924413208,True
3,0.15,True,0.0,10.0,AP,T2,A1,0.18215959312464555,0.00577482619096839,A6,0.1872711476697913,0.005111554545145752,0.009730430533847919,False,A1,1.8456103546604579,0.005778158491055372,A6,2.490231831724013,0.644621477063555,0.010036135100265084,True,A1,0.18215959312464555,0.00577482619096839,A4,2.2581378293820533,2.075978236257408,0.009776091056625807,True,A1,1.8456103546604579,0.005778158491055372,A2,3.2741798472385053,1.4285694925780474,0.010577582543602027,True
3,0.15,True,0.0,10.0,SL,T1,A4,0.6248478046267343,0.004386330444780525,A3,0.685049626941148,0.06020182231441373,0.00634103247036868,True,A3,1.7094099011028059,0.005596369607983011,A4,1.729219088113786,0.019809187010980223,0.007921304452176403,True,A4,0.6248478046267343,0.004386330444780525,A3,0.685049626941148,0.06020182231441373,0.00634103247036868,True,A3,1.7094099011028059,0.005596369607983011,A4,1.729219088113786,0.019809187010980223,0.007921304452176403,True
3,0.15,True,0.0,10.0,SL,T2,A1,0.11717113367934656,0.004327624871835848,A6,0.12040359334122579,0.003232459661879225,0.007293791997211216,False,A1,1.3928460487976864,0.003913435445315298,A6,1.868286745407725,0.4754406966100386,0.006700101795909004,True,A1,0.11717113367934656,0.004327624871835848,A2,1.4941301947524812,1.3769590610731346,0.006734624204301365,True,A1,1.3928460487976864,0.003913435445315298,A2,2.212483000212183,0.8196369514144966,0.0073935595848988915,True
3,0.15,True,0.0,13.0,AP,T1,A3,1.1287665901348984,0.007907471332546125,A4,1.337987098756404,0.20922050862150554,0.012142127203787847,True,A3,3.0993444145333378,0.011577661091906504,A4,3.2063124596771644,0.10696804514382663,0.0166256971978913,True,A3,1.1287665901348984,0.007907471332546125,A4,1.337987098756404,0.20922050862150554,0.012142127203787847,True,A3,3.0993444145333378,0.011577661091906504,A4,3.2063124596771644,0.10696804514382663,0.0166256971978913,True
3,0.15,True,0.0,13.0,AP,T2,A1,0.23137290425620477,0.007055134969350071,A6,0.23271748919327215,0.001344584937067378,0.011904210156283774,False,A1,2.252392397258537,0.007481698311048303,A6,3.052965094137412,0.8005726968788749,0.012958842051655825,True,A1,0.23137290425620477,0.007055134969350071,A4,2.8215512137768437,2.5901783095206388,0.01223871087671345,True,A1,2.252392397258537,0.007481698311048303,A2,4.217737778164192,1.9653453809056551,0.013704638576879114,True
3,0.15,True,0.0,13.0,SL,T1,A4,0.7684442308667027,0.006322002606120119,A3,0.7969098109148562,0.028465580048153583,0.008379656612244999,True,A3,2.098799953636876,0.007622562270743144,A4,2.1417838974589207,0.04298394382204451,0.010882692765211411,True,A4,0.7684442308667027,0.006322002606120119,A3,0.7969098109148562,0.028465580048153583,0.008379656612244999,True,A3,2.098799953636876,0.007622562270743144,A4,2.1417838974589207,0.04298394382204451,0.010882692765211411,True
3,0.15,True,0.0,13.0,SL,T2,A1,0.15508751521054018,0.005125356266342759,A6,0.15852317830117044,0.0034356630906302588,0.008610995455646883,False,A1,1.6321190073325706,0.005121506108741429,A6,2.1938729010852143,0.5617538937526436,0.008761784761144052,True,A1,0.15508751521054018,0.005125356266342759,A2,1.9368478786436942,1.781760363433154,0.008171251077615047,True,A1,1.6321190073325706,0.005121506108741429,A2,2.7930889596623794,1.1609699523298087,0.009421815688462898,True
3,0.15,True,0.15,10.0,AP,T1,A4,0.9219077558993476,0.0061375175098446555,A3,1.0990277210129749,0.17711996511362726,0.008946085593399206,True,A3,2.4605342714008738,0.008568452268720498,A4,2.5188847790164175,0.05835050761554372,0.01231640102934347,True,A4,0.9219077558993476,0.0061375175098446555,A3,1.0990277210129749,0.17711996511362726,0.008946085593399206,True,A3,2.4605342714008738,0.008568452268720498,A4,2.5188847790164175,0.05835050761554372,0.01231640102934347,True
