K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_min,bias_min_mcse,bias_min_combo,bias_max,bias_max_mcse,bias_max_combo,bias_range,bias_range_mcse,maxabs_bias,maxabs_bias_mcse,maxabs_bias_combo,maxabs_argmax_clear,rmse_min,rmse_max,rmse_max_mcse,rmse_max_combo,mean_abs_bias
2,0.05,False,0.0,13.0,AP,T2,A3,0.1281339068055854,0.005788534649439736,2.4/40,2.0639687170325884,0.00901808302088113,20/8,1.935834810227003,0.010716013939859772,2.0639687170325884,0.00901808302088113,20/8,True,1.8160337311873425,3.5202936917561627,0.01342425877453447,20/8,0.6007988071761949
2,0.05,False,0.0,13.0,AP,T2,A4,0.12804049048422092,0.005788375201350983,2.4/40,1.92834056280091,0.00880200821388655,20/8,1.800300072316689,0.01053473474127096,1.92834056280091,0.00880200821388655,20/8,True,1.8158149314950631,3.386141566817218,0.013081435369924475,20/8,0.5768978575733735
2,0.05,False,0.0,13.0,AP,T2,A5,-2.472965917458272,0.008744178480997967,2.4/40,0.9192907584754001,0.006466162801036219,20/8,3.392256675933672,0.010875289360612548,2.472965917458272,0.008744178480997967,2.4/40,True,1.7899527759434075,3.709656277744303,0.010584383293007692,2.4/40,1.029775287015897
2,0.05,False,0.0,13.0,AP,T2,A6,0.06471565296618949,0.006333631108879712,10/40,0.0935233162442009,0.006549710022239803,4.8/8,0.028807663278011417,0.009111179089382304,0.0935233162442009,0.006549710022239803,4.8/8,False,1.873266095512319,2.103862634230214,0.006082297612743951,2.4/40,0.07938891500422843
2,0.05,False,0.0,13.0,AP,T2,A7,0.41674812535379324,0.00792168552478193,2.4/40,2.902813758477895,0.011469779851457506,20/40,2.4860656331241016,0.013939474573829536,2.902813758477895,0.011469779851457506,20/40,False,1.8879928663673657,4.645619565208582,0.015211943135210057,20/40,1.3958783456275592
2,0.05,False,0.0,13.0,SL,T1,A1,-1.770527486786815,0.006730835360398722,20/20,-0.15656634832063096,0.004411089767585373,2.4/8,1.613961138466184,0.008047475230560836,1.770527486786815,0.006730835360398722,20/20,True,1.40366123316246,2.7685983352957444,0.008848500591186704,20/20,0.7855797494363115
2,0.05,False,0.0,13.0,SL,T1,A2,-2.5831695430000376,0.00711427700518136,20/40,-0.41017834793968505,0.004218263216509133,2.4/8,2.1729911950603524,0.008270833202900795,2.5831695430000376,0.00711427700518136,20/40,True,1.395565455200638,3.425493833827605,0.009403623966777203,20/40,1.368119148353675
2,0.05,False,0.0,13.0,SL,T1,A3,-1.287529256640136,0.0060122443247921185,20/40,0.06252650252281008,0.0043035719401934725,2.4/8,1.350055759162946,0.007393768542861999,1.287529256640136,0.0060122443247921185,20/40,True,1.362337765470939,2.296171514003687,0.007691770491744458,20/40,0.41288474604998077
2,0.05,False,0.0,13.0,SL,T1,A4,-1.3043130888517809,0.006070879679825719,20/40,0.06245567907125108,0.004303567321414444,2.4/8,1.366768767923032,0.007441523484936879,1.3043130888517809,0.006070879679825719,20/40,True,1.362333057717969,2.320938126461382,0.007888160890932831,20/40,0.4227178412424155
2,0.05,False,0.0,13.0,SL,T1,A5,-2.5831695430000376,0.00711427700518136,20/40,-0.41017834793968505,0.004218263216509133,2.4/8,2.1729911950603524,0.008270833202900795,2.5831695430000376,0.00711427700518136,20/40,True,1.395565455200638,3.425493833827605,0.009403623966777203,20/40,1.368119148353675
