cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,w_anchor,metric,value,mcse,n,test,mci_lo,mci_hi
0,0.05,0.0,1.0,25,0.2,power_reject_f_variance,0.4355,0.011086923603957953,2000,f_variance,0.41377002886549213,0.45722997113450786
0,0.05,0.0,1.0,25,0.3,power_reject_f_variance,0.735,0.009868510525910179,2000,f_variance,0.7156580746355949,0.754341925364405
0,0.05,0.0,1.0,25,0.5,power_reject_f_variance,0.991,0.002111752826445369,2000,f_variance,0.9868610404832688,0.9951389595167311
0,0.05,0.0,1.0,50,0.0,power_reject_f_variance,0.0965,0.006602565789145913,2000,f_variance,0.08355920874564242,0.10944079125435759
0,0.05,0.0,1.0,50,0.1,power_reject_f_variance,0.3025,0.010271167168340705,2000,f_variance,0.2823688821120703,0.3226311178879297
0,0.05,0.0,1.0,50,0.2,power_reject_f_variance,0.625,0.010825317547305483,2000,f_variance,0.6037827673187129,0.6462172326812871
0,0.05,0.0,1.0,50,0.3,power_reject_f_variance,0.902,0.006648157639526908,2000,f_variance,0.8889698503602023,0.9150301496397978
0,0.05,0.0,1.0,50,0.5,power_reject_f_variance,1.0,0.0,2000,f_variance,1.0,1.0
0,0.05,0.0,1.0,100,0.0,power_reject_f_variance,0.1045,0.006840312492861711,2000,f_variance,0.09109323376524078,0.11790676623475921
0,0.05,0.0,1.0,100,0.1,power_reject_f_variance,0.398,0.010945227270367666,2000,f_variance,0.3765477485782611,0.4194522514217389
0,0.05,0.0,1.0,100,0.2,power_reject_f_variance,0.8105,0.008763268511234835,2000,f_variance,0.7933243091956461,0.8276756908043539
0,0.05,0.0,1.0,100,0.3,power_reject_f_variance,0.983,0.0028905881754411173,2000,f_variance,0.9773345512373097,0.9886654487626902
0,0.05,0.0,1.0,100,0.5,power_reject_f_variance,1.0,0.0,2000,f_variance,1.0,1.0
0,0.05,0.0,1.0,10,0.0,power_reject_welch_mean,0.0455,0.004659922209651144,2000,welch_mean,0.0363667202262833,0.054633279773716695
0,0.05,0.0,1.0,10,0.1,power_reject_welch_mean,0.046,0.00468422885862764,2000,welch_mean,0.036819080069328734,0.055180919930671264
0,0.05,0.0,1.0,10,0.2,power_reject_welch_mean,0.0545,0.005075911248239078,2000,welch_mean,0.044551396686256343,0.06444860331374366
0,0.05,0.0,1.0,10,0.3,power_reject_welch_mean,0.068,0.005629209535982827,2000,welch_mean,0.05696695196101696,0.07903304803898305
0,0.05,0.0,1.0,10,0.5,power_reject_welch_mean,0.1085,0.006954414065900879,2000,welch_mean,0.09486959878974065,0.12213040121025935
0,0.05,0.0,1.0,25,0.0,power_reject_welch_mean,0.041,0.004433903472111228,2000,welch_mean,0.032309708815186994,0.04969029118481301
0,0.05,0.0,1.0,25,0.1,power_reject_welch_mean,0.0525,0.004987171041783107,2000,welch_mean,0.042725324296262614,0.06227467570373738
0,0.05,0.0,1.0,25,0.2,power_reject_welch_mean,0.0785,0.006014056451347958,2000,welch_mean,0.06671266586139026,0.09028733413860975
0,0.05,0.0,1.0,25,0.3,power_reject_welch_mean,0.114,0.0071064759198916595,2000,welch_mean,0.10007156303014547,0.12792843696985454
0,0.05,0.0,1.0,25,0.5,power_reject_welch_mean,0.2385,0.009529369076701773,2000,welch_mean,0.21982277966695127,0.2571772203330487
0,0.05,0.0,1.0,50,0.0,power_reject_welch_mean,0.0485,0.004803527349771208,2000,welch_mean,0.03908525932143302,0.05791474067856698
0,0.05,0.0,1.0,50,0.1,power_reject_welch_mean,0.0635,0.005452877680637995,2000,welch_mean,0.05281255604954603,0.07418744395045397
0,0.05,0.0,1.0,50,0.2,power_reject_welch_mean,0.1095,0.0069824691191583505,2000,welch_mean,0.09581461189533792,0.12318538810466208
0,0.05,0.0,1.0,50,0.3,power_reject_welch_mean,0.1805,0.008599992732555068,2000,welch_mean,0.16364432384393043,0.19735567615606955
0,0.05,0.0,1.0,50,0.5,power_reject_welch_mean,0.412,0.011005816643938786,2000,welch_mean,0.3904289955872791,0.43357100441272084
0,0.05,0.0,1.0,100,0.0,power_reject_welch_mean,0.0445,0.004610843198374892,2000,welch_mean,0.03546291332154035,0.05353708667845965
