cell,p_beat_cv,p_view_over,n_studies,n_patients,seed,ai,lam,sigma_ai_mm,ref,mse_true,mse_apparent,var_ref,bias_ref,cov_ai_ref,bias_ai,mse_apparent_closed_form,identity_abs_error,mae_true,mae_apparent,apparent_sd_within_mean,apparent_sd_within_mcse,mse_apparent_lambda_form,mse_true_lambda_form
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",shared,0.5,3.0,mean2,9.426336743073358,9.856859611293874,1.9926298574391363,-0.10812814462547918,0.7706784555495189,-0.15001540020916207,9.856859611293874,0.0,2.445795896764771,2.5036969355364995,3.112750187105198,0.00704321691128504,9.841558428708225,9.417707745919381
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",shared,0.5,3.0,R_img,9.426336743073358,9.42624711657639,1.5755264399315492,-0.30871434003942205,0.7891483998159258,-0.15001540020916207,9.42624711657639,0.0,2.445795896764771,2.4480162747916125,3.062291179052498,0.006749787982413663,9.417707745919381,9.417707745919381
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",shared,1.0,3.0,single,10.679504794079987,9.965335537866228,2.430442769374818,-0.10736387177878831,1.545390895672921,-0.3043725702288731,9.965335537866228,0.0,2.5984205723011704,2.515275943992498,3.1239078669205056,0.007468659590565096,9.956988307365359,10.670830983677526
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",shared,1.0,3.0,mean2,10.679504794079987,9.529556791990062,1.9926298574391363,-0.10812814462547918,1.5442235363008687,-0.3043725702288731,9.52955679199006,1.7763568394002505e-15,2.5984205723011704,2.460556399208141,3.0536078758537486,0.006927207485655468,9.514210796155927,10.670830983677526
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",shared,1.0,3.0,R_img,10.679504794079987,9.008584183905493,1.5755264399315492,-0.30871434003942205,1.5769116197817008,-0.3043725702288731,9.008584183905493,0.0,2.5984205723011704,2.3925746807474906,2.9976092262462584,0.006625941120768559,9.0,10.670830983677526
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",inherited,,3.0,single,9.065369405253835,11.38285292022068,2.430442769374818,-0.10736387177878831,0.05054970109629579,-0.10891398005327672,11.382852920220676,3.552713678800501e-15,2.3997970284108647,2.686886147893875,3.3488008972607424,0.007980897649382302,,
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",inherited,,3.0,mean2,9.065369405253835,10.95158089186951,1.9926298574391363,-0.10812814462547918,0.0472783666548674,-0.10891398005327672,10.95158089186951,0.0,2.3997970284108647,2.6363399270134127,3.2839420682207403,0.007496895591883349,,
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",inherited,,3.0,R_img,9.065369405253835,10.6030366139076,1.5755264399315492,-0.30871434003942205,0.03295858003866629,-0.10891398005327672,10.6030366139076,0.0,2.3997970284108647,2.5934701843470753,3.2460275850816007,0.0072281332666684645,,
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.0,1.0,single,1.0061126091942107,3.831657932113313,2.8148168630953085,0.07154025296092932,-0.0026618859855029814,-0.002003627658617564,3.8316579321133126,4.440892098500626e-16,0.8000771871266746,1.5212313996713038,1.9163719182375076,0.006602137755097224,3.8199348708890217,1.0
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.0,1.0,mean2,1.0061126091942107,3.3407715382718655,2.3293594527701615,0.07368894764806659,0.000212937562635218,-0.002003627658617564,3.3407715382718655,0.0,0.8000771871266746,1.4124621763307537,1.7854441614410421,0.005439275309275244,3.334789513775641,1.0
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.0,1.0,R_img,1.0061126091942107,3.04715654628453,2.025483343548969,-0.09504305866520307,-0.0034541361715571144,-0.002003627658617564,3.047156546284529,8.881784197001252e-16,0.8000771871266746,1.3373241182385214,1.7385679715124305,0.005735947519626771,3.0345165265494067,1.0
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.5,1.0,single,1.5114780355611066,2.4143884460381826,2.8148168630953085,0.07154025296092932,0.9620552724650546,-0.0495251569912191,2.414388446038182,4.440892098500626e-16,0.9697806676667923,1.2319216314466785,1.4990278733315112,0.005944904725385784,2.4059290900843475,1.5086291316373517
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.5,1.0,mean2,1.5114780355611066,1.948715814886083,2.3293594527701615,0.07368894764806659,0.9524253239261207,-0.0495251569912191,1.9487158148860828,2.220446049250313e-16,0.9697806676667923,1.104198304853344,1.3384508779960247,0.003675159139469958,1.945997495660314,1.5086291316373517
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.5,1.0,R_img,1.5114780355611066,1.5180054461020185,2.025483343548969,-0.09504305866520307,1.0092875356029276,-0.0495251569912191,1.518005446102018,4.440892098500626e-16,0.9697806676667923,0.9715915612146284,1.2292296107731917,0.003204604734959372,1.5086291316373517,1.5086291316373517
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,1.0,1.0,single,3.0341017252027056,2.014377223237755,2.8148168630953085,0.07154025296092932,1.9267724309156122,-0.09704668632382062,2.0143772232377555,4.440892098500626e-16,1.3356774057792116,1.1266671991528752,1.3523652320718396,0.00618149060620959,2.0091815725543762,3.0345165265494067
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,1.0,1.0,mean2,3.0341017252027056,1.5739183547750037,2.3293594527701615,0.07368894764806659,1.904637710289606,-0.09704668632382062,1.573918354775003,6.661338147750939e-16,1.3356774057792116,0.9949449586200112,1.1833430527533046,0.003541004386048458,1.5744637408196909,3.0345165265494067
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,1.0,1.0,R_img,3.0341017252027056,1.0061126091942107,2.025483343548969,-0.09504305866520307,2.0220292073774124,-0.09704668632382062,1.0061126091942096,1.1102230246251565e-15,1.3356774057792116,0.8000771871266746,1.0016965169599585,0.002273006154753393,1.0,3.0345165265494067
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",inherited,,1.0,single,1.0466514279233008,3.7987839631571654,2.8148168630953085,0.07154025296092932,0.027056352094669056,0.0956778240167486,3.7987839631571663,8.881784197001252e-16,0.8164299608157054,1.5140884460480377,1.908919804722877,0.006711130497649485,,
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",inherited,,1.0,mean2,1.0466514279233008,3.308778172704972,2.3293594527701615,0.07368894764806659,0.029280986331933444,0.0956778240167486,3.3087781727049723,4.440892098500626e-16,0.8164299608157054,1.4051483720554139,1.7778388765877007,0.0055585023750520145,,
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",inherited,,1.0,R_img,1.0466514279233008,3.0744169745841505,2.025483343548969,-0.09504305866520307,0.012469002985261176,0.0956778240167486,3.07441697458415,4.440892098500626e-16,0.8164299608157054,1.3487488959174248,1.738176375194529,0.005905741272997114,,
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.0,2.0,single,4.024450436776843,6.855606211726025,2.8148168630953085,0.07154025296092932,-0.005323771971005963,-0.004007255317235128,6.855606211726025,0.0,1.6001543742533493,2.0707306840219655,2.5873700001851185,0.006932615585143463,6.819934870889022,4.0
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.0,2.0,mean2,4.024450436776843,6.358978781156512,2.3293594527701615,0.07368894764806659,0.000425875125270436,-0.004007255317235128,6.358978781156511,1.7763568394002505e-15,1.6001543742533493,1.992009207376369,2.4902598140331094,0.0062651362669962725,6.3347895137756405,4.0
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.0,2.0,R_img,4.024450436776843,6.072021784408074,2.025483343548969,-0.09504305866520307,-0.006908272343114229,-0.004007255317235128,6.072021784408072,1.7763568394002505e-15,1.6001543742533493,1.9431831224292573,2.4584592215463834,0.006409209469918744,6.034516526549407,4.0
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.5,2.0,single,4.526552157873284,5.43507302038044,2.8148168630953085,0.07154025296092932,0.9593933864795515,-0.05152878464983665,5.4350730203804405,8.881784197001252e-16,1.6949007039364201,1.8582301063003703,2.294826606033743,0.006161573916257845,5.4059290900843475,4.508629131637352
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.5,2.0,mean2,4.526552157873284,4.963659352500273,2.3293594527701615,0.07368894764806659,0.9526382614887559,-0.05152878464983665,4.963659352500273,0.0,1.6949007039364201,1.7732609746376222,2.1907563615299592,0.005182649455754979,4.945997495660314,4.508629131637352
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,0.5,2.0,R_img,4.526552157873284,4.539606978955107,2.025483343548969,-0.09504305866520307,1.0058333994313704,-0.05152878464983665,4.539606978955106,8.881784197001252e-16,1.6949007039364201,1.6968292983930016,2.127351777389067,0.004946015043451128,4.508629131637352,4.508629131637352
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,1.0,2.0,single,6.045912142244426,5.031798092309557,2.8148168630953085,0.07154025296092932,1.9241105449301092,-0.0990503139824382,5.031798092309556,8.881784197001252e-16,1.9395613353335845,1.788335217324816,2.2013581298798437,0.006114169536420731,5.009181572554376,6.034516526549407
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,1.0,2.0,mean2,6.045912142244426,4.585598187118738,2.3293594527701615,0.07368894764806659,1.9048506478522413,-0.0990503139824382,4.5855981871187375,8.881784197001252e-16,1.9395613353335845,1.7059279031468984,2.098757758203544,0.005028707265626946,4.574463740819691,6.034516526549407
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",shared,1.0,2.0,R_img,6.045912142244426,4.024450436776843,2.025483343548969,-0.09504305866520307,2.018575071205855,-0.0990503139824382,4.024450436776842,8.881784197001252e-16,1.9395613353335845,1.6001543742533493,2.003393033919917,0.004546012309506786,4.0,6.034516526549407
