cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,design,n_double,overlap_frac,mcse_ba_bias_empirical_sd,mcse_ba_bias_mean,mcse_icc_ci_width_mean,mcse_icc_empirical_sd,mcse_icc_mean,mcse_loa_ci_width_each_mean,mcse_loa_hi_empirical_sd,mcse_loa_hi_mean,mcse_loa_lo_empirical_sd,mcse_loa_lo_mean,mcse_loa_width_mean,ba_bias_empirical_sd,ba_bias_mean,icc_ci_width_mean,icc_empirical_sd,icc_mean,loa_ci_width_each_mean,loa_hi_empirical_sd,loa_hi_mean,loa_lo_empirical_sd,loa_lo_mean,loa_width_mean,icc_emp95_range,loa_hi_emp95_range
3,0.05,0.75,1.0,overlap,150,0.3,0.016660770070931342,0.023555995785649278,0.007936010907749182,0.0005286766653879705,0.0007474747715040035,0.001423938037110976,0.017068918026377805,0.024133059839560735,0.01699302528537728,0.024025758131442875,0.0099871673765247,1.053456157088207,0.0036696662598004826,0.3066710765115579,0.033428088010981495,0.9545247400957521,0.517764382101647,1.0792632461265594,1.8194086278172381,1.074464567857492,-1.8120692952976372,3.631477923114875,0.13103569818071067,4.230634217862392
3,0.05,0.75,1.0,overlap,250,0.5,0.016637193465802193,0.02352266176755181,0.00789766706410542,0.0005176824642323987,0.0007319305106454325,0.0009109222935581176,0.01687429569616182,0.02385789111861669,0.016910919078831407,0.023909671453147933,0.008275279374614334,1.0519654144796242,0.0031443760934008625,0.30076479719046906,0.032732927532186415,0.9550916158918594,0.4004219681870292,1.0669573268203083,1.8219623356020338,1.0692730137784991,-1.815673583415232,3.6376359190172662,0.12831071915538844,4.1823959002080775
4,0.05,0.75,2.0,gold,25,,0.016959248885287558,0.023978003031601722,0.00811761384786471,0.0006708932752964397,0.0009485491425799354,0.007611258466999454,0.018406223667160063,0.026023822745733588,0.018583387496841148,0.026274307591726293,0.020865729364630603,1.0723288948671499,0.011446749404111493,0.35940105712869297,0.04242040725615752,0.9486199220443126,1.300581814359452,1.1638207338773106,1.7941735003511778,1.1750227567367757,-1.7712800015429548,3.5654535018941322,0.16628494217481504,4.562093481706218
4,0.05,0.75,2.0,gold,50,,0.016839324936543495,0.023808447361654488,0.007996075715356243,0.000593221884040523,0.000838732672074643,0.003818368247038244,0.017592802800255495,0.024873759547502795,0.017760554609278414,0.025110937114299264,0.01520386432719878,1.0647461347876992,0.006399649631611858,0.33099742061007675,0.03750926539417883,0.9520034465004393,0.9026776770058264,1.1123883440840132,1.803527119334521,1.1229952473259113,-1.7907278200712973,3.5942549394058183,0.14703361967807263,4.360482216848558
4,0.05,0.75,2.0,gold,100,,0.01680865461847997,0.023765083826837487,0.007938165415106176,0.0005545762770597605,0.0007840931955500259,0.001870992682992567,0.017156243438072618,0.02425652574306372,0.01729749533884907,0.024456236150520238,0.010670342935510618,1.0628068585557893,0.004949296167456116,0.3177584328030965,0.03506571371889787,0.9536027367835249,0.6320653743922441,1.0847848091892816,1.8072958162083228,1.0937161301270206,-1.7973972238734104,3.6046930400817327,0.13745507304669188,4.252278347515722
4,0.05,0.75,2.0,gold,200,,0.01678328371930199,0.023729212928219338,0.00792495353107217,0.0005305674994964553,0.0007501481461500256,0.00104240110643375,0.017008910093387734,0.02404821702553703,0.01708666751494178,0.02415815513083661,0.008459563705931043,1.0612026632013056,0.005327514402005535,0.31003432249208607,0.03354764495973809,0.9545364219121877,0.4472299110710356,1.075468960135372,1.8200655747091936,1.0803855416707198,-1.8094105459051828,3.6294761206143766,0.1315043528117362,4.215760889965528
4,0.05,0.75,2.0,overlap,50,0.1,0.016839324936543495,0.023808447361654488,0.007996075715356243,0.000593221884040523,0.000838732672074643,0.003818368247038244,0.017592802800255495,0.024873759547502795,0.017760554609278414,0.025110937114299264,0.01520386432719878,1.0647461347876992,0.006399649631611858,0.33099742061007675,0.03750926539417883,0.9520034465004393,0.9026776770058264,1.1123883440840132,1.803527119334521,1.1229952473259113,-1.7907278200712973,3.5942549394058183,0.14703361967807263,4.360482216848558
4,0.05,0.75,2.0,overlap,100,0.2,0.01680865461847997,0.023765083826837487,0.007938165415106176,0.0005545762770597605,0.0007840931955500259,0.001870992682992567,0.017156243438072618,0.02425652574306372,0.01729749533884907,0.024456236150520238,0.010670342935510618,1.0628068585557893,0.004949296167456116,0.3177584328030965,0.03506571371889787,0.9536027367835249,0.6320653743922441,1.0847848091892816,1.8072958162083228,1.0937161301270206,-1.7973972238734104,3.6046930400817327,0.13745507304669188,4.252278347515722
4,0.05,0.75,2.0,overlap,150,0.3,0.016793393684921422,0.023743507003853925,0.007912482857184114,0.0005438385815009293,0.0007689115976854275,0.0013519255302305703,0.01705435608659782,0.024112471295896314,0.017195168698014986,0.024311560609714785,0.009482088545372094,1.0618419136971948,0.004685571129346889,0.3115558969528056,0.03438677202225172,0.9540572954631745,0.5169982863281859,1.0783424984627321,1.8177379246615057,1.08724604324857,-1.808366782402812,3.6261047070643175,0.13479367047964114,4.227024953314021
4,0.05,0.75,2.0,overlap,250,0.5,0.01678050806365168,0.023725288539819357,0.007912136578054124,0.0005249654960815294,0.0007422276977991164,0.0008430489516518361,0.016976100997122663,0.024001829557847326,0.017019227091139295,0.02406280381561466,0.007658683567995881,1.0610271592166562,0.004542740660961138,0.3086692877923173,0.033193431741239905,0.9546837523356082,0.4001874156088446,1.073394449514207,1.8222953029747735,1.076121301219114,-1.8132098216528512,3.6355051246276244,0.13011586249857507,4.207628957695326
5,0.05,0.75,3.0,gold,25,,0.01658932038887751,0.0234549759406973,0.007977871112379463,0.0006886058518555263,0.0009735922454498804,0.007230962500792259,0.017896679252009624,0.025303398296876528,0.01812204961459572,0.025622040429784353,0.019823174740616074,1.0489384122804248,0.015815059589439844,0.3518004466895785,0.04354036886385186,0.9485562168234057,1.3019485331870628,1.1316023730713665,1.8004151922708225,1.1458524824649148,-1.7687850730919428,3.569200265362765,0.1706751110397411,4.435799827068895
5,0.05,0.75,3.0,gold,50,,0.0164622367548876,0.023275297478420557,0.007930282380549464,0.0005767280018212913,0.0008154126323411195,0.003838451980914392,0.017331084084410184,0.024503725933136187,0.01732258945135765,0.024491715711547735,0.015283833137245677,1.0409029471655562,0.021286652800726304,0.3271156665823196,0.03646636151253574,0.9519266794403416,0.9104849955839005,1.0958399377703396,1.8339575961474266,1.0953028243324074,-1.7913842905459743,3.6253418866934006,0.1429455115511112,4.295613655584212
