u_anchor,u_long,mean_under_anchor_pct,mean_under_long_pct,n,comparison,mean_diff_mm,mean_diff_mcse,sd_diff_mm,sd_diff_mcse,loa_lo_mm,loa_hi_mm,pct_ratio_of_means,pct_ratio_of_means_mcse,pct_mean_relative,pct_mean_relative_mcse,mean_truth_mm
0.06,0.25,4.787307364817193,19.947114020071634,88000,"long-axis view mean, AP, vs T1 AP",-1.6727059774444135,0.009263771381780401,2.7480786922543965,0.006550512782347158,-7.05894021426303,3.7135282593742036,-15.435332470855084,0.08211551999644001,-15.11284667374158,0.0800482092161992,10.836863932816533
0.06,0.25,4.787307364817193,19.947114020071634,88000,"long-axis view single beat, AP, vs T1 AP",-1.7422281197698943,0.010335191564509877,3.06591328178248,0.007308125563685605,-7.751418152063556,4.266961912523767,-16.07686624627651,0.09264499587362314,-16.054439810201863,0.09218203489613196,10.836863932816533
0.06,0.25,4.787307364817193,19.947114020071634,88000,"anchor view mean, AP, vs T1 AP",-0.21364755420991158,0.0068312460751350935,2.0264750722958027,0.004830447869486515,-4.185538695909685,3.7582435874898614,-1.971488758504546,0.06288537496479313,-1.6732316097808844,0.06428927808864485,10.836863932816533
0.06,0.25,4.787307364817193,19.947114020071634,88000,long-axis view biplane mean vs mean of T1 AP and SL,-1.3256654980842646,0.0063897728571218546,1.8955129518348812,0.004518277389616159,-5.040870883680632,2.389539887512102,-14.913883642689996,0.06770258571452077,-14.451505359110731,0.06828443991754678,8.888801400392019
0.06,0.25,4.787307364817193,19.947114020071634,88000,"A4 composite, AP, vs T1 AP",0.4064854395890638,0.006622375193689695,1.9645139556968547,0.004682753013646361,-3.4439619135767714,4.256932792754899,3.7509508480413025,0.06141148540575277,4.5771020984005855,0.062233135800327244,10.836863932816533
0.06,0.5,4.787307364817193,39.89422804014327,88000,"long-axis view mean, AP, vs T1 AP",-3.6483594181141537,0.013190904834775091,3.9130547391632757,0.00932743125557494,-11.317946706874174,4.021227870645866,-33.72805158929928,0.11121837604705931,-33.34600673630354,0.10606089504888763,10.8169883708066
0.06,0.5,4.787307364817193,39.89422804014327,88000,"long-axis view single beat, AP, vs T1 AP",-3.7520153854326517,0.01393789038103873,4.134646462286585,0.009855632801939972,-11.855922451514358,4.3518916806490555,-34.686321708163874,0.11922298890876398,-34.67418611838178,0.11540913412988013,10.8169883708066
0.06,0.5,4.787307364817193,39.89422804014327,88000,"anchor view mean, AP, vs T1 AP",-0.20851585567302788,0.006813549858937686,2.0212255262241814,0.004817934683914137,-4.170117887072424,3.753086175726368,-1.927670147411643,0.06284117883976069,-1.649766639381995,0.06388938636949512,10.8169883708066
0.06,0.5,4.787307364817193,39.89422804014327,88000,long-axis view biplane mean vs mean of T1 AP and SL,-2.945447830844226,0.008838866933136702,2.622031663086732,0.00625005825822204,-8.08462989049422,2.193734228805768,-33.2155773599104,0.08588044284177881,-32.724801622349496,0.08476835013207791,8.867670126364384
0.06,0.5,4.787307364817193,39.89422804014327,88000,"A4 composite, AP, vs T1 AP",0.15357220317373835,0.006704146886074734,1.9887713597509815,0.004740574660373939,-3.7444196619381853,4.051564068285662,1.419731610216077,0.062103007531042025,2.063150382383291,0.06296325125750755,10.8169883708066
0.125,0.1,9.973557010035817,7.978845608028654,88000,"long-axis view mean, AP, vs T1 AP",-0.3671550544384315,0.007381741242525155,2.1897783293978685,0.0052197089470754025,-4.6591205800582545,3.924810471181391,-3.3902342151108016,0.06786262361232455,-3.0800189512060414,0.06822865236472672,10.829784349469552
0.125,0.1,9.973557010035817,7.978845608028654,88000,"long-axis view single beat, AP, vs T1 AP",-0.4174179085119147,0.008916738749576242,2.6451321769773837,0.00630512226055429,-5.6018769753875866,4.767041158363757,-3.8543510659319824,0.0821784672336408,-3.834642200438014,0.08328989157449111,10.829784349469552
0.125,0.1,9.973557010035817,7.978845608028654,88000,"anchor view mean, AP, vs T1 AP",-0.7706314210956847,0.007180469243053933,2.1300714054789407,0.005077387342738549,-4.945571375834408,3.404308533643039,-7.1158519526146495,0.06525814902506155,-6.805155133034665,0.0657766782337806,10.829784349469552
0.125,0.1,9.973557010035817,7.978845608028654,88000,long-axis view biplane mean vs mean of T1 AP and SL,-0.26699991329597345,0.005359549673389892,1.589899367172327,0.003789795451150012,-3.383202672953734,2.8492028463617873,-3.0050717884272027,0.059945923318307004,-2.5355823111106006,0.06220571576601931,8.884976203371039
0.125,0.1,9.973557010035817,7.978845608028654,88000,"A4 composite, AP, vs T1 AP",0.5881472431697499,0.006539995558873041,1.9400762067730641,0.004624501484260295,-3.2144021221054557,4.390696608444955,5.430830607430863,0.060908744845437235,6.504140122461624,0.06138022185022408,10.829784349469552
0.125,0.25,9.973557010035817,19.947114020071634,88000,"long-axis view mean, AP, vs T1 AP",-1.6906521953788396,0.009196955812577378,2.7282579913248806,0.006503266771830858,-7.038037858375605,3.6567334676179266,-15.612022236945421,0.08117184793004642,-15.170975766481739,0.07938816147269956,10.829168506934083
0.125,0.25,9.973557010035817,19.947114020071634,88000,"long-axis view single beat, AP, vs T1 AP",-1.7548149084653046,0.010312556700336652,3.0591986959649966,0.0072921202067976944,-7.7508443525566975,4.241214535626089,-16.20452121824191,0.09225995471229835,-16.071609485128224,0.09155379920406517,10.829168506934083
0.125,0.25,9.973557010035817,19.947114020071634,88000,"anchor view mean, AP, vs T1 AP",-0.7743879116658597,0.007181127918682179,2.130266800246848,0.005077853099388237,-4.949710840149682,3.400935016817962,-7.150945256507988,0.06518636908617842,-6.800443343014853,0.06593323172083347,10.829168506934083
0.125,0.25,9.973557010035817,19.947114020071634,88000,long-axis view biplane mean vs mean of T1 AP and SL,-1.3374172388734928,0.0063513792739642435,1.8841235745017748,0.004491128872357985,-5.030299444896972,2.355464967149986,-15.055644461679307,0.0669917919142675,-14.497143053834447,0.06799332666166666,8.883161675859057
0.125,0.25,9.973557010035817,19.947114020071634,88000,"A4 composite, AP, vs T1 AP",0.10202876710211987,0.006772146739459854,2.00894337614288,0.004788658091024335,-3.8355002501379247,4.039557784342165,0.9421662155943856,0.06267231198256293,1.9019658628761695,0.06319169468858458,10.829168506934083
0.125,0.5,9.973557010035817,39.89422804014327,88000,"long-axis view mean, AP, vs T1 AP",-3.683741339228129,0.013201508087207041,3.9162001721490407,0.009334928929872748,-11.359493676640248,3.9920109981839906,-33.881237773069614,0.11069925826939682,-33.49598371416047,0.10538673525930067,10.87251110452682
0.125,0.5,9.973557010035817,39.89422804014327,88000,"long-axis view single beat, AP, vs T1 AP",-3.798842284558487,0.013958767867691521,4.140839725683737,0.009870395498205488,-11.914888146898612,4.317203577781637,-34.93987955530182,0.11885621078156565,-34.94045015291244,0.11487734926212725,10.87251110452682
0.125,0.5,9.973557010035817,39.89422804014327,88000,"anchor view mean, AP, vs T1 AP",-0.7801629161909686,0.007249049942483001,2.1504157286529333,0.0051258814958991036,-4.9949777443507175,3.4346519119687806,-7.175554098686035,0.06555055959948147,-6.849929117357573,0.06633982676111248,10.87251110452682
0.125,0.5,9.973557010035817,39.89422804014327,88000,long-axis view biplane mean vs mean of T1 AP and SL,-2.972309207600376,0.008858171245338959,2.6277582475246835,0.0062637085458450694,-8.122715372748756,2.1780969575480036,-33.34146703257397,0.08547501528516079,-32.82244136266853,0.08409878733008028,8.914752325374547
0.125,0.5,9.973557010035817,39.89422804014327,88000,"A4 composite, AP, vs T1 AP",-0.25436089126928046,0.0070118166202335075,2.0800409524307186,0.004958131251883979,-4.331241158033489,3.822519375494928,-2.3394861483597484,0.06413359773992802,-1.6204241058555906,0.06461117479846763,10.87251110452682
0.25,0.1,19.947114020071634,7.978845608028654,88000,"long-axis view mean, AP, vs T1 AP",-0.3715843003269747,0.0073630311779855975,2.1842280273045995,0.005206478858391871,-4.652671233843989,3.90950263319004,-3.426426102097623,0.06755571810056459,-3.097781440862581,0.06785118413212891,10.844661149980576
0.25,0.1,19.947114020071634,7.978845608028654,88000,"long-axis view single beat, AP, vs T1 AP",-0.42632625340799074,0.00888214027809395,2.6348686117028723,0.006280657307744665,-5.590668732345621,4.7380162255296385,-3.9312086151143073,0.08169934442641602,-3.89275271582287,0.08290427168674712,10.844661149980576
0.25,0.1,19.947114020071634,7.978845608028654,88000,"anchor view mean, AP, vs T1 AP",-1.8604344254451313,0.008929947249145,2.649050451158129,0.006314462133236268,-7.052573309715064,3.3317044588248015,-17.155302500608453,0.0778516370712486,-16.78470168471442,0.07633632843067026,10.844661149980576
0.25,0.1,19.947114020071634,7.978845608028654,88000,long-axis view biplane mean vs mean of T1 AP and SL,-0.2683114325969354,0.005342186255024891,1.5847485448919536,0.0037775175905187704,-3.3744185805851643,2.8377957153912936,-3.016940490338933,0.05967395525647344,-2.547094215776898,0.06190999260008216,8.893494368090517
0.25,0.1,19.947114020071634,7.978845608028654,88000,"A4 composite, AP, vs T1 AP",0.3147839970395071,0.006852240882032615,2.0327031385018133,0.004845293524164004,-3.669314154424047,4.298882148503061,2.902663279987046,0.06359206824762621,3.9937974051696523,0.06329123490860138,10.844661149980576
