u_anchor,u_long,mean_under_anchor_pct,mean_under_long_pct,n,quantity,q25,q25_ci_lo,q25_ci_hi,median,median_ci_lo,median_ci_hi,q75,q75_ci_lo,q75_ci_hi,q05,q05_ci_lo,q05_ci_hi,q95,q95_ci_lo,q95_ci_hi,cohort44_median_p025,cohort44_median_p975,cohort44_q25_p025,cohort44_q25_p975,cohort44_q75_p025,cohort44_q75_p975,p_cohort_median_le_9p5,p_cohort_median_le_9p5_mcse,n_cohorts
0.03,0.5,2.3936536824085963,39.89422804014327,88000,T1 AP (true span),7.637172409964207,7.60738682251391,7.666973400558912,10.020389677894574,9.990661716650797,10.053738641375311,13.142485541551121,13.095707700150218,13.193431546717408,5.1838212693186225,5.15346899290345,5.215904380432152,19.326085649339735,19.21772169496349,19.421812742878203,8.662616822392721,11.562732488591669,6.591526991010769,8.984480044478145,11.187821895917022,15.178726608221362,0.239,0.009536220425304776,2000
0.03,0.5,2.3936536824085963,39.89422804014327,88000,anchor view 3-beat mean,7.477638468715414,7.4473233721707315,7.508455916265106,10.004213944929159,9.967419940375706,10.042408289011563,13.347193210968125,13.301292311374363,13.398464861315162,4.725019456713303,4.689952181074261,4.758358688159568,20.101193466176333,19.975246518946374,20.210053532310415,8.580865996565949,11.639460844034021,6.289379904492483,8.867319521208278,11.233853485712926,15.48070260979306,0.2615,0.009826437553864574,2000
0.03,0.5,2.3936536824085963,39.89422804014327,88000,long-axis view 3-beat mean,3.8879670788945213,3.8554133498455023,3.9203516596647474,6.422587619378919,6.389013740086703,6.457943660725537,9.556839075237919,9.503399279394692,9.6029690637799,1.3829197397012896,1.360089030448646,1.4072565211785861,15.767284010873977,15.66576273153126,15.882015644906446,4.979701789032749,8.029749958982174,2.6995871747825926,5.341363681489315,7.579492566140265,11.690850581643751,1.0,0.0,2000
0.03,0.5,2.3936536824085963,39.89422804014327,88000,long-axis view single beat,3.6506106008685415,3.619888120922317,3.6830273851083355,6.309457280932293,6.273684905171055,6.345362241637953,9.555650478609643,9.509785371931207,9.605672553656161,0.8215846521485141,0.7895916870116299,0.8530049396369873,16.02276321216786,15.915059848493424,16.133569413787065,4.806069937409227,7.978607167963839,2.3928996787984658,5.183271471546263,7.4727233927714805,11.818798059129756,1.0,0.0,2000
0.03,0.5,2.3936536824085963,39.89422804014327,88000,A4 composite,7.758995563183588,7.7239624724724605,7.787738322490683,10.30654993169302,10.269250365328688,10.34413441388085,13.661052423421342,13.610845529515315,13.715522415695867,5.024030205633889,4.990218376047218,5.0534799740402185,20.492144022714324,20.36335737318877,20.598037910729097,8.827219155508454,12.01124018478745,6.601306740580089,9.181592918019495,11.561459252355746,15.89219238992319,0.1485,0.007951344225978398,2000
0.06,0.1,4.787307364817193,7.978845608028654,88000,T1 AP (true span),7.629960409205842,7.604524240568742,7.659694923882861,9.980869333267169,9.945935589028318,10.016337262924367,13.095406047567383,13.046818619199277,13.143556134137079,5.160799463569642,5.134725683991479,5.189526595187046,19.272225494363575,19.1543760800782,19.388281550667976,8.736822823079537,11.536461745294796,6.546353886507773,8.96273453740846,11.113797489936225,15.258430692268757,0.259,0.009795891996137973,2000
0.06,0.1,4.787307364817193,7.978845608028654,88000,anchor view 3-beat mean,7.251852107348389,7.224169133494307,7.281146675474365,9.733403173930778,9.698563815824281,9.771828967817862,13.000709047745154,12.951359851189244,13.046571097479992,4.574446355138829,4.534573011201552,4.612267398038834,19.53873606374113,19.429101008093085,19.66578792773176,8.347157707970572,11.401370059436628,6.141648292915322,8.702906993547511,10.852436328865421,15.33759652529056,0.371,0.01080182854890782,2000
0.06,0.1,4.787307364817193,7.978845608028654,88000,long-axis view 3-beat mean,7.098576137047544,7.07229141192603,7.129368931485046,9.574450608463383,9.541792901342644,9.611953965237333,12.80521117780607,12.753126534091168,12.852927820801723,4.449615063741636,4.4157559169938345,4.4798537182469405,19.51853952810463,19.402526651574934,19.656308648506766,8.184907162472806,11.197132500719478,6.036420718395691,8.542266169148975,10.755418091380754,15.142442956079321,0.4605,0.011145397031958978,2000
0.06,0.1,4.787307364817193,7.978845608028654,88000,long-axis view single beat,6.888227793062014,6.856600873019086,6.91986691803057,9.48195829152467,9.446139299398382,9.521599910845683,12.878894188494323,12.825513960389687,12.930477188341952,4.072087954519458,4.041428009849512,4.112577682913786,19.859024455457508,19.738717169837983,19.998603981305518,8.016405004845401,11.228167726845966,5.715704508022343,8.341611787600762,10.683509286467268,15.226409787931273,0.5045,0.011179887074563856,2000
0.06,0.1,4.787307364817193,7.978845608028654,88000,A4 composite,8.138696335335704,8.109469673400673,8.168678324116541,10.68684392232624,10.65050896924705,10.720350730259987,14.090860990191413,14.039124028717254,14.14572145208072,5.405693824760677,5.3754913222007685,5.4374466444028995,20.947933459929033,20.827880797413332,21.046211003627807,9.287061455065265,12.432224261357163,7.028541385277538,9.557460005168219,11.867464761796294,16.430378443607097,0.0565,0.005162739098579358,2000
0.06,0.25,4.787307364817193,19.947114020071634,88000,T1 AP (true span),7.639737646659131,7.609183124631782,7.665844551464623,10.011162586756287,9.978188432733416,10.044551742946624,13.085863008825532,13.03839458065153,13.134017403650644,5.183713586561925,5.153908684090852,5.21348527488749,19.351857322157187,19.263963108283196,19.460843012016564,8.685801704501541,11.510106422260517,6.577675056166274,8.94165186447165,11.133790668731985,15.182937856537599,0.2445,0.00961040451802108,2000
0.06,0.25,4.787307364817193,19.947114020071634,88000,anchor view 3-beat mean,7.266605833391374,7.2363206647515605,7.297540924639683,9.732541412134314,9.697994650267981,9.768204811289719,12.972989840767744,12.917186453333173,13.026774201711829,4.606778348568285,4.571811932304005,4.643967581963031,19.663506392018284,19.530604417116376,19.77749362966048,8.359568249825113,11.354829260005676,6.12319763100064,8.679633546995989,10.985537268103982,15.215328475529585,0.377,0.01083676612278774,2000
0.06,0.25,4.787307364817193,19.947114020071634,88000,long-axis view 3-beat mean,5.9817793936120065,5.955178305682615,6.010401814685275,8.31938107831149,8.285375944006226,8.3535068102814,11.375031982059125,11.328575002796311,11.420995527850527,3.4525439435637946,3.421454443290679,3.4848218085527303,17.759724423717614,17.654520505281155,17.876535725137995,6.991984782994947,9.877867773829088,4.888474606858262,7.388060467414854,9.404106881589415,13.43697035939926,0.93,0.005705260730238364,2000
0.06,0.25,4.787307364817193,19.947114020071634,88000,long-axis view single beat,5.784878445274006,5.75139178576552,5.814087936861369,8.218550647148327,8.183964942563922,8.24988023241475,11.4326170438483,11.381869561137417,11.479787719914802,3.044391321163022,3.0081584010021007,3.079326012698762,18.128839405270824,18.022649879861945,18.247809116853087,6.9156931360456415,9.861658348866362,4.606322185443169,7.161945868069218,9.395412204930249,13.715358876689539,0.9395,0.005331029450303197,2000
0.06,0.25,4.787307364817193,19.947114020071634,88000,A4 composite,7.8299092799951495,7.799941723818409,7.857765856285408,10.323604627983922,10.290314777064497,10.359919000244282,13.612551616308286,13.562422379161191,13.664196026225895,5.139783594553222,5.111875595213192,5.17346789002311,20.45816367872061,20.33443089482334,20.576713980640378,8.856111421891601,11.989103248506687,6.66756200197816,9.251058176661422,11.591513497467524,15.908154257067169,0.1315,0.007556710593902615,2000
0.06,0.5,4.787307364817193,39.89422804014327,88000,T1 AP (true span),7.6305884322913045,7.60200220273755,7.660100074612878,9.9909870783805,9.962324409568142,10.02427563583894,13.104761399467616,13.054845410712993,13.1498490272483,5.187142320952351,5.158123332171204,5.214625167565299,19.226705030822544,19.116195805772602,19.351834920612884,8.601869158317362,11.590139493140697,6.5583036230038685,9.03221525254357,11.156270179475431,15.144870044203325,0.2485,0.00966301583357908,2000
