scenario,K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_min,bias_min_mcse,bias_min_combo,bias_max,bias_max_mcse,bias_max_combo,bias_range,bias_range_mcse,maxabs_bias,maxabs_bias_mcse,maxabs_bias_combo,maxabs_argmax_clear,rmse_min,rmse_max,rmse_max_mcse,rmse_max_combo,mean_abs_bias,infl_min,infl_max,infl_max_mcse,infl_min_combo,infl_max_combo
K 4,4,0.15,True,0.0,10.0,AP,T1,A3,-0.46273282250329584,0.007186529882068701,20/40,1.1747284418395503,0.006460369608288196,2.4/8,1.6374612643428461,0.00966346662546936,1.1747284418395503,0.006460369608288196,2.4/8,True,2.007312772107563,2.356604065866959,0.0092742747882684,2.4/8,0.6161171450778824,,,,,
K 4,4,0.15,True,0.0,10.0,AP,T1,A4,-0.7225776058995936,0.007073953954593654,20/40,0.9701395538563133,0.005905189767191478,2.4/8,1.692717159755907,0.009214775674874246,0.9701395538563133,0.005905189767191478,2.4/8,True,1.9147564469005152,2.3507766399413956,0.008163116671250508,20/40,0.4922416982995843,,,,,
K 4,4,0.15,True,0.0,10.0,AP,T1,A5,-3.26605494799776,0.008387784335918174,20/40,-0.37414610703651263,0.005077004321542823,2.4/8,2.8919088409612472,0.009804636604527411,3.26605494799776,0.008387784335918174,20/40,True,1.6485013865733165,4.207438315056089,0.011218959586824947,20/40,1.6679090004808597,,,,,
K 4,4,0.15,True,0.0,10.0,AP,T1,A6,-1.9413010391771286,0.009494245816731486,20/8,0.015500431158511283,0.007971654938728687,2.4/20,1.9568014703356398,0.012397095873255187,1.9413010391771286,0.009494245816731486,20/8,False,2.5208936832598443,3.5752804011516224,0.01048769160991189,20/8,0.7552558891690481,,,,,
K 4,4,0.15,True,0.0,10.0,AP,T1,A7,0.16368060698421605,0.0050390992392742315,20/8,0.18902266215641444,0.005246577921020356,4.8/20,0.025342055172198397,0.007274551602991927,0.18902266215641444,0.005246577921020356,4.8/20,False,1.566210930917509,2.4643691145525515,0.008147253815519397,20/40,0.17813968074964717,,,,,
K 4,4,0.15,True,0.0,10.0,SL,T1,A1,-1.2443822224351975,0.005825726905987495,20/40,0.011059844774031848,0.0045315167647823175,2.4/20,1.2554420672092292,0.007380632640407584,1.2443822224351975,0.005825726905987495,20/40,False,1.4229342837938508,2.2231424998711717,0.006883163036866192,20/40,0.4824895779081572,,,,,
K 4,4,0.15,True,0.0,10.0,SL,T1,A2,-2.22067589754133,0.005625068315623666,20/40,-0.21635805625411428,0.0038030876058877416,2.4/8,2.004317841287216,0.0067900566193140255,2.22067589754133,0.005625068315623666,20/40,True,1.2219426659366701,2.845260823908902,0.007050744459567412,20/40,1.12247714898405,,,,,
K 4,4,0.15,True,0.0,10.0,SL,T1,A3,-0.24057627969126447,0.005116592838838091,20/40,0.8631584596499028,0.004624935460832836,2.4/8,1.1037347393411672,0.006897068239137428,0.8631584596499028,0.004624935460832836,2.4/8,True,1.4670324222669398,1.6982414251584137,0.005992491673505257,2.4/8,0.46836542666985675,,,,,
K 4,4,0.15,True,0.0,10.0,SL,T1,A4,-0.35440598741052803,0.005081130119814787,20/40,0.7869029295753756,0.004366953467714465,2.4/8,1.1413089169859036,0.006699863124249064,0.7869029295753756,0.004366953467714465,2.4/8,True,1.4306355564902944,1.645407583390219,0.005544022867266473,20/40,0.4029174829535587,,,,,
K 4,4,0.15,True,0.0,10.0,SL,T1,A5,-2.1131445438593697,0.005884869620562951,20/40,-0.23768006545899603,0.0038376459641898354,2.4/8,1.8754644784003736,0.007025611503455572,2.1131445438593697,0.005884869620562951,20/40,True,1.2366202895943037,2.815761757793909,0.007708954195368306,20/40,1.074387861841087,,,,,
