cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,K,beat_cv,view_over,window,S_median_mm,axis,inflation,inflation_mcse,n
32,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.0,10.0,SL,0.5272055372895988,0.002355796714762039,100000
33,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.0,13.0,AP,0.792986661124197,0.003872792507618585,100000
33,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.0,13.0,SL,0.5982419708022686,0.0027796700123031448,100000
34,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.15,10.0,AP,0.8039679994894846,0.003668109271499196,100000
34,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.15,10.0,SL,0.6395329016347703,0.0027677697788415986,100000
35,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.15,13.0,AP,0.9542768574482694,0.004532568341832951,100000
35,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.15,13.0,SL,0.7242272860065911,0.003256133184264509,100000
36,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.0,10.0,AP,0.9101625376572327,0.0043322789644281105,100000
36,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.0,10.0,SL,0.6764223981600648,0.0030254902200842573,100000
37,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.0,13.0,AP,1.1256395135330184,0.0054368819953054546,100000
37,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.0,13.0,SL,0.7906964630137786,0.003673246533574624,100000
38,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.15,10.0,AP,1.0448771337617997,0.004711865988765834,100000
38,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.15,10.0,SL,0.7851960451617915,0.003380785756257702,100000
39,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.15,13.0,AP,1.2817781571256655,0.005969988950877952,100000
39,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.15,13.0,SL,0.9108020123333112,0.004037366096440067,100000
40,0.03,0.1,2.4,8.0,2.4/8,3,0.3,False,0.0,10.0,AP,1.3502240145162117,0.006185336452780192,100000
40,0.03,0.1,2.4,8.0,2.4/8,3,0.3,False,0.0,10.0,SL,0.9300396117528227,0.004204782153225529,100000
41,0.03,0.1,2.4,8.0,2.4/8,3,0.3,False,0.0,13.0,AP,1.7146500272754632,0.007967228238697872,100000
41,0.03,0.1,2.4,8.0,2.4/8,3,0.3,False,0.0,13.0,SL,1.1524832083328023,0.005322638996052565,100000
42,0.03,0.1,2.4,8.0,2.4/8,3,0.3,False,0.15,10.0,AP,1.5996757767286514,0.007145063711793112,100000
42,0.03,0.1,2.4,8.0,2.4/8,3,0.3,False,0.15,10.0,SL,1.1055462432849763,0.004832131784596412,100000
43,0.03,0.1,2.4,8.0,2.4/8,3,0.3,False,0.15,13.0,AP,2.0375557147451855,0.009224769648238658,100000
43,0.03,0.1,2.4,8.0,2.4/8,3,0.3,False,0.15,13.0,SL,1.3807511050107635,0.006144281057716903,100000
44,0.03,0.1,2.4,8.0,2.4/8,3,0.3,True,0.0,10.0,AP,1.5886641351426245,0.007098060375669876,100000
44,0.03,0.1,2.4,8.0,2.4/8,3,0.3,True,0.0,10.0,SL,1.0853196409461496,0.004787951051628887,100000
45,0.03,0.1,2.4,8.0,2.4/8,3,0.3,True,0.0,13.0,AP,2.000193519387383,0.009122210680209441,100000
45,0.03,0.1,2.4,8.0,2.4/8,3,0.3,True,0.0,13.0,SL,1.348669283652547,0.006103251090899694,100000
46,0.03,0.1,2.4,8.0,2.4/8,3,0.3,True,0.15,10.0,AP,1.8271477014248696,0.008057251775280112,100000
46,0.03,0.1,2.4,8.0,2.4/8,3,0.3,True,0.15,10.0,SL,1.2466171293130979,0.005393373679681073,100000
47,0.03,0.1,2.4,8.0,2.4/8,3,0.3,True,0.15,13.0,AP,2.3521949697978686,0.010436528289217154,100000
47,0.03,0.1,2.4,8.0,2.4/8,3,0.3,True,0.15,13.0,SL,1.5693302931589173,0.006934844599599637,100000
48,0.03,0.1,2.4,8.0,2.4/8,4,0.05,False,0.0,10.0,AP,0.44381259316237937,0.0018859632852041243,100000
48,0.03,0.1,2.4,8.0,2.4/8,4,0.05,False,0.0,10.0,SL,0.4474240529675108,0.0017585594746936928,100000
49,0.03,0.1,2.4,8.0,2.4/8,4,0.05,False,0.0,13.0,AP,0.46087820127467305,0.002059766003989135,100000
